"species";"lon";"lat"
"Carijoa riisei";151.230364;-33.991381
"Carijoa riisei";-80.043925;26.785657
"Carijoa riisei";-43.511667;-23.062778
"Carijoa riisei";-61.78194;16.165
"Carijoa riisei";115.338283;-33.629649
"Carijoa riisei";-75.171664;19.898227
"Carijoa riisei";151.298717;-33.785645
"Carijoa riisei";153.100684;-30.9384
"Carijoa riisei";151.226698;-34.002834
"Carijoa riisei";-96.146512;15.725871
"Carijoa riisei";-80.04059;26.783572
"Carijoa riisei";151.218147;-34.003199
"Carijoa riisei";153.451923;-27.955902
"Carijoa riisei";-61.066319;14.540963
"Carijoa riisei";-81.970917;26.330385
"Carijoa riisei";153.169998;-26.615
"Carijoa riisei";153.16954;-26.614252
"Carijoa riisei";153.185702;-26.616908
"Carijoa riisei";153.114487;-26.614635
"Carijoa riisei";-97.331113;21.015527
"Carijoa riisei";83.385115;17.78252
"Carijoa riisei";-80.040769;26.782794
"Carijoa riisei";-41.984989;-22.895524
"Carijoa riisei";-87.060863;5.527545
"Carijoa riisei";-61.53547;16.45367
"Carijoa riisei";-99.889995;16.85318
"Carijoa riisei";-104.396274;19.107106
"Carijoa riisei";-99.887395;16.854542
"Carijoa riisei";-99.887149;16.855794
"Carijoa riisei";-84.881186;9.768971
"Carijoa riisei";-84.891966;9.770108
"Carijoa riisei";-85.111551;9.54424
"Carijoa riisei";167.28472;-20.91111
"Carijoa riisei";-99.89078;16.8531
"Carijoa riisei";-99.906728;16.845265
"Carijoa riisei";-85.277223;9.758445
"Carijoa riisei";-85.46169;9.848471
"Carijoa riisei";167.29862;-20.9125
"Carijoa riisei";-75.136058;19.929071
"Carijoa riisei";-75.136252;19.928494
"Carijoa riisei";-75.135811;19.929013
"Carijoa riisei";-85.774858;10.543956
"Carijoa riisei";-80.452236;27.855105
"Carijoa riisei";-80.452031;27.855501
"Carijoa riisei";-80.250638;27.449075
"Carijoa riisei";-61.78861;16.09444
"Carijoa riisei";83.38311;17.784662
"Carijoa riisei";-45.34787;-23.742269
"Carijoa riisei";-104.39372;19.106725
"Carijoa riisei";6.700466;0.417845
"Carijoa riisei";-85.505749;9.854568
"Carijoa riisei";-85.527657;9.867155
"Carijoa riisei";83.386233;17.778769
"Carijoa riisei";-85.279778;9.757889
"Carijoa riisei";-85.851889;10.44361
"Carijoa riisei";-158.066212;21.646756
"Carijoa riisei";-82.004681;26.187485
"Carijoa riisei";-82.379167;26.216833
"Carijoa riisei";-85.87025;10.482277
"Carijoa riisei";-80.044474;26.782965
"Carijoa riisei";-82.098415;26.052572
"Carijoa riisei";-86.846442;20.867462
"Carijoa riisei";-85.77494;10.544002
"Carijoa riisei";-85.701775;10.610733
"Carijoa riisei";-85.712473;10.573217
"Carijoa riisei";-85.713538;10.575484
"Carijoa riisei";-104.687092;19.198385
"Carijoa riisei";-61.7925;16.1675
"Carijoa riisei";-61.79028;16.16667
"Carijoa riisei";-104.396131;19.106985
"Carijoa riisei";-37.148968;-11.09417
"Carijoa riisei";-80.043587;26.783081
"Carijoa riisei";-80.044528;26.78296
"Carijoa riisei";-80.866065;-1.591145
"Carijoa riisei";-61.77778;16.16972
"Carijoa riisei";-61.78972;16.16611
"Carijoa riisei";-80.042659;26.784263
"Carijoa riisei";-61.79472;16.23556
"Carijoa riisei";-61.21372;14.78152
"Carijoa riisei";-80.11113;26.784762
"Carijoa riisei";-104.304528;19.059179
