"species";"lon";"lat"
"Cipangopaludina chinensis";-96.834678;32.752842
"Cipangopaludina chinensis";128.357606;37.309017
"Cipangopaludina chinensis";-79.885728;43.290147
"Cipangopaludina chinensis";-81.272295;40.533272
"Cipangopaludina chinensis";-81.272583;40.5332
"Cipangopaludina chinensis";-85.253906;43.182139
"Cipangopaludina chinensis";-82.037947;39.35017
"Cipangopaludina chinensis";-71.164095;42.345402
"Cipangopaludina chinensis";-93.332497;44.89608
"Cipangopaludina chinensis";-76.965689;40.240256
"Cipangopaludina chinensis";-87.878056;42.245789
"Cipangopaludina chinensis";5.65;50.8
"Cipangopaludina chinensis";6.2;52.1
"Cipangopaludina chinensis";5.65;50.75
"Cipangopaludina chinensis";-89.38357;43.058292
"Cipangopaludina chinensis";-82.806895;34.753722
"Cipangopaludina chinensis";-72.314833;43.018222
"Cipangopaludina chinensis";-89.3697;43.095952
"Cipangopaludina chinensis";-77.161667;38.642333
"Cipangopaludina chinensis";-75.575325;38.354187
"Cipangopaludina chinensis";-80.71747;43.422172
"Cipangopaludina chinensis";-122.655077;45.476934
"Cipangopaludina chinensis";-121.811042;37.280903
"Cipangopaludina chinensis";-89.530889;40.824772
"Cipangopaludina chinensis";-82.337073;42.766073
"Cipangopaludina chinensis";-121.774778;37.186592
"Cipangopaludina chinensis";-74.435664;40.344616
"Cipangopaludina chinensis";-80.762358;41.303475
"Cipangopaludina chinensis";-71.795897;42.111161
"Cipangopaludina chinensis";-97.125733;33.179067
"Cipangopaludina chinensis";-97.125717;33.179058
"Cipangopaludina chinensis";-97.125978;33.178805
"Cipangopaludina chinensis";-97.1259;33.178812
"Cipangopaludina chinensis";-97.125908;33.17883
"Cipangopaludina chinensis";-97.1259;33.17873
"Cipangopaludina chinensis";-97.12593;33.178755
"Cipangopaludina chinensis";-88.248578;40.051597
"Cipangopaludina chinensis";-88.248468;40.051576
"Cipangopaludina chinensis";-88.248496;40.051596
"Cipangopaludina chinensis";-88.248519;40.051622
"Cipangopaludina chinensis";-88.248477;40.051565
"Cipangopaludina chinensis";-122.610658;44.782029
"Cipangopaludina chinensis";-81.366064;42.978296
"Cipangopaludina chinensis";-86.30843;39.872263
"Cipangopaludina chinensis";-80.138803;40.27539
"Cipangopaludina chinensis";-75.371585;40.100162
"Cipangopaludina chinensis";128.454701;35.795984
"Cipangopaludina chinensis";-88.083258;41.73263
"Cipangopaludina chinensis";-75.305764;39.740602
"Cipangopaludina chinensis";-82.600587;42.63821
"Cipangopaludina chinensis";-118.158409;34.034518
"Cipangopaludina chinensis";-97.12576;33.179964
"Cipangopaludina chinensis";-80.53729;43.53009
"Cipangopaludina chinensis";-79.738266;43.245235
"Cipangopaludina chinensis";-122.746377;45.592973
"Cipangopaludina chinensis";-77.038297;38.880314
"Cipangopaludina chinensis";-76.620514;39.906542
"Cipangopaludina chinensis";-118.095782;34.01081
"Cipangopaludina chinensis";-80.498223;41.518883
"Cipangopaludina chinensis";-122.659885;45.47175
"Cipangopaludina chinensis";-80.132255;40.270378
"Cipangopaludina chinensis";-78.583893;35.940416
"Cipangopaludina chinensis";6.15;52.1
"Cipangopaludina chinensis";-84.516402;42.709028
"Cipangopaludina chinensis";-75.395267;40.210534
"Cipangopaludina chinensis";-82.93708;41.517355
"Cipangopaludina chinensis";-80.596725;40.163017
"Cipangopaludina chinensis";-77.194699;38.65398
"Cipangopaludina chinensis";-81.451715;44.202594
"Cipangopaludina chinensis";-122.975007;50.125505
"Cipangopaludina chinensis";-82.100427;39.320666
"Cipangopaludina chinensis";-82.099385;39.31802
"Cipangopaludina chinensis";-122.043768;37.919591
"Cipangopaludina chinensis";-93.296473;44.876076
"Cipangopaludina chinensis";-122.531491;47.506487
"Cipangopaludina chinensis";-83.192001;42.067009
"Cipangopaludina chinensis";-87.984627;40.063125
"Cipangopaludina chinensis";-80.94307;43.7336
"Cipangopaludina chinensis";-87.960261;41.721564
"Cipangopaludina chinensis";-80.414383;42.584295
"Cipangopaludina chinensis";-92.073784;46.829368
"Cipangopaludina chinensis";-92.111033;46.931001
"Cipangopaludina chinensis";-87.92955;41.886895
"Cipangopaludina chinensis";-80.085604;42.171099
"Cipangopaludina chinensis";-79.847075;44.738362
"Cipangopaludina chinensis";-82.736027;42.032762
"Cipangopaludina chinensis";-63.5458;44.691812
"Cipangopaludina chinensis";-79.166868;43.822825
"Cipangopaludina chinensis";-87.939849;42.270594
"Cipangopaludina chinensis";-94.058633;45.270151
"Cipangopaludina chinensis";-77.307225;38.768673
"Cipangopaludina chinensis";-86.385318;39.26094
"Cipangopaludina chinensis";-112.129082;33.532769
"Cipangopaludina chinensis";-76.687753;39.493128
"Cipangopaludina chinensis";-82.487205;42.02827
"Cipangopaludina chinensis";-81.411326;35.805133
"Cipangopaludina chinensis";-93.113731;44.879831
"Cipangopaludina chinensis";-77.257767;38.585379
"Cipangopaludina chinensis";-77.050225;38.773403
"Cipangopaludina chinensis";-117.005326;32.851433
"Cipangopaludina chinensis";-87.827406;41.893222
"Cipangopaludina chinensis";-122.497103;45.5564
"Cipangopaludina chinensis";-80.420079;42.585554
"Cipangopaludina chinensis";-80.082536;42.1669
"Cipangopaludina chinensis";-76.478265;44.595283
"Cipangopaludina chinensis";-81.367197;44.496558
"Cipangopaludina chinensis";-64.365553;45.910811
"Cipangopaludina chinensis";-80.557807;43.475555
"Cipangopaludina chinensis";-80.082952;42.167963
"Cipangopaludina chinensis";-122.503364;45.557106
"Cipangopaludina chinensis";-93.191156;43.101021
"Cipangopaludina chinensis";-64.35582;45.927117
"Cipangopaludina chinensis";-92.88044;45.252171
"Cipangopaludina chinensis";-81.331747;42.99197
"Cipangopaludina chinensis";-82.923163;42.320812
"Cipangopaludina chinensis";-116.997015;33.180784
"Cipangopaludina chinensis";-80.76532;43.475962
"Cipangopaludina chinensis";-81.188166;42.944079
"Cipangopaludina chinensis";-74.401282;40.524605
"Cipangopaludina chinensis";-95.881632;46.780676
"Cipangopaludina chinensis";-72.209509;44.946662
"Cipangopaludina chinensis";-72.793724;45.100687
"Cipangopaludina chinensis";-76.236847;44.898322
"Cipangopaludina chinensis";-72.689156;45.40802
"Cipangopaludina chinensis";-72.687057;45.401443
"Cipangopaludina chinensis";-69.364821;44.810038
"Cipangopaludina chinensis";-63.64312;44.805874
"Cipangopaludina chinensis";-72.319556;42.879864
"Cipangopaludina chinensis";-93.430861;45.017472
"Cipangopaludina chinensis";-73.562145;45.55903
"Cipangopaludina chinensis";-93.296444;44.875896
"Cipangopaludina chinensis";-71.172377;42.232799
"Cipangopaludina chinensis";-81.267145;43.038657
"Cipangopaludina chinensis";-82.968833;41.523875
"Cipangopaludina chinensis";-122.634251;38.427227
"Cipangopaludina chinensis";-83.71378;41.628748
"Cipangopaludina chinensis";-122.409667;45.600547
"Cipangopaludina chinensis";-83.456062;45.078156
"Cipangopaludina chinensis";-84.137727;40.127608
"Cipangopaludina chinensis";-84.129951;39.705536
"Cipangopaludina chinensis";-64.366216;45.906891
"Cipangopaludina chinensis";-64.363629;45.909677
"Cipangopaludina chinensis";-80.082672;42.167678
"Cipangopaludina chinensis";-122.043578;37.920098
"Cipangopaludina chinensis";-121.316781;38.163536
"Cipangopaludina chinensis";-81.365201;44.495385
"Cipangopaludina chinensis";-80.078412;42.170677
"Cipangopaludina chinensis";-82.179855;42.873537
"Cipangopaludina chinensis";-78.86935;38.07489
"Cipangopaludina chinensis";-84.432484;33.689966
"Cipangopaludina chinensis";-74.652428;40.267333
"Cipangopaludina chinensis";-72.616166;42.304738
"Cipangopaludina chinensis";-72.616158;42.304737
"Cipangopaludina chinensis";-71.147203;42.368708
"Cipangopaludina chinensis";122.930847;41.997692
"Cipangopaludina chinensis";-117.040253;32.787638
"Cipangopaludina chinensis";-118.195745;34.094787
"Cipangopaludina chinensis";-122.137528;37.881092
"Cipangopaludina chinensis";-122.037828;47.37818
"Cipangopaludina chinensis";-79.491047;44.59344
"Cipangopaludina chinensis";-74.826468;45.749777
"Cipangopaludina chinensis";-73.447254;42.782354
"Cipangopaludina chinensis";-82.445486;42.088695
"Cipangopaludina chinensis";120.056184;30.26878
"Cipangopaludina chinensis";-79.123985;43.153107
"Cipangopaludina chinensis";-96.313913;41.025292
"Cipangopaludina chinensis";-76.802445;41.210563
"Cipangopaludina chinensis";-88.2485;40.051594
"Cipangopaludina chinensis";-78.879228;46.292747
"Cipangopaludina chinensis";-72.197069;42.269048
"Cipangopaludina chinensis";-75.797112;40.209187
"Cipangopaludina chinensis";-81.065172;42.985057
"Cipangopaludina chinensis";-72.212281;44.936863
"Cipangopaludina chinensis";-72.212321;44.936883
"Cipangopaludina chinensis";-72.212355;44.936855
"Cipangopaludina chinensis";-79.156188;40.622023
"Cipangopaludina chinensis";-69.381828;44.275461
"Cipangopaludina chinensis";-123.138292;49.30507
"Cipangopaludina chinensis";4.15;52
"Cipangopaludina chinensis";-77.112222;38.690833
"Cipangopaludina chinensis";-78.254643;39.419774
"Cipangopaludina chinensis";-79.90622;40.544255
"Cipangopaludina chinensis";-80.317437;43.36327
"Cipangopaludina chinensis";-121.780504;37.187484
"Cipangopaludina chinensis";-78.154305;44.564347
"Cipangopaludina chinensis";-79.449723;43.946035
"Cipangopaludina chinensis";-78.543625;40.666252
"Cipangopaludina chinensis";-80.387878;43.29295
"Cipangopaludina chinensis";-73.603705;45.444317
"Cipangopaludina chinensis";-84.032848;44.399354
"Cipangopaludina chinensis";-89.638162;44.924181
"Cipangopaludina chinensis";-86.356685;41.549875
"Cipangopaludina chinensis";-118.195742;34.094761
"Cipangopaludina chinensis";-80.48402;43.39593
"Cipangopaludina chinensis";-79.879613;43.293942
"Cipangopaludina chinensis";-80.283407;43.377641
"Cipangopaludina chinensis";-79.751885;44.746065
"Cipangopaludina chinensis";-63.562465;44.744396
"Cipangopaludina chinensis";-63.576914;44.686042
"Cipangopaludina chinensis";-122.282854;47.45316
"Cipangopaludina chinensis";-69.491103;44.185062
"Cipangopaludina chinensis";-79.231669;45.322111
"Cipangopaludina chinensis";-79.893204;43.276566
"Cipangopaludina chinensis";-81.886123;41.402699
"Cipangopaludina chinensis";-79.874453;43.29495
"Cipangopaludina chinensis";-122.098097;47.449801
"Cipangopaludina chinensis";-81.579591;41.187667
"Cipangopaludina chinensis";-76.81018;40.848837
"Cipangopaludina chinensis";-72.667401;42.352734
"Cipangopaludina chinensis";-76.331869;44.788626
"Cipangopaludina chinensis";-123.536338;48.896337
"Cipangopaludina chinensis";-82.745493;39.877568
"Cipangopaludina chinensis";-81.187549;42.795303
"Cipangopaludina chinensis";-80.322753;43.370147
"Cipangopaludina chinensis";-71.341797;41.853703
"Cipangopaludina chinensis";-78.7419;44.578176
"Cipangopaludina chinensis";-80.378435;42.580349
"Cipangopaludina chinensis";-75.394355;46.508688
"Cipangopaludina chinensis";5.7;50.75
"Cipangopaludina chinensis";6.25;52.05
"Cipangopaludina chinensis";5.7;50.8
"Cipangopaludina chinensis";-88.00059;42.01603
"Cipangopaludina chinensis";-80.556931;43.474748
"Cipangopaludina chinensis";-78.79429;43.872149
"Cipangopaludina chinensis";116.466628;39.77002
"Cipangopaludina chinensis";-78.046741;44.678327
"Cipangopaludina chinensis";-86.302633;39.864746
"Cipangopaludina chinensis";-63.651966;44.84776
"Cipangopaludina chinensis";-78.795238;43.872645
"Cipangopaludina chinensis";-63.328893;45.240301
"Cipangopaludina chinensis";-122.654358;45.475338
"Cipangopaludina chinensis";-79.675045;44.88564
"Cipangopaludina chinensis";-79.675247;44.885824
"Cipangopaludina chinensis";-79.894654;44.962564
"Cipangopaludina chinensis";-80.322595;43.370595
"Cipangopaludina chinensis";-80.321083;43.367338
"Cipangopaludina chinensis";-76.255037;44.764962
"Cipangopaludina chinensis";-77.203613;38.639687
"Cipangopaludina chinensis";-79.860017;44.872158
"Cipangopaludina chinensis";-79.21637;43.2197
"Cipangopaludina chinensis";-80.35911;42.71889
"Cipangopaludina chinensis";-78.44667;44.334163
"Cipangopaludina chinensis";-122.292689;47.655868
"Cipangopaludina chinensis";-80.483863;43.395308
"Cipangopaludina chinensis";-78.880703;46.2864
"Cipangopaludina chinensis";-93.513056;44.923979
"Cipangopaludina chinensis";-79.74595;44.78963
"Cipangopaludina chinensis";-79.746338;44.790178
"Cipangopaludina chinensis";116.310629;40.128349
"Cipangopaludina chinensis";-83.241616;41.608718
"Cipangopaludina chinensis";-121.809367;37.279293
"Cipangopaludina chinensis";-93.297223;43.6273
"Cipangopaludina chinensis";-121.809347;37.279392
"Cipangopaludina chinensis";-74.698955;41.293424
"Cipangopaludina chinensis";-86.306414;39.870604
"Cipangopaludina chinensis";-76.959292;39.13325
"Cipangopaludina chinensis";-80.57318;43.483672
"Cipangopaludina chinensis";-80.573897;43.4831
"Cipangopaludina chinensis";-121.812913;37.284054
"Cipangopaludina chinensis";-82.956419;46.204056
"Cipangopaludina chinensis";-79.747039;44.79093
"Cipangopaludina chinensis";-79.433459;43.814695
"Cipangopaludina chinensis";-79.886434;44.735917
"Cipangopaludina chinensis";-79.80231;44.608646
"Cipangopaludina chinensis";-73.890155;45.513834
"Cipangopaludina chinensis";-71.5217;43.548491
"Cipangopaludina chinensis";-79.340649;43.336072
"Cipangopaludina chinensis";-88.64038;42.18484
"Cipangopaludina chinensis";116.3;39.99
"Cipangopaludina chinensis";-79.792245;44.614858
"Cipangopaludina chinensis";-71.333083;41.993825
"Cipangopaludina chinensis";-71.333083;41.993817
"Cipangopaludina chinensis";-71.333092;41.993825
"Cipangopaludina chinensis";-71.333083;41.993828
"Cipangopaludina chinensis";-71.333092;41.993828
"Cipangopaludina chinensis";-75.956483;44.349242
"Cipangopaludina chinensis";-80.383958;43.296254
"Cipangopaludina chinensis";-91.642548;44.054874
"Cipangopaludina chinensis";-80.447577;43.289244
"Cipangopaludina chinensis";-82.458886;42.084848
"Cipangopaludina chinensis";-74.130133;41.014889
"Cipangopaludina chinensis";-73.604568;45.444741
"Cipangopaludina chinensis";-80.280655;43.381538
"Cipangopaludina chinensis";-92.086311;46.823417
"Cipangopaludina chinensis";-69.462678;44.186895
"Cipangopaludina chinensis";117.16614;40.507776
"Cipangopaludina chinensis";-70.626733;41.660795
"Cipangopaludina chinensis";-83.168595;41.125422
"Cipangopaludina chinensis";-75.050945;39.656891
"Cipangopaludina chinensis";-87.939833;42.475437
"Cipangopaludina chinensis";-78.416092;44.446619
"Cipangopaludina chinensis";-82.448655;42.08574
"Cipangopaludina chinensis";-78.485812;44.980322
"Cipangopaludina chinensis";-79.679717;47.510574
"Cipangopaludina chinensis";-80.135861;47.645183
"Cipangopaludina chinensis";-78.793251;44.874207
"Cipangopaludina chinensis";-92.086097;46.823639
"Cipangopaludina chinensis";-73.604805;45.445972
"Cipangopaludina chinensis";-119.233234;46.246132
"Cipangopaludina chinensis";-88.091171;41.543644
"Cipangopaludina chinensis";-70.861113;42.954792
"Cipangopaludina chinensis";-70.861265;42.954723
"Cipangopaludina chinensis";-74.126122;41.03375
"Cipangopaludina chinensis";-81.327683;42.925322
"Cipangopaludina chinensis";-72.319893;43.008107
"Cipangopaludina chinensis";-122.965659;49.235336
"Cipangopaludina chinensis";-73.604667;45.444847
"Cipangopaludina chinensis";-73.604662;45.444878
"Cipangopaludina chinensis";-73.604645;45.44483
"Cipangopaludina chinensis";122.045578;30.184788
"Cipangopaludina chinensis";-73.995868;40.702754
"Cipangopaludina chinensis";-80.585997;43.47853
"Cipangopaludina chinensis";-80.257203;43.510588
"Cipangopaludina chinensis";-80.253997;43.502792
"Cipangopaludina chinensis";-83.799167;42.441094
"Cipangopaludina chinensis";127.087691;37.197111
"Cipangopaludina chinensis";-87.062744;41.51712
"Cipangopaludina chinensis";-79.386222;43.297704
"Cipangopaludina chinensis";-71.204125;42.650519
"Cipangopaludina chinensis";-74.337551;40.631902
"Cipangopaludina chinensis";-74.338479;40.632197
"Cipangopaludina chinensis";-83.257294;42.821472
"Cipangopaludina chinensis";-71.315262;42.27148
"Cipangopaludina chinensis";-76.476997;44.56543
"Cipangopaludina chinensis";-92.152237;47.516235
"Cipangopaludina chinensis";-122.451478;38.291231
"Cipangopaludina chinensis";-64.370929;45.903917
"Cipangopaludina chinensis";-83.656624;42.51778
"Cipangopaludina chinensis";-87.912832;43.102126
"Cipangopaludina chinensis";-87.289017;32.35485
"Cipangopaludina chinensis";-122.212386;47.697994
"Cipangopaludina chinensis";-77.043655;38.886203
"Cipangopaludina chinensis";-75.550903;39.957744
"Cipangopaludina chinensis";-79.456851;43.641334
"Cipangopaludina chinensis";-93.3176;44.935814
"Cipangopaludina chinensis";-78.063408;36.532025
"Cipangopaludina chinensis";-80.340081;43.349071
"Cipangopaludina chinensis";-92.870705;46.672113
"Cipangopaludina chinensis";-83.967696;42.48542
"Cipangopaludina chinensis";-83.791639;41.617917
"Cipangopaludina chinensis";-76.570865;44.423315
"Cipangopaludina chinensis";-85.36978;42.924709
"Cipangopaludina chinensis";-95.816748;46.805373
"Cipangopaludina chinensis";-92.999043;45.092065
"Cipangopaludina chinensis";-79.210572;43.877338
"Cipangopaludina chinensis";-76.1677;39.649809
"Cipangopaludina chinensis";-82.652857;40.708333
"Cipangopaludina chinensis";-81.190362;42.945555
"Cipangopaludina chinensis";-80.574884;43.481939
"Cipangopaludina chinensis";-74.755027;41.105845
"Cipangopaludina chinensis";-91.74385;44.145517
"Cipangopaludina chinensis";-83.096802;40.018665
"Cipangopaludina chinensis";-82.602749;41.412713
"Cipangopaludina chinensis";5.05;52.75
"Cipangopaludina chinensis";-87.9874;41.5583
"Cipangopaludina chinensis";5.6917;50.7984
"Cipangopaludina chinensis";5.6916;50.79649
"Cipangopaludina chinensis";-93.093933;45.0516
"Cipangopaludina chinensis";-79.126543;35.783675
"Cipangopaludina chinensis";-82.590058;38.418158
"Cipangopaludina chinensis";-83.924317;42.629469
"Cipangopaludina chinensis";-74.21878;40.180183
"Cipangopaludina chinensis";-79.023797;35.705081
"Cipangopaludina chinensis";-80.422539;42.581215
"Cipangopaludina chinensis";-80.422371;42.581539
"Cipangopaludina chinensis";-80.421898;42.582233
"Cipangopaludina chinensis";-80.4217;42.582726
