"species";"lon";"lat"
"Crassostrea gigas";6.92263;53.674339
"Crassostrea gigas";8.641073;54.279419
"Crassostrea gigas";9.3575;51.220833
"Crassostrea gigas";3.549823;51.407597
"Crassostrea gigas";8.96161;54.458397
"Crassostrea gigas";5.63038;58.949148
"Crassostrea gigas";10.455384;59.437914
"Crassostrea gigas";10.634032;59.890125
"Crassostrea gigas";10.666407;59.910768
"Crassostrea gigas";-8.220775;51.890169
"Crassostrea gigas";-9.765204;52.269915
"Crassostrea gigas";-7.340068;55.314423
"Crassostrea gigas";8.287948;54.865986
"Crassostrea gigas";6.661499;53.580349
"Crassostrea gigas";3.538337;51.337547
"Crassostrea gigas";5.914715;53.467262
"Crassostrea gigas";6.700176;53.568462
"Crassostrea gigas";8.30109;53.444527
"Crassostrea gigas";7.536528;53.757111
"Crassostrea gigas";5.715906;53.435593
"Crassostrea gigas";10.621518;59.879042
"Crassostrea gigas";9.223497;58.709664
"Crassostrea gigas";10.467116;59.249358
"Crassostrea gigas";10.664979;59.901975
"Crassostrea gigas";8.493505;53.209682
"Crassostrea gigas";5.75642;53.460217
"Crassostrea gigas";8.476386;55.140564
"Crassostrea gigas";6.693626;53.567547
"Crassostrea gigas";7.01003;53.68401
"Crassostrea gigas";6.751496;53.569
"Crassostrea gigas";6.689588;53.569584
"Crassostrea gigas";8.288542;54.876583
"Crassostrea gigas";6.691189;53.568882
"Crassostrea gigas";10.170553;54.434006
"Crassostrea gigas";6.013516;53.402443
"Crassostrea gigas";7.135842;53.707577
"Crassostrea gigas";10.570233;59.888458
"Crassostrea gigas";10.577474;59.891549
"Crassostrea gigas";10.640616;59.638668
"Crassostrea gigas";10.537113;59.881742
"Crassostrea gigas";10.512589;59.764179
"Crassostrea gigas";10.572533;59.889382
"Crassostrea gigas";6.58722;62.589952
"Crassostrea gigas";10.554513;59.887254
"Crassostrea gigas";10.447299;59.524006
"Crassostrea gigas";9.756063;59.00725
"Crassostrea gigas";5.669133;58.941525
"Crassostrea gigas";8.464676;55.249393
"Crassostrea gigas";8.306576;54.6786
"Crassostrea gigas";8.623984;53.873409
"Crassostrea gigas";6.936437;53.676247
"Crassostrea gigas";6.993297;53.656548
"Crassostrea gigas";5.247122;59.416855
"Crassostrea gigas";10.266486;59.747121
"Crassostrea gigas";10.496994;59.420955
"Crassostrea gigas";10.621482;59.878366
"Crassostrea gigas";10.463055;59.228076
"Crassostrea gigas";10.726962;59.73651
"Crassostrea gigas";5.631026;58.950029
"Crassostrea gigas";-6.980619;52.198716
"Crassostrea gigas";-7.718556;55.247228
"Crassostrea gigas";6.66707;53.607567
"Crassostrea gigas";8.632604;54.281464
"Crassostrea gigas";10.471841;59.379319
"Crassostrea gigas";8.611349;58.331943
"Crassostrea gigas";10.621887;59.878767
"Crassostrea gigas";10.648378;59.322663
"Crassostrea gigas";10.327778;59.154507
"Crassostrea gigas";10.597875;59.886871
"Crassostrea gigas";10.936845;59.04449
"Crassostrea gigas";8.4722;58.259788
"Crassostrea gigas";7.993784;58.121048
"Crassostrea gigas";6.68805;53.57024
"Crassostrea gigas";6.992836;53.673267
"Crassostrea gigas";8.463234;55.243896
"Crassostrea gigas";8.68263;54.267822
"Crassostrea gigas";8.512536;54.673531
"Crassostrea gigas";10.645476;59.507709
"Crassostrea gigas";10.655007;59.870052
"Crassostrea gigas";8.830682;58.439142
"Crassostrea gigas";9.838843;59.044402
"Crassostrea gigas";10.542206;59.851072
"Crassostrea gigas";10.26;59.08174
"Crassostrea gigas";10.467807;59.377581
"Crassostrea gigas";8.006001;58.118581
"Crassostrea gigas";5.224665;59.739394
"Crassostrea gigas";10.538837;59.88176
"Crassostrea gigas";9.610644;58.881368
"Crassostrea gigas";36.338215;41.311981
"Crassostrea gigas";6.658699;58.28764
"Crassostrea gigas";5.22197;59.749845
"Crassostrea gigas";10.494011;59.43007
"Crassostrea gigas";5.476992;59.274941
"Crassostrea gigas";10.24967;59.09563
"Crassostrea gigas";5.817966;58.956821
"Crassostrea gigas";6.098896;59.200655
"Crassostrea gigas";-6.259967;53.829109
"Crassostrea gigas";-7.336951;55.326083
"Crassostrea gigas";9.991814;58.973175
"Crassostrea gigas";2.753515;51.165524
"Crassostrea gigas";6.995405;53.684296
"Crassostrea gigas";8.853264;54.55793
"Crassostrea gigas";8.648821;54.269661
"Crassostrea gigas";7.284873;53.724457
"Crassostrea gigas";6.992226;53.657272
"Crassostrea gigas";8.534374;55.091766
"Crassostrea gigas";10.70967;59.780139
"Crassostrea gigas";9.41138;58.864785
"Crassostrea gigas";10.707164;59.909826
"Crassostrea gigas";10.846124;59.103634
"Crassostrea gigas";10.617979;59.571132
"Crassostrea gigas";10.591964;59.893419
"Crassostrea gigas";5.654149;58.935254
"Crassostrea gigas";-7.339683;55.31381
"Crassostrea gigas";8.601224;54.37196
"Crassostrea gigas";6.977023;53.681484
"Crassostrea gigas";6.990673;53.671749
"Crassostrea gigas";-1.150722;44.765369
"Crassostrea gigas";7.103041;53.680408
"Crassostrea gigas";7.033369;53.68766
"Crassostrea gigas";8.678016;54.498772
"Crassostrea gigas";9.863987;58.974058
"Crassostrea gigas";5.662297;58.912033
"Crassostrea gigas";10.558555;59.887656
"Crassostrea gigas";-7.473321;55.14021
"Crassostrea gigas";-7.337923;55.313175
"Crassostrea gigas";-6.131262;54.032801
"Crassostrea gigas";7.367645;53.7262
"Crassostrea gigas";10.57556;59.890648
"Crassostrea gigas";10.476791;59.385578
"Crassostrea gigas";8.209227;58.124354
"Crassostrea gigas";10.397838;59.173455
"Crassostrea gigas";7.139678;53.709557
"Crassostrea gigas";8.067141;53.643314
"Crassostrea gigas";7.156188;53.621185
"Crassostrea gigas";9.213822;58.706916
"Crassostrea gigas";7.542609;53.757542
"Crassostrea gigas";7.48048;53.748463
"Crassostrea gigas";10.585118;59.55119
"Crassostrea gigas";5.646235;58.931917
"Crassostrea gigas";10.444649;59.451098
"Crassostrea gigas";5.904563;58.450693
"Crassostrea gigas";-9.006376;53.171159
"Crassostrea gigas";6.678335;53.57346
"Crassostrea gigas";7.136058;53.707745
"Crassostrea gigas";8.427173;55.017017
"Crassostrea gigas";10.634167;59.89774
"Crassostrea gigas";5.884459;58.440812
"Crassostrea gigas";10.50091;59.292042
"Crassostrea gigas";10.664134;59.911376
"Crassostrea gigas";-7.473102;55.139914
"Crassostrea gigas";145.308;-40.847
"Crassostrea gigas";7.140357;53.710537
"Crassostrea gigas";8.164215;53.520435
"Crassostrea gigas";8.481331;55.081348
"Crassostrea gigas";10.621797;59.879204
"Crassostrea gigas";8.595566;58.341162
"Crassostrea gigas";10.745486;59.312441
"Crassostrea gigas";5.230522;59.845643
"Crassostrea gigas";5.663051;58.91771
"Crassostrea gigas";10.242106;59.09677
"Crassostrea gigas";7.966682;58.065321
"Crassostrea gigas";10.664637;59.911299
"Crassostrea gigas";-5.688123;54.546757
"Crassostrea gigas";7.051538;53.338612
"Crassostrea gigas";9.351954;41.591682
"Crassostrea gigas";8.628453;54.270035
"Crassostrea gigas";7.474574;53.752445
"Crassostrea gigas";6.696978;53.567177
"Crassostrea gigas";3.553201;51.450756
"Crassostrea gigas";8.499985;53.922234
"Crassostrea gigas";7.833875;58.066276
"Crassostrea gigas";5.232561;59.844037
"Crassostrea gigas";10.62194;59.879394
"Crassostrea gigas";8.469325;58.258356
"Crassostrea gigas";9.483568;58.868143
"Crassostrea gigas";5.659243;58.937428
"Crassostrea gigas";10.745108;59.288716
"Crassostrea gigas";-1.59474;49.15702
"Crassostrea gigas";-1.55844;49.16471
"Crassostrea gigas";-6.352648;52.410014
"Crassostrea gigas";-6.354184;52.408238
"Crassostrea gigas";135.338327;34.441786
"Crassostrea gigas";135.446746;34.600918
"Crassostrea gigas";7.457505;53.723423
"Crassostrea gigas";7.913332;54.182255
"Crassostrea gigas";8.64004;53.885902
"Crassostrea gigas";6.992314;53.656967
"Crassostrea gigas";7.496167;53.72353
"Crassostrea gigas";5.80371;58.929576
"Crassostrea gigas";10.63422;59.890616
"Crassostrea gigas";10.387848;59.535977
"Crassostrea gigas";9.258172;58.755604
"Crassostrea gigas";5.599037;60.146321
"Crassostrea gigas";9.293386;58.745081
"Crassostrea gigas";10.656768;59.377549
"Crassostrea gigas";5.579778;59.118548
"Crassostrea gigas";-5.769387;54.852008
"Crassostrea gigas";135.277367;34.392682
"Crassostrea gigas";135.250695;34.376566
"Crassostrea gigas";135.248296;34.376371
"Crassostrea gigas";135.268198;34.707272
"Crassostrea gigas";135.11093;34.641202
"Crassostrea gigas";135.356341;34.710066
"Crassostrea gigas";135.153178;34.331138
"Crassostrea gigas";135.438891;34.54291
"Crassostrea gigas";135.205406;34.342659
"Crassostrea gigas";135.17701;34.6625
"Crassostrea gigas";135.166376;34.658475
"Crassostrea gigas";135.068282;34.285073
"Crassostrea gigas";135.325519;34.725351
"Crassostrea gigas";135.398763;34.637074
"Crassostrea gigas";135.431792;34.531015
"Crassostrea gigas";135.384795;34.5011
"Crassostrea gigas";135.360645;34.479199
"Crassostrea gigas";8.300085;54.772583
"Crassostrea gigas";8.289013;54.872723
"Crassostrea gigas";10.650219;59.912276
"Crassostrea gigas";8.826415;58.436542
"Crassostrea gigas";10.448754;59.092959
"Crassostrea gigas";10.664044;59.354241
"Crassostrea gigas";10.443373;59.064274
"Crassostrea gigas";10.728382;59.755714
"Crassostrea gigas";10.426027;59.166236
"Crassostrea gigas";10.625381;59.471894
"Crassostrea gigas";10.726217;59.897781
"Crassostrea gigas";10.451153;59.067345
"Crassostrea gigas";5.702416;59.997961
"Crassostrea gigas";10.42768;59.167931
"Crassostrea gigas";10.888578;59.174357
"Crassostrea gigas";135.192059;34.337974
"Crassostrea gigas";134.950927;34.29291
"Crassostrea gigas";6.657762;53.583389
"Crassostrea gigas";6.666565;53.575993
"Crassostrea gigas";8.457338;54.673317
"Crassostrea gigas";8.502257;53.913258
"Crassostrea gigas";8.803654;54.487942
"Crassostrea gigas";8.805014;54.023914
"Crassostrea gigas";8.837912;54.034252
"Crassostrea gigas";10.727591;59.892843
"Crassostrea gigas";4.902843;60.499258
"Crassostrea gigas";10.34729;59.146856
"Crassostrea gigas";9.487701;58.849965
"Crassostrea gigas";11.060264;58.994629
"Crassostrea gigas";10.665787;59.901439
"Crassostrea gigas";10.472012;59.378816
"Crassostrea gigas";5.63365;58.945149
"Crassostrea gigas";10.855143;59.170458
"Crassostrea gigas";-9.068457;53.262272
"Crassostrea gigas";-9.595262;51.696208
"Crassostrea gigas";-7.341642;55.314431
"Crassostrea gigas";-7.343217;55.31444
"Crassostrea gigas";8.47586;55.085167
"Crassostrea gigas";8.303064;54.776321
"Crassostrea gigas";10.445754;59.107541
"Crassostrea gigas";5.317802;59.746202
"Crassostrea gigas";10.537355;59.882644
"Crassostrea gigas";5.868927;62.250821
"Crassostrea gigas";10.747309;59.33302
"Crassostrea gigas";10.658205;59.54146
"Crassostrea gigas";-0.324918;49.308319
"Crassostrea gigas";6.990684;53.669811
"Crassostrea gigas";-1.598689;49.163651
"Crassostrea gigas";6.979319;53.662506
"Crassostrea gigas";5.584736;59.118645
"Crassostrea gigas";5.86952;58.431797
"Crassostrea gigas";9.969341;58.968154
"Crassostrea gigas";10.48492;59.834071
"Crassostrea gigas";10.554809;59.887336
"Crassostrea gigas";10.361366;59.458545
"Crassostrea gigas";18.911468;69.628232
"Crassostrea gigas";6.275738;59.298749
"Crassostrea gigas";-9.018873;53.26964
"Crassostrea gigas";6.668602;53.585426
"Crassostrea gigas";7.016015;53.683239
"Crassostrea gigas";7.164629;53.706547
"Crassostrea gigas";10.643725;59.639749
"Crassostrea gigas";10.480312;59.399922
"Crassostrea gigas";5.391176;59.704677
"Crassostrea gigas";10.520386;59.729021
"Crassostrea gigas";10.481076;59.399917
"Crassostrea gigas";8.687439;53.878441
"Crassostrea gigas";8.68525;53.890583
"Crassostrea gigas";6.690111;53.569473
"Crassostrea gigas";8.650703;53.885929
"Crassostrea gigas";10.714934;59.326953
"Crassostrea gigas";10.53713;59.88272
