"species";"lon";"lat"
"Musculista senhousia";3.9;51.5
"Musculista senhousia";139.73;35.36
"Musculista senhousia";-122.893085;38.132574
"Musculista senhousia";132.896;34.325
"Musculista senhousia";17.3025;40.49306
"Musculista senhousia";130.41;32.54
"Musculista senhousia";130.41;32.5442
"Musculista senhousia";130.4101;32.5442
"Musculista senhousia";130.4102;32.5442
"Musculista senhousia";130.4103;32.5443
"Musculista senhousia";130.4099;32.5436
"Musculista senhousia";130.41;32.5435
"Musculista senhousia";130.4102;32.5435
"Musculista senhousia";130.4102;32.5434
"Musculista senhousia";130.4268;32.5404
"Musculista senhousia";130.4269;32.5405
"Musculista senhousia";130.427;32.5405
"Musculista senhousia";130.4272;32.5403
"Musculista senhousia";130.4273;32.5403
"Musculista senhousia";137.32;34.7
"Musculista senhousia";137.32098;34.69467
"Musculista senhousia";137.32101;34.69469
"Musculista senhousia";137.32103;34.69469
"Musculista senhousia";137.32103;34.69467
"Musculista senhousia";137.32101;34.69466
"Musculista senhousia";137.32031;34.69657
"Musculista senhousia";-123.842;49.0216
"Musculista senhousia";-123.848;49.024
"Musculista senhousia";140.9813;37.8203
"Musculista senhousia";140.9812;37.8203
"Musculista senhousia";140.9811;37.8203
"Musculista senhousia";131.19;33.62
"Musculista senhousia";131.23;33.6
"Musculista senhousia";131.1947;33.6178
"Musculista senhousia";131.19464;33.61771
"Musculista senhousia";135.3882;33.6924
"Musculista senhousia";130.4099;32.5441
"Musculista senhousia";130.41;32.5441
"Musculista senhousia";130.4101;32.544
"Musculista senhousia";130.4097;32.5435
"Musculista senhousia";130.4098;32.5434
"Musculista senhousia";130.4097;32.5434
"Musculista senhousia";130.4268;32.5403
"Musculista senhousia";130.4269;32.5403
"Musculista senhousia";130.4271;32.54
"Musculista senhousia";130.4272;32.5404
"Musculista senhousia";137.3203;34.6966
"Musculista senhousia";140.9796;37.7809
"Musculista senhousia";140.9795;37.781
"Musculista senhousia";131.1947;33.6175
"Musculista senhousia";131.1948;33.6178
"Musculista senhousia";131.1947;33.6177
"Musculista senhousia";135.388;33.6924
"Musculista senhousia";135.3881;33.6923
"Musculista senhousia";135.388;33.6925
"Musculista senhousia";135.3829;33.7003
"Musculista senhousia";131.2361;33.6146
"Musculista senhousia";-118.392;33.8369
"Musculista senhousia";130.4103;32.5439
"Musculista senhousia";137.321;34.6947
"Musculista senhousia";137.3208;34.6955
