"species";"lon";"lat"
"Perna perna";-40.43001;-20.639918
"Perna perna";-42.499145;-22.934565
"Perna perna";-43.030388;-22.9755
"Perna perna";-48.627025;-26.971495
"Perna perna";-48.538253;-25.843187
"Perna perna";-40.419046;-20.606808
"Perna perna";-40.255542;-20.267964
"Perna perna";-48.555412;-25.853112
"Perna perna";-43.00902;-22.970179
"Perna perna";-48.537517;-25.845047
"Perna perna";-48.537995;-25.8441
"Perna perna";-48.536525;-25.849792
"Perna perna";-48.627447;-26.939078
"Perna perna";-40.273664;-20.332277
"Perna perna";-43.125052;-22.895228
"Perna perna";-42.032726;-22.976368
"Perna perna";-40.426078;-20.634022
"Perna perna";-40.423642;-20.63615
"Perna perna";-48.63382;-26.926037
"Perna perna";-43.203483;-22.987514
"Perna perna";-40.283204;-20.351708
"Perna perna";-40.286213;-20.292061
"Perna perna";-45.981701;-23.788474
"Perna perna";-43.179553;-22.970016
"Perna perna";-49.774273;-29.576482
"Perna perna";-48.640887;-26.920247
"Perna perna";-48.641062;-26.919778
"Perna perna";-48.641247;-26.916628
"Perna perna";76.975939;8.388719
"Perna perna";76.979593;8.383814
"Perna perna";-40.280406;-20.308324
"Perna perna";-40.285616;-20.302797
"Perna perna";-48.432877;-27.395782
"Perna perna";-48.467008;-27.693298
"Perna perna";34.884177;32.46508
"Perna perna";34.884231;32.464715
"Perna perna";30.480445;-30.713595
"Perna perna";-41.79611;-22.404957
"Perna perna";-40.52749;-20.72969
"Perna perna";34.882039;32.458555
"Perna perna";-15.374099;27.996719
"Perna perna";32.481046;-28.28751
"Perna perna";22.566095;-33.99701
"Perna perna";-48.636863;-26.774542
"Perna perna";24.213123;-34.070551
"Perna perna";12.116558;-15.120342
"Perna perna";12.202222;-14.927778
"Perna perna";-2.826562;36.704827
"Perna perna";-40.475408;-20.660327
"Perna perna";-40.475688;-20.660123
"Perna perna";31.047669;-29.86664
"Perna perna";26.677147;-33.690492
"Perna perna";-49.810334;-29.457109
"Perna perna";22.81811;-34.039574
"Perna perna";31.054931;-29.778622
"Perna perna";22.024643;-34.208619
"Perna perna";-48.546168;-27.459058
"Perna perna";30.750305;-30.299508
"Perna perna";-40.280482;-20.313212
"Perna perna";22.970986;-34.082274
"Perna perna";30.735491;-30.336331
"Perna perna";-48.560398;-25.890027
"Perna perna";31.223337;-29.535479
"Perna perna";31.24658;-29.495071
"Perna perna";31.246699;-29.494862
"Perna perna";31.223765;-29.533491
"Perna perna";31.224023;-29.531172
"Perna perna";31.443749;-29.283021
"Perna perna";26.676198;-33.688492
"Perna perna";30.735384;-30.336275
"Perna perna";26.675815;-33.691457
"Perna perna";-40.279803;-20.30839
"Perna perna";-2.857416;36.698688
"Perna perna";-14.22104;28.218156
"Perna perna";-43.198525;-22.98702
"Perna perna";-7.670078;33.598225
"Perna perna";-2.852197;36.698264
"Perna perna";20.511688;-34.478107
"Perna perna";-48.540115;-27.815595
"Perna perna";30.997537;-29.94372
"Perna perna";-6.839711;34.032569
"Perna perna";-6.839525;34.032939
"Perna perna";-6.83955;34.032917
"Perna perna";-6.839569;34.032883
"Perna perna";-6.840608;34.032436
"Perna perna";-6.841972;34.032028
"Perna perna";-10.095036;29.421137
"Perna perna";32.989528;-25.971389
"Perna perna";-40.298789;-20.318296
"Perna perna";-47.06546;-24.440172
"Perna perna";-43.195169;-22.988517
"Perna perna";-54.15904;-34.667417
"Perna perna";31.097696;-29.70711
"Perna perna";-48.501348;-27.750646
"Perna perna";14.468046;-22.482194
"Perna perna";22.614332;-34.000787
"Perna perna";-46.680709;-24.126882
"Perna perna";-43.13593;-22.900852
"Perna perna";-2.85694;36.699047
"Perna perna";-2.856595;36.699596
"Perna perna";-48.579605;-27.009655
"Perna perna";-48.617403;-27.002008
"Perna perna";20.617374;-34.453002
"Perna perna";31.040683;-29.855325
"Perna perna";31.936818;-28.909957
"Perna perna";-2.844591;36.696096
"Perna perna";20.507291;-34.480001
"Perna perna";-40.254631;-20.268683
"Perna perna";-48.607956;-26.066792
"Perna perna";-40.49486;-20.661865
"Perna perna";-43.201771;-22.987376
"Perna perna";-48.632253;-26.972753
"Perna perna";22.821651;-34.041012
"Perna perna";22.206889;-34.064787
"Perna perna";22.766738;-34.030738
"Perna perna";22.196648;-34.069064
"Perna perna";-48.643277;-26.916109
"Perna perna";29.420735;-31.62903
"Perna perna";22.434813;-34.055961
"Perna perna";26.889703;-33.613882
"Perna perna";26.903088;-33.604052
"Perna perna";30.035998;-31.236902
"Perna perna";-46.99406;-24.318292
"Perna perna";-42.02466;-22.954449
"Perna perna";22.18749;-34.067221
"Perna perna";22.057108;-34.150913
"Perna perna";22.18709;-34.073108
"Perna perna";114.372908;-8.677902
"Perna perna";-53.53009;-33.972108
"Perna perna";22.1193;-34.12693
"Perna perna";-41.732081;-22.333197
"Perna perna";21.460933;-34.366901
"Perna perna";-2.85648;36.699639
"Perna perna";23.462217;-34.003803
"Perna perna";-48.612232;-27.106474
"Perna perna";-43.215325;-22.987342
"Perna perna";22.577672;-33.996543
"Perna perna";-2.842324;36.698462
"Perna perna";76.283856;9.747905
"Perna perna";-4.379197;36.720747
"Perna perna";-43.18798;-22.985728
"Perna perna";-48.740936;-28.425147
"Perna perna";-43.188764;-22.985021
"Perna perna";-43.094951;-22.919007
"Perna perna";-43.189106;-22.984164
"Perna perna";-43.18805;-22.985837
"Perna perna";-40.254526;-20.269444
"Perna perna";-43.18794;-22.985809
"Perna perna";-43.189198;-22.722168
"Perna perna";-43.139773;-23.013283
"Perna perna";-43.125208;-22.891602
