"species";"lon";"lat"
"Phyllorhiza punctata";115.875747;-31.967512
"Phyllorhiza punctata";150.856576;-34.636655
"Phyllorhiza punctata";115.751205;-32.011082
"Phyllorhiza punctata";150.856203;-34.624992
"Phyllorhiza punctata";115.85785;-31.959697
"Phyllorhiza punctata";99.975166;12.49434
"Phyllorhiza punctata";115.8561;-31.957876
"Phyllorhiza punctata";153.070689;-26.44264
"Phyllorhiza punctata";-38.662697;-12.895675
"Phyllorhiza punctata";-38.662682;-12.895687
"Phyllorhiza punctata";115.86855;-31.962303
"Phyllorhiza punctata";115.857292;-31.958622
"Phyllorhiza punctata";115.857591;-31.957963
"Phyllorhiza punctata";150.817161;-34.513661
"Phyllorhiza punctata";151.199248;-33.870448
"Phyllorhiza punctata";115.822371;-31.977131
"Phyllorhiza punctata";115.821703;-31.977355
"Phyllorhiza punctata";115.786162;-32.016468
"Phyllorhiza punctata";146.151174;-16.749246
"Phyllorhiza punctata";115.88437;-31.957487
"Phyllorhiza punctata";115.794781;-32.008968
"Phyllorhiza punctata";115.878432;-31.967709
"Phyllorhiza punctata";98.323484;7.4972
"Phyllorhiza punctata";174.817872;-36.86562
"Phyllorhiza punctata";115.938178;-31.928038
"Phyllorhiza punctata";115.912963;-31.93705
"Phyllorhiza punctata";115.726521;-32.051851
"Phyllorhiza punctata";174.942129;-36.892096
"Phyllorhiza punctata";115.907458;-31.953356
"Phyllorhiza punctata";118.79763;10.092845
"Phyllorhiza punctata";115.856103;-31.959263
"Phyllorhiza punctata";115.761491;-32.105788
"Phyllorhiza punctata";115.857405;-31.959203
"Phyllorhiza punctata";115.894886;-31.93368
"Phyllorhiza punctata";115.787583;-32.010914
"Phyllorhiza punctata";-96.104272;19.131014
"Phyllorhiza punctata";115.925525;-31.93116
"Phyllorhiza punctata";-96.130469;19.200133
"Phyllorhiza punctata";175.202218;-36.814647
"Phyllorhiza punctata";125.558498;-14.553802
"Phyllorhiza punctata";174.812138;-36.825294
"Phyllorhiza punctata";-96.08728;19.061949
"Phyllorhiza punctata";114.30325;22.594739
"Phyllorhiza punctata";-81.32778;30.023536
"Phyllorhiza punctata";-81.102972;29.512233
"Phyllorhiza punctata";34.596462;31.73969
"Phyllorhiza punctata";34.804592;32.095461
"Phyllorhiza punctata";174.766779;-36.755312
"Phyllorhiza punctata";9.297536;39.212096
"Phyllorhiza punctata";9.191108;39.219957
"Phyllorhiza punctata";8.858253;38.88125
"Phyllorhiza punctata";-117.128378;32.620793
"Phyllorhiza punctata";-117.233192;32.668167
"Phyllorhiza punctata";-117.106854;32.6157
"Phyllorhiza punctata";100.950673;12.597921
"Phyllorhiza punctata";-117.105485;32.62215
"Phyllorhiza punctata";-16.744699;13.064099
"Phyllorhiza punctata";146.406261;-19.010619
"Phyllorhiza punctata";115.825956;-31.984917
"Phyllorhiza punctata";150.448385;-35.396093
"Phyllorhiza punctata";150.448366;-35.395844
"Phyllorhiza punctata";153.067597;-27.298862
"Phyllorhiza punctata";153.067445;-27.298788
"Phyllorhiza punctata";151.167342;-33.858417
"Phyllorhiza punctata";115.856987;-31.957576
"Phyllorhiza punctata";115.856236;-31.972099
"Phyllorhiza punctata";115.74669;-32.136017
"Phyllorhiza punctata";8.403638;49.006893
"Phyllorhiza punctata";148.962552;-20.341476
"Phyllorhiza punctata";115.812212;-31.997908
"Phyllorhiza punctata";99.959718;12.55883
"Phyllorhiza punctata";104.21289;10.578059
"Phyllorhiza punctata";115.759055;-32.101423
"Phyllorhiza punctata";115.859415;-31.959853
"Phyllorhiza punctata";151.090221;-33.821105
"Phyllorhiza punctata";98.837776;8.011711
"Phyllorhiza punctata";115.853149;-32.019379
"Phyllorhiza punctata";151.182053;-33.833922
"Phyllorhiza punctata";115.742989;-32.136148
"Phyllorhiza punctata";115.861787;-31.959755
"Phyllorhiza punctata";115.863975;-31.962912
"Phyllorhiza punctata";151.056259;-33.823586
"Phyllorhiza punctata";115.752012;-31.862517
"Phyllorhiza punctata";151.095714;-33.82259
"Phyllorhiza punctata";115.758068;-32.104061
"Phyllorhiza punctata";148.364785;-19.987733
"Phyllorhiza punctata";115.86328;-31.960587
"Phyllorhiza punctata";-71.18267;11.89327
"Phyllorhiza punctata";-78.368011;18.269793
"Phyllorhiza punctata";115.681668;-32.160106
"Phyllorhiza punctata";-96.105713;19.094811
"Phyllorhiza punctata";115.775919;-32.012201
"Phyllorhiza punctata";-96.082007;19.049263
"Phyllorhiza punctata";-97.274961;27.473837
"Phyllorhiza punctata";-97.274712;27.474218
"Phyllorhiza punctata";-97.332838;26.735095
"Phyllorhiza punctata";-97.27407;27.47623
"Phyllorhiza punctata";109.475761;18.211955
"Phyllorhiza punctata";-6.219248;36.526898
"Phyllorhiza punctata";-117.101883;32.624373
"Phyllorhiza punctata";-6.230986;36.543016
"Phyllorhiza punctata";-117.223913;32.724005
"Phyllorhiza punctata";-117.119357;32.658268
"Phyllorhiza punctata";9.893547;37.280247
"Phyllorhiza punctata";-117.13139;32.623886
"Phyllorhiza punctata";-117.330123;32.751049
"Phyllorhiza punctata";-157.90588;21.315618
"Phyllorhiza punctata";34.766892;32.081628
"Phyllorhiza punctata";146.09247;-17.960037
