"species";"lon";"lat"
"Rapana venosa";-55.303295;-34.851055
"Rapana venosa";122.328502;30.34377
"Rapana venosa";-55.638331;-34.774637
"Rapana venosa";30.755164;46.400604
"Rapana venosa";120.693838;36.369291
"Rapana venosa";120.693517;36.369756
"Rapana venosa";12.316847;44.828133
"Rapana venosa";37.319058;44.912495
"Rapana venosa";122.428247;37.387896
"Rapana venosa";122.434778;37.385563
"Rapana venosa";12.419665;44.829775
"Rapana venosa";12.333521;44.337404
"Rapana venosa";117.82857;38.993241
"Rapana venosa";-55.302135;-34.843174
"Rapana venosa";12.274175;44.803878
"Rapana venosa";139.551559;35.303708
"Rapana venosa";41.025609;42.999051
"Rapana venosa";41.025636;42.999053
"Rapana venosa";41.02604;42.999097
"Rapana venosa";41.026162;42.999066
"Rapana venosa";41.026323;42.999079
"Rapana venosa";41.026306;42.999089
"Rapana venosa";39.654629;43.654446
"Rapana venosa";28.651936;44.175863
"Rapana venosa";135.120261;34.642117
"Rapana venosa";28.636754;43.952843
"Rapana venosa";-55.217821;-34.892305
"Rapana venosa";-56.688125;-36.559005
"Rapana venosa";120.309851;36.055659
"Rapana venosa";28.070256;43.341903
"Rapana venosa";5.030882;43.54549
"Rapana venosa";5.020062;43.470603
"Rapana venosa";118.390817;24.503711
"Rapana venosa";-54.94093;-34.956065
"Rapana venosa";28.072713;43.34713
"Rapana venosa";5.116433;43.405751
"Rapana venosa";139.970817;35.670695
"Rapana venosa";27.693214;42.424239
"Rapana venosa";38.534674;44.371637
"Rapana venosa";41.770166;41.806676
"Rapana venosa";5.195091;43.438825
"Rapana venosa";120.829082;40.536606
"Rapana venosa";27.689186;42.434733
"Rapana venosa";12.33276;44.33877
"Rapana venosa";27.921632;43.189392
"Rapana venosa";28.09194;43.375599
"Rapana venosa";28.086752;43.370247
"Rapana venosa";28.080729;43.361378
"Rapana venosa";28.080728;43.361377
"Rapana venosa";28.074993;43.35125
"Rapana venosa";28.067963;43.336853
"Rapana venosa";28.06748;43.335716
"Rapana venosa";28.066696;43.333736
"Rapana venosa";28.083885;43.36633
