"species";"lon";"lat"
"Schizoporella errata";4.939136;43.428383
"Schizoporella errata";4.938272;43.429622
"Schizoporella errata";-40.254156;-20.272191
"Schizoporella errata";-43.511667;-23.062778
"Schizoporella errata";136.935219;-33.687998
"Schizoporella errata";-0.768513;37.647499
"Schizoporella errata";-0.800796;37.798978
"Schizoporella errata";-0.717451;37.655908
"Schizoporella errata";3.777102;43.436243
"Schizoporella errata";137.592654;-33.041642
"Schizoporella errata";138.185421;-35.522854
"Schizoporella errata";2.278551;41.464467
"Schizoporella errata";138.540575;-34.805847
"Schizoporella errata";15.249173;38.231222
"Schizoporella errata";13.812908;44.859856
"Schizoporella errata";13.834404;44.850457
"Schizoporella errata";2.105976;41.286916
"Schizoporella errata";5.906568;43.092451
"Schizoporella errata";23.663906;40.217769
"Schizoporella errata";22.89703;40.375683
"Schizoporella errata";14.664516;45.147175
"Schizoporella errata";14.665106;45.147337
"Schizoporella errata";14.664597;45.147906
"Schizoporella errata";2.278339;41.464242
"Schizoporella errata";10.331777;42.813387
"Schizoporella errata";166.436205;-22.297029
"Schizoporella errata";136.105652;-34.377617
"Schizoporella errata";137.593707;-33.042958
"Schizoporella errata";137.593857;-33.04305
"Schizoporella errata";9.687824;40.897861
"Schizoporella errata";9.687589;40.897621
"Schizoporella errata";4.936398;43.430052
"Schizoporella errata";23.28222;39.13764
"Schizoporella errata";13.58525;45.276497
"Schizoporella errata";13.585065;45.2768
"Schizoporella errata";13.588139;45.276011
"Schizoporella errata";2.278053;41.464346
"Schizoporella errata";3.699976;43.425009
"Schizoporella errata";1.229803;41.089141
"Schizoporella errata";9.906347;44.080354
"Schizoporella errata";5.35356;43.290148
"Schizoporella errata";5.354362;43.29126
"Schizoporella errata";5.354367;43.291258
"Schizoporella errata";13.656119;45.749209
"Schizoporella errata";138.510485;-34.974494
"Schizoporella errata";2.107412;41.287249
"Schizoporella errata";2.283813;41.466865
"Schizoporella errata";2.283783;41.466864
"Schizoporella errata";2.283804;41.466834
"Schizoporella errata";2.283637;41.466706
"Schizoporella errata";2.260606;41.454727
"Schizoporella errata";2.260635;41.454741
"Schizoporella errata";2.260492;41.454781
"Schizoporella errata";2.279513;41.464352
"Schizoporella errata";2.278389;41.464395
"Schizoporella errata";138.464352;-35.107166
"Schizoporella errata";3.020283;42.809938
"Schizoporella errata";3.020523;42.809511
"Schizoporella errata";4.938406;43.428145
"Schizoporella errata";115.74072;-32.266458
