"species";"lon";"lat"
"Styela plicata";-117.904338;33.616112
"Styela plicata";-76.252005;37.424414
"Styela plicata";-117.217722;32.764462
"Styela plicata";138.503105;-34.842556
"Styela plicata";135.46493;-34.617532
"Styela plicata";-82.624055;27.738098
"Styela plicata";138.502906;-34.842768
"Styela plicata";-7.448942;37.17778
"Styela plicata";-7.448942;37.177782
"Styela plicata";138.502218;-34.842975
"Styela plicata";138.486919;-34.794832
"Styela plicata";4.931824;43.433282
"Styela plicata";138.485431;-34.793999
"Styela plicata";3.127339;43.11003
"Styela plicata";-117.40175;33.216565
"Styela plicata";-83.0616;29.0962
"Styela plicata";176.175015;-37.634653
"Styela plicata";138.509266;-34.815712
"Styela plicata";-82.625412;27.726738
"Styela plicata";151.277169;-33.850858
"Styela plicata";-82.774576;27.802112
"Styela plicata";132.316881;34.298279
"Styela plicata";-77.102929;34.649624
"Styela plicata";-87.413292;30.309108
"Styela plicata";-83.067539;29.095941
"Styela plicata";-76.409972;34.776367
"Styela plicata";5.116433;43.405751
"Styela plicata";-82.984501;27.969317
"Styela plicata";12.339233;45.434645
"Styela plicata";138.489044;-34.775463
"Styela plicata";144.359657;-38.11971
"Styela plicata";138.510784;-34.976657
"Styela plicata";174.921037;-36.87738
"Styela plicata";-7.985963;37.003161
"Styela plicata";-9.17246;38.511403
"Styela plicata";138.489473;-34.774674
"Styela plicata";-83.065155;29.097386
"Styela plicata";-7.975818;36.996397
"Styela plicata";-75.701562;35.208528
"Styela plicata";-75.380042;37.91663
"Styela plicata";-2.287664;35.099883
"Styela plicata";-77.100508;34.648388
"Styela plicata";174.987156;-36.889534
"Styela plicata";14.667493;45.147122
"Styela plicata";14.667483;45.147099
"Styela plicata";14.667424;45.147092
"Styela plicata";14.667488;45.147054
"Styela plicata";14.667488;45.147088
"Styela plicata";-7.795215;37.035097
"Styela plicata";133.668877;-32.125723
"Styela plicata";-118.446473;33.972191
"Styela plicata";-117.217113;32.765238
"Styela plicata";-117.223071;32.715666
"Styela plicata";-82.820116;27.948763
"Styela plicata";22.603172;38.358649
"Styela plicata";24.318345;40.87403
"Styela plicata";-117.245933;32.761178
"Styela plicata";-75.3798;37.881363
"Styela plicata";-7.794883;37.035982
"Styela plicata";12.316763;45.31677
"Styela plicata";-117.692274;33.459189
"Styela plicata";150.101608;-36.160797
"Styela plicata";3.699976;43.425009
"Styela plicata";138.490522;-34.861008
"Styela plicata";-117.246668;32.761663
"Styela plicata";-2.240715;35.088787
"Styela plicata";-75.80643;37.270393
"Styela plicata";-117.893438;33.60879
"Styela plicata";-118.446471;33.972154
"Styela plicata";153.1898;-27.453704
"Styela plicata";153.189352;-27.453884
"Styela plicata";-117.893432;33.608791
"Styela plicata";153.189799;-27.453705
"Styela plicata";-7.795216;37.036134
"Styela plicata";174.835822;-36.846086
"Styela plicata";-97.390217;27.789895
"Styela plicata";-117.247172;32.760652
"Styela plicata";-97.380005;27.798528
"Styela plicata";10.598655;35.893138
"Styela plicata";174.838158;-36.847457
"Styela plicata";3.660029;43.410944
"Styela plicata";17.410573;40.87381
"Styela plicata";-117.235185;32.766652
"Styela plicata";18.207717;39.837444
"Styela plicata";-117.705992;33.46234
"Styela plicata";-117.235189;32.766649
"Styela plicata";-117.240887;32.773415
"Styela plicata";-117.217456;32.764067
