"","species","Lat","Lon","Temp","Sal"
"1","Actinastrum hantzschii",58.7385,17.0715,8.47561836242676,6.30913877487183
"2","Actinastrum hantzschii",65.63597,22.26549,5.61140918731689,3.92507791519165
"3","Actinastrum hantzschii",36.375926,120.682265,15.0515661239624,28.1543598175049
"4","Actinastrum hantzschii",59.345379,11.04677,9.96331596374512,28.1295890808105
"5","Actinastrum hantzschii",63.5,19.817,6.70700597763062,4.94527387619019
"6","Actinastrum hantzschii",63.525,19.80817,6.66263294219971,4.93662405014038
"7","Actinastrum hantzschii",63.49933,19.81817,6.70700597763062,4.94527387619019
"8","Actinastrum hantzschii",65.73,22.44667,5.56509876251221,3.92763590812683
"9","Actinastrum hantzschii",65.8075,22.375,5.53015899658203,3.92492890357971
"10","Actinastrum hantzschii",63.71049,20.33597,6.40638303756714,4.80235576629639
"11","Actinastrum hantzschii",65.80783,22.3745,5.53015899658203,3.92492890357971
"12","Actinastrum hantzschii",71.74669,128.87004,0.533685028553009,11.5499706268311
"13","Actinastrum hantzschii",2.599924,6.465848,27.9076366424561,32.5920333862305
"14","Actinastrum hantzschii",2.599924,6.465848,27.9076366424561,32.5920333862305
"15","Actinastrum hantzschii",54.38,18.96,10.270149230957,6.80853605270386
"16","Actinastrum hantzschii",52.426568,5.018184,11.9283771514893,31.1819515228271
"17","Actinastrum hantzschii",52.587521,5.026414,11.9316139221191,31.6008529663086
"18","Actinastrum hantzschii",52.543608,5.031741,11.9350347518921,31.474250793457
"19","Actinastrum hantzschii",52.874694,4.923804,11.8842372894287,31.707691192627
"20","Actinastrum hantzschii",53.14708,4.861558,11.862380027771,31.9426345825195
"21","Actinastrum hantzschii",54.38,18.93,10.270149230957,6.80853605270386
"22","Actinastrum hantzschii",63.66433,20.361,6.48706817626953,4.85276079177856
"23","Actinastrum hantzschii",54.46,18.96,10.2991285324097,6.82462787628174
"24","Actinastrum hantzschii",51.550564,4.239958,12.0810089111328,30.5118846893311
"25","Actinastrum hantzschii",51.829267,4.284024,12.0569868087769,30.2308807373047
"26","Actinastrum hantzschii",51.810643,4.306435,12.0569868087769,30.2308807373047
"27","Actinastrum hantzschii",51.676385,4.254526,12.0584077835083,30.4005928039551
"28","Actinastrum hantzschii",51.697806,4.328473,12.0584077835083,30.4005928039551
"29","Actinastrum hantzschii",51.738101,4.245696,12.0654706954956,30.3954105377197
"30","Actinastrum hantzschii",52.745811,5.12657,11.9235677719116,31.6043758392334
"31","Actinastrum hantzschii",51.678525,4.492358,12.0502338409424,30.2407341003418
"32","Actinastrum hantzschii",51.682186,4.214642,12.0654706954956,30.3954105377197
"33","Actinastrum hantzschii",51.735099,4.169864,12.0654706954956,30.3954105377197
"34","Actinastrum hantzschii",51.749986,4.20593,12.0654706954956,30.3954105377197
"35","Actinastrum hantzschii",51.805924,4.031949,12.089186668396,30.4697647094727
"36","Actinastrum hantzschii",51.798992,3.875192,12.1135778427124,30.4922561645508
"37","Actinastrum hantzschii",51.803814,3.950607,12.0947465896606,30.5704326629639
"38","Actinastrum hantzschii",51.804218,4.030565,12.089186668396,30.4697647094727
"39","Actinastrum hantzschii",51.798513,4.029287,12.089186668396,30.4697647094727
"40","Actinastrum hantzschii",53.410616,6.190976,11.4981412887573,32.1301002502441
"41","Actinastrum hantzschii",52.722257,5.139365,11.9235677719116,31.6043758392334
"42","Actinastrum hantzschii",51.824378,4.289859,12.0569868087769,30.2308807373047
"43","Actinastrum hantzschii",51.767582,4.105312,12.0798015594482,30.4909572601318
"44","Actinastrum hantzschii",51.802757,3.88349,12.1135778427124,30.4922561645508
"45","Actinastrum hantzschii",51.814685,3.965548,12.0947465896606,30.5704326629639
"46","Actinastrum hantzschii",51.739322,4.082744,12.0883893966675,30.6209297180176
"47","Actinastrum hantzschii",51.825899,4.028084,12.089186668396,30.4697647094727
"48","Actinastrum hantzschii",51.80542,3.945887,12.0947465896606,30.5704326629639
"49","Actinastrum hantzschii",51.686232,4.347892,12.0524778366089,30.2375812530518
"50","Actinastrum hantzschii",51.803613,4.090788,12.0798015594482,30.4909572601318
"51","Actinastrum hantzschii",52.900026,5.036869,11.8911256790161,31.5886306762695
"52","Actinastrum hantzschii",53.14708,4.861558,11.862380027771,31.9426345825195
"53","Actinastrum hantzschii",52.717277,5.228278,11.920093536377,31.4723262786865
"54","Actinastrum hantzschii",51.847669,4.077676,12.0894479751587,30.469518661499
"55","Actinastrum hantzschii",51.685397,4.2121,12.0654706954956,30.3954105377197
"56","Actinastrum hantzschii",51.707094,4.128745,12.072416305542,30.653341293335
"57","Actinastrum hantzschii",51.693588,4.22492,12.0654706954956,30.3954105377197
"58","Actinastrum hantzschii",51.749997,4.168391,12.0654706954956,30.3954105377197
"59","Actinastrum hantzschii",51.823745,4.134222,12.0798015594482,30.4909572601318
"60","Actinastrum hantzschii",51.661999,4.314307,12.0554542541504,30.4123573303223
"61","Actinastrum hantzschii",51.828731,4.006585,12.089186668396,30.4697647094727
"62","Actinastrum hantzschii",51.929283,4.143144,12.0830926895142,30.2878322601318
"63","Actinastrum hantzschii",35.945283,126.682153,15.1040782928467,29.5947914123535
"64","Actinastrum hantzschii",53.3752,6.164304,11.4905605316162,32.301155090332
