species,Lon,Lat,Temp,Sal,Status
Acanthocyclops capillatus,8.028536,58.183025,8.660345,34.717651,Native
Acanthocyclops capillatus,8.021293,58.18612,8.660345,34.717651,Native
Acanthocyclops capillatus,8.029008,58.188912,8.660345,34.717651,Native
Acanthocyclops capillatus,10.348524,63.422241,6.89156,35.173698,Native
Acanthocyclops capillatus,30.364056,69.694675,5.449779,34.588417,Native
Acanthocyclops capillatus,30.362897,69.694529,5.449779,34.588417,Native
Acanthocyclops capillatus,6.495274,58.310589,7.153983,35.108398,Native
Acanthocyclops capillatus,8.604971,58.409836,8.934278,34.002514,Native
Acanthocyclops capillatus,30.358394,69.697592,5.449779,34.588417,Native
Acanthocyclops capillatus,30.36027,69.697489,5.449779,34.588417,Native
Acanthocyclops robustus,5.198071,59.635589,7.410456,35.188015,PNIS
Acanthocyclops robustus,5.19405,59.632901,7.410456,35.188015,PNIS
Acanthocyclops robustus,5.273229,59.75744,7.346067,35.140236,PNIS
Acanthocyclops robustus,5.272909,59.755815,7.346067,35.140236,PNIS
Acanthocyclops robustus,5.118225,60.572345,7.601694,35.209801,PNIS
Acanthocyclops robustus,6.495274,58.310589,7.153983,35.108398,PNIS
Acanthocyclops robustus,6.423154,61.936461,9.261779,33.929363,PNIS
Acanthocyclops robustus,7.529234,62.817366,8.66928,34.877735,PNIS
Acanthocyclops robustus,11.64322,64.13154,8.770425,33.752556,PNIS
Acanthocyclops robustus,12.160272,64.236958,8.57427,33.571625,PNIS
Acanthocyclops robustus,11.709169,64.676402,8.608957,33.478966,PNIS
Acanthocyclops robustus,11.745728,64.131744,8.735825,33.705708,PNIS
Acanthocyclops robustus,11.978313,64.163472,8.646668,33.634087,PNIS
Acanthocyclops robustus,11.613465,64.665985,8.571308,34.421879,PNIS
Acanthocyclops robustus,11.851399,64.173662,8.648635,33.623314,PNIS
Acanthocyclops robustus,11.450505,64.698774,6.900868,35.22263,PNIS
Acanthocyclops robustus,11.574523,64.697856,7.239593,34.985844,PNIS
Acanthocyclops robustus,11.794372,64.72227,8.543548,33.46862,PNIS
Acanthocyclops robustus,11.560273,64.718532,7.239593,34.985844,PNIS
Acanthocyclops robustus,11.585461,64.101337,8.770425,33.752556,PNIS
Acanthocyclops robustus,5.211051,59.642749,7.410456,35.188015,PNIS
Acanthocyclops robustus,12.215786,64.213354,8.508574,33.55447,PNIS
Acanthocyclops robustus,17.932425,69.440285,7.313118,34.746994,PNIS
Acanthocyclops robustus,5.1575,60.559139,7.601694,35.209801,PNIS
Acanthocyclops robustus,6.765804,58.201533,7.281497,35.048771,PNIS
Acanthocyclops robustus,-0.19,38.92,19.562845,37.64143,PNIS
Acanthocyclops robustus,-4.484759,53.425906,11.348309,34.296272,PNIS
Acanthocyclops robustus,-52.176,-32.206,18.651726,24.550907,PNIS
Acanthocyclops robustus,-52.1,-32.148,18.707324,24.553188,PNIS
Acanthocyclops robustus,-52.106,-32.025,18.715195,24.336292,PNIS
Acanthocyclops robustus,-4.453818,52.887071,11.73775,34.394558,PNIS
Acanthocyclops robustus,17.288855,68.403069,6.747601,35.071781,PNIS
Acanthocyclops robustus,7.971777,63.157512,7.356508,35.177753,PNIS
Acanthocyclops robustus,5.222793,61.920058,8.373759,34.928616,PNIS
Acanthocyclops robustus,5.189483,60.362124,8.199627,34.861927,PNIS
Acanthocyclops robustus,6.959375,62.616201,8.930857,34.704708,PNIS
Acanthocyclops robustus,10.036789,59.081344,7.553692,34.933365,PNIS
Acanthocyclops robustus,5.278203,60.384375,8.037315,34.861969,PNIS
Acanthocyclops robustus,30.364056,69.694675,5.449779,34.588417,PNIS
Acanthocyclops robustus,5.167572,59.795907,8.552803,34.601101,PNIS
Acanthocyclops robustus,15.99636,68.029636,7.298139,34.667015,PNIS
Acanthocyclops robustus,15.661148,68.117425,7.101864,34.66396,PNIS
Acanthocyclops robustus,15.498817,67.614817,7.432797,34.23999,PNIS
Acanthocyclops robustus,15.480122,67.621152,7.432797,34.23999,PNIS
Acanthocyclops robustus,6.067916,62.344498,7.636317,35.198372,PNIS
Acanthocyclops robustus,15.663526,68.116519,7.101864,34.66396,PNIS
Acanthocyclops robustus,12.529036,66.075362,6.479555,35.126877,PNIS
Acanthocyclops robustus,12.529566,66.082946,6.479555,35.126877,PNIS
Acanthocyclops robustus,6.774023,62.594944,7.554408,35.181931,PNIS
Acanthocyclops robustus,10.645072,63.882167,9.175942,34.311764,PNIS
Acanthocyclops robustus,10.68395,63.88531,8.900309,34.705215,PNIS
Acanthocyclops robustus,10.668201,63.894469,8.900309,34.705215,PNIS
Acanthocyclops robustus,10.651071,63.880303,9.175942,34.311764,PNIS
Acanthocyclops robustus,12.370772,64.256435,8.435412,33.516327,PNIS
Acanthocyclops robustus,11.842066,64.137504,8.652773,33.681992,PNIS
Acanthocyclops robustus,11.94264,64.155264,8.646668,33.634087,PNIS
Acanthocyclops robustus,12.16193,64.178891,8.57427,33.571625,PNIS
Acanthocyclops robustus,11.756864,64.128365,8.722046,33.687546,PNIS
Acanthocyclops robustus,11.667185,64.11477,8.735825,33.705708,PNIS
Acanthocyclops robustus,11.602066,64.121336,8.770425,33.752556,PNIS
Acanthocyclops robustus,12.341055,64.264877,8.435412,33.516327,PNIS
Acanthocyclops robustus,11.718675,64.137165,8.735825,33.705708,PNIS
Acanthocyclops robustus,12.156324,64.233561,8.57427,33.571625,PNIS
Acanthocyclops robustus,12.294296,64.236182,8.504477,33.538815,PNIS
Acanthocyclops robustus,11.617911,64.093216,8.770425,33.752556,PNIS
Acanthocyclops robustus,11.912329,64.180121,8.648635,33.623314,PNIS
Acanthocyclops robustus,11.834733,64.166383,8.652773,33.681992,PNIS
Acanthocyclops robustus,12.240217,64.261212,8.505056,33.532307,PNIS
Acanthocyclops robustus,24.848,60.195,7.798337,6.151402,PNIS
Acanthocyclops robustus,22.422232,60.017574,7.447451,6.326428,PNIS
Acanthocyclops robustus,22.454676,59.882912,7.751191,6.279066,PNIS
Acanthocyclops robustus,22.422231,60.017574,7.447451,6.326428,PNIS
Acanthocyclops robustus,4.952569,60.48799,7.586291,35.123959,PNIS
Acanthocyclops robustus,5.119152,60.622412,7.497159,35.124115,PNIS
Acanthocyclops robustus,4.814967,60.603505,8.791414,34.529907,PNIS
Acanthocyclops robustus,5.030935,60.269484,9.126813,34.544689,PNIS
Acanthocyclops robustus,4.954049,60.479965,7.586291,35.123959,PNIS
Acanthocyclops robustus,5.08755,60.565413,7.601694,35.209801,PNIS
Acanthocyclops robustus,6.253526,59.771664,9.940855,33.54089,PNIS
Acanthocyclops robustus,5.844023,60.233486,9.882125,33.449978,PNIS
Acanthocyclops robustus,6.399381,59.286715,7.021521,35.166691,PNIS
Acanthocyclops robustus,6.382111,59.26744,7.021521,35.166691,PNIS
Acanthocyclops robustus,6.564984,60.000187,9.460625,34.326813,PNIS
Acanthocyclops robustus,8.604971,58.409836,8.934278,34.002514,PNIS
Acanthocyclops robustus,8.639172,58.382922,8.934278,34.002514,PNIS
Acanthocyclops robustus,10.965836,59.40126,10.12608,27.602856,PNIS
Acanthocyclops robustus,11.047102,59.040099,9.768824,30.171333,PNIS
Acanthocyclops robustus,13.356718,66.348511,7.488641,34.551666,PNIS
Acanthocyclops robustus,13.070381,66.417509,6.788014,34.803188,PNIS
Acanthocyclops robustus,13.163233,66.349181,7.751733,34.560455,PNIS
Acanthocyclops robustus,15.032165,67.72859,6.256375,34.863857,PNIS
Acanthocyclops robustus,12.541074,66.081641,6.479555,35.126877,PNIS
Acanthocyclops robustus,13.46276,66.625239,6.885578,34.789356,PNIS
Acanthocyclops robustus,12.795429,66.253876,7.109959,34.809834,PNIS
Acanthocyclops robustus,25.830268,70.878171,5.850515,34.865654,PNIS
Acanthocyclops robustus,5.516739,59.320279,8.039655,34.951672,PNIS
Acanthocyclops robustus,30.358394,69.697592,5.449779,34.588417,PNIS
Acanthocyclops robustus,11.24394,59.241517,9.131504,33.416225,PNIS
Acanthocyclops robustus,10.701965,59.776081,8.423946,34.524971,PNIS
Acanthocyclops robustus,10.833352,59.464465,10.116733,27.599468,PNIS
Acanthocyclops robustus,10.848986,59.445226,10.116733,27.599468,PNIS
Acanthocyclops robustus,10.840811,59.439168,10.116733,27.599468,PNIS
Acanthocyclops robustus,30.36027,69.697489,5.449779,34.588417,PNIS
Acanthocyclops robustus,3.684022,63.600764,-0.78381,34.911163,PNIS
Acanthocyclops robustus,12.493287,65.392689,6.749986,34.977077,PNIS
Acanthocyclops robustus,12.432685,65.458838,8.609305,34.136139,PNIS
Acanthocyclops robustus,12.53796,65.400171,8.175595,33.862862,PNIS
Acanthocyclops robustus,12.532118,65.361867,8.175595,33.862862,PNIS
Acanthocyclops robustus,-80.9375,25.3125,26.532842,35.894753,PNIS
Acanthocyclops robustus,-56.543333,47.526667,7.846084,34.188351,PNIS
Acanthocyclops robustus,-77,38,16.296072,32.980141,PNIS
Acanthocyclops robustus,69.457016,-49.172378,3.83126,33.736565,PNIS
Acanthocyclops vernalis,30.362897,69.694529,5.449779,34.588417,Native
Acanthocyclops vernalis,11.899282,64.740499,8.534722,33.479599,Native
Acanthocyclops vernalis,11.745728,64.131744,8.735825,33.705708,Native
Acanthocyclops vernalis,12.016678,64.207171,8.579361,33.597004,Native
Acanthocyclops vernalis,11.64322,64.13154,8.770425,33.752556,Native
Acanthocyclops vernalis,138.908491,-35.531543,16.537754,35.647449,Native
Acanthocyclops vernalis,29.9,59.880001,5.412549,6.153141,Native
Acanthocyclops vernalis,5.407553,52.4228,11.756265,32.709454,Native
Acanthocyclops vernalis,5.4102,52.423905,11.756265,32.709454,Native
Acanthocyclops vernalis,4.138075,51.98818,12.024294,33.06699,Native
Acanthocyclops vernalis,4.152647,51.996712,12.024294,33.06699,Native
Acanthocyclops vernalis,4.219319,51.534538,12.087018,33.062531,Native
Acanthocyclops vernalis,3.795629,51.601814,12.132048,34.191799,Native
Acanthocyclops vernalis,4.141242,51.522315,12.105489,33.13509,Native
Acanthocyclops vernalis,4.920178,52.395997,11.864374,32.792988,Native
Acanthocyclops vernalis,4.919372,52.395805,11.864374,32.792988,Native
Acanthocyclops vernalis,7.326082,61.185487,7.494083,35.209167,Native
Acanthocyclops vernalis,143.367,46.45,6.280483,32.372929,Native
Acanthocyclops vernalis,143.367,42.45,9.070794,33.14748,Native
Cyclops vernalis,-134.050003,69.57,0.416653,25.406269,Native
Cyclops vernalis,-134.130005,69.540001,0.42284,25.317265,Native
Cyclops vernalis,-134.119995,69.540001,0.42284,25.317265,Native
Cyclops vernalis,-134.100006,69.559998,0.42284,25.317265,Native
Cyclops vernalis,-134.089996,69.550003,0.42284,25.317265,Native
Cyclops vernalis,-132.970001,69.43,0.375394,25.943871,Native
Cyclops vernalis,-132.970001,69.440002,0.375394,25.943871,Native
Cyclops vernalis,-132.990005,69.440002,0.375394,25.943871,Native
Cyclops vernalis,-132.990005,69.449997,0.375394,25.943871,Native
Cyclops vernalis,-133,69.449997,0.375394,25.943871,Native
Cyclops vernalis,-138.789993,69.410004,0.040835,24.65427,Native
Cyclops vernalis,-138.809998,69.470001,-0.086548,28.406984,Native
Cyclops vernalis,-137.190002,69.300003,0.04818,29.751776,Native
Cyclops vernalis,-138.740005,69.389999,-0.044157,28.441469,Native
Cyclops vernalis,-138.789993,69.459999,-0.086548,28.406984,Native
Cyclops vernalis,-138.830002,69.599998,-0.525965,31.379969,Native
Cyclops vernalis,-135.5,69.650002,0.376416,24.999611,Native
Cyclops vernalis,-138.699997,69.660004,-0.694144,32.247868,Native
Acanthocyclops vernalis,-2.887584,53.340594,11.388197,34.336094,Native
Acanthocyclops vernalis,12.370772,64.256435,8.435412,33.516327,Native
Acanthocyclops vernalis,11.842066,64.137504,8.652773,33.681992,Native
Acanthocyclops vernalis,12.199593,64.213743,8.508574,33.55447,Native
Acanthocyclops vernalis,12.240217,64.261212,8.505056,33.532307,Native
Acanthocyclops vernalis,11.94264,64.155264,8.646668,33.634087,Native
Acanthocyclops vernalis,11.756864,64.128365,8.722046,33.687546,Native
Acanthocyclops vernalis,12.16193,64.178891,8.57427,33.571625,Native
Acanthocyclops vernalis,12.156324,64.233561,8.57427,33.571625,Native
Acanthocyclops vernalis,11.602066,64.121336,8.770425,33.752556,Native
Acanthocyclops vernalis,11.667185,64.11477,8.735825,33.705708,Native
Acanthocyclops vernalis,12.294296,64.236182,8.504477,33.538815,Native
Acanthocyclops vernalis,11.617911,64.093216,8.770425,33.752556,Native
Acanthocyclops vernalis,11.903622,64.13629,8.652773,33.681992,Native
Acanthocyclops vernalis,11.718675,64.137165,8.735825,33.705708,Native
Acanthocyclops vernalis,11.912329,64.180121,8.648635,33.623314,Native
Acanthocyclops vernalis,12.039119,64.171958,8.579361,33.597004,Native
Acanthocyclops vernalis,-2.794801,51.561184,12.434137,34.999676,Native
Acanthocyclops vernalis,-2.831107,51.574419,12.434137,34.999676,Native
Acanthocyclops vernalis,11.615575,63.871467,8.853867,33.823288,Native
Acanthocyclops vernalis,22.256474,59.921773,7.246188,6.746458,Native
Acanthocyclops vernalis,-34,-58,0.135204,34.667858,Native
