Day,Month,Year,Day of year,OITO_F_1,OITO_F_2,OITO_F_3,OITO_F_25,OITO_M_1,OITO_M_2,OITO_M_3,OITO_M_25,OITO_C_1,OITO_C_2,OITO_C_3,OITO_C_25,OITO_J_1,OITO_J_2,OITO_J_3,OITO_1,OITO_2,OITO_3,OITO_25,MIC_A_1,MIC_A_2,MIC_A_3,MIC_A_25,MIC_C_1,MIC_C_2,MIC_C_3,MIC_C_25,MIC_J_1,MIC_N0_J_2,MIC_J_3,MIC_J_25,MIC_N_1,MIC_N_2,MIC_N_3,MIC_N_25,MIC_1,MIC_2,MIC_3,MIC_25
2,1,1961,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1,1961,20,0,55,15,33,0,0,0,0,288,762,109,572,NA,NA,NA,288,817,124,605,0,0,0,0,69,20,0,40,0,0,0,0,0,0,0,0,69,20,0,40
1,2,1961,30,0,20,0,12,0,0,0,0,467,330,20,385,NA,NA,NA,467,350,20,397,0,0,0,0,27,18,20,22,0,0,0,0,0,0,0,0,27,18,20,22
8,2,1961,40,0,28,0,17,0,0,0,0,206,532,36,402,NA,NA,NA,206,560,36,418,0,0,0,0,0,20,20,12,0,0,0,0,0,0,0,0,0,20,20,12
20,2,1961,50,0,0,0,0,0,0,0,0,1600,148,20,729,NA,NA,NA,1600,148,20,729,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0
NA,NA,1961,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1961,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1961,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1961,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,4,1961,100,0,20,0,12,0,0,0,0,1470,1175,72,1293,NA,NA,NA,1470,1195,72,1305,0,0,0,0,137,86,17,106,0,0,0,0,0,0,0,0,137,86,17,106
NA,NA,1961,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1961,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1961,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1961,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
