Site;Sample;Position;Lat;Lon;N_T;N_E
Anis;Anis1;Algae;67.06733333;32.56813333;26;154
Anis;Anis2;Bottom;67.06733333;32.56813333;2;71
Anis;Anis3;Algae;67.06733333;32.56813333;37;124
Anis;Anis4;Bottom;67.06733333;32.56813333;0;30
Anis;Anis5;Algae;67.06733333;32.56813333;53;149
Anis;Anis6;Bottom;67.06733333;32.56813333;2;30
Ber;Ber1;Algae;67.103529;32.518556;83;49
Ber;Ber2;Bottom;67.103529;32.518556;0;13
Ber;Ber3;Algae;67.103529;32.518556;255;50
Ber;Ber4;Bottom;67.103529;32.518556;12;35
Ber;Ber5;Algae;67.103529;32.518556;86;85
Ber;Ber6;Bottom;67.103529;32.518556;13;38
Bersakol;Bersakol1;Algae;66.99566667;32.82041667;31;107
Bersakol;Bersakol2;Bottom;66.99566667;32.82041667;1;105
Bersakol;Bersakol3;Algae;66.99566667;32.82041667;9;28
Bersakol;Bersakol4;Bottom;66.99566667;32.82041667;3;181
Bersakol;Bersakol5;Algae;66.99566667;32.82041667;13;72
Bersakol;Bersakol6;Bottom;66.99566667;32.82041667;5;176
Ir;Ir1;Algae;67.05093333;32.48115;148;216
Ir;Ir2;Bottom;67.05093333;32.48115;30;78
Ir;Ir3;Algae;67.05093333;32.48115;160;205
Ir;Ir4;Bottom;67.05093333;32.48115;23;125
Ir;Ir5;Algae;67.05093333;32.48115;91;94
Ir;Ir6;Bottom;67.05093333;32.48115;19;73
Kibr1;Kibr1;Algae;66.9345;32.82238333;9;146
Kibr1;Kibr2;Bottom;66.9345;32.82238333;6;152
Kibr1;Kibr3;Algae;66.9345;32.82238333;15;171
Kibr1;Kibr4;Bottom;66.9345;32.82238333;3;93
Kibr1;Kibr5;Algae;66.9345;32.82238333;3;111
Kibr1;Kibr6;Bottom;66.9345;32.82238333;2;85
Kibr2;Kibr10;Bottom;66.93538333;32.8249;2;342
Kibr2;Kibr11;Algae;66.93538333;32.8249;186;452
Kibr2;Kibr12;Bottom;66.93538333;32.8249;0;82
Kibr2;Kibr7;Algae;66.93538333;32.8249;40;197
Kibr2;Kibr8;Bottom;66.93538333;32.8249;6;106
Kibr2;Kibr9;Algae;66.93538333;32.8249;6;76
Kolv1;Kolv_1;Algae;67.07536667;32.91685;8;6
Kolv1;Kolv_2;Bottom;67.07536667;32.91685;8;29
Kolv1;Kolv_3;Algae;67.07536667;32.91685;11;12
Kolv1;Kolv_4;Bottom;67.07536667;32.91685;6;23
Kolv1;Kolv_5;Algae;67.07536667;32.91685;14;8
Kolv1;Kolv_6;Bottom;67.07536667;32.91685;5;10
Kolv2;Kolv_10;Bottom;67.063997;32.834742;17;55
Kolv2;Kolv_11;Algae;67.063997;32.834742;37;120
Kolv2;Kolv_12;Bottom;67.063997;32.834742;15;81
Kolv2;Kolv_7;Algae;67.063997;32.834742;32;119
Kolv2;Kolv_8;Bottom;67.063997;32.834742;10;100
Kolv2;Kolv_9;Algae;67.063997;32.834742;45;110
Kolv3;Kolv_13;Algae;67.085468;32.934362;2;1
Kolv3;Kolv_14;Bottom;67.085468;32.934362;0;6
Kolv3;Kolv_15;Algae;67.085468;32.934362;2;4
Kolv3;Kolv_16;Bottom;67.085468;32.934362;1;1
Kolv3;Kolv_17;Algae;67.085468;32.934362;6;1
Kolv3;Kolv_18;Bottom;67.085468;32.934362;3;3
Lud;Lud1;Algae;67.033929;32.477844;79;36
Lud;Lud2;Bottom;67.033929;32.477844;196;278
Lud;Lud3;Algae;67.033929;32.477844;113;201
Lud;Lud4;Bottom;67.033929;32.477844;43;391
Lud;Lud5;Algae;67.033929;32.477844;373;260
Lud;Lud6;Bottom;67.033929;32.477844;91;694
Olen;Olen1;Algae;67.096875;32.341194;117;13
Olen;Olen2;Bottom;67.096875;32.341194;79;19
Olen;Olen3;Algae;67.096875;32.341194;104;22
Olen;Olen4;Bottom;67.096875;32.341194;61;25
Olen;Olen5;Algae;67.096875;32.341194;88;14
Olen;Olen6;Bottom;67.096875;32.341194;99;22
Ryazh1;Ryazh1;Algae;67.00815;32.57235;37;159
Ryazh1;Ryazh2;Bottom;67.00815;32.57235;26;106
Ryazh1;Ryazh3;Algae;67.00815;32.57235;116;21
Ryazh1;Ryazh4;Bottom;67.00815;32.57235;31;140
Ryazh1;Ryazh5;Algae;67.00815;32.57235;111;182
Ryazh1;Ryazh6;Bottom;67.00815;32.57235;38;128
Ryazh2;Ryazh10;Bottom;67.00683333;32.58006667;22;108
Ryazh2;Ryazh11;Algae;67.00683333;32.58006667;50;110
Ryazh2;Ryazh12;Bottom;67.00683333;32.58006667;25;78
Ryazh2;Ryazh7;Algae;67.00683333;32.58006667;32;44
Ryazh2;Ryazh8;Bottom;67.00683333;32.58006667;38;111
Ryazh2;Ryazh9;Algae;67.00683333;32.58006667;28;55
Ryazh3;Ryazh13;Algae;67.02508333;32.54033333;113;94
Ryazh3;Ryazh14;Bottom;67.02508333;32.54033333;56;109
Ryazh3;Ryazh15;Algae;67.02508333;32.54033333;132;72
Ryazh3;Ryazh16;Bottom;67.02508333;32.54033333;22;60
Ryazh3;Ryazh17;Algae;67.02508333;32.54033333;150;40
Ryazh3;Ryazh18;Bottom;67.02508333;32.54033333;24;78
Ryazh4;Ryazh19;Algae;67.02585;32.5385;99;219
Ryazh4;Ryazh20;Bottom;67.02585;32.5385;30;188
Ryazh4;Ryazh21;Bottom;67.02585;32.5385;30;103
Ryazh4;Ryazh22;Bottom;67.02585;32.5385;29;124
Ryazh4;Ryazh23;Algae;67.02585;32.5385;71;148
Ryazh4;Ryazh24;Bottom;67.02585;32.5385;14;58
Ryazh5;Ryazh25;Algae;67.00683333;32.58006667;49;170
Ryazh5;Ryazh26;Bottom;67.00683333;32.58006667;6;118
Ryazh5;Ryazh27;Algae;67.00683333;32.58006667;49;229
Ryazh5;Ryazh28;Bottom;67.00683333;32.58006667;6;129
Ryazh5;Ryazh29;Algae;67.00683333;32.58006667;91;124
Ryazh5;Ryazh30;Bottom;67.00683333;32.58006667;0;74
Ryazh6;Ryazh31;Algae;67.0094;32.55001667;139;203
Ryazh6;Ryazh32;Bottom;67.0094;32.55001667;21;141
Ryazh6;Ryazh33;Algae;67.0094;32.55001667;37;81
Ryazh6;Ryazh34;Bottom;67.0094;32.55001667;3;72
Ryazh6;Ryazh35;Algae;67.0094;32.55001667;30;46
Ryazh6;Ryazh36;Bottom;67.0094;32.55001667;21;54
Ryazh7;Ryazh43;Algae;67.028334;32.531011;44;208
Ryazh7;Ryazh44;Bottom;67.028334;32.531011;10;65
Ryazh7;Ryazh45;Algae;67.028334;32.531011;74;212
Ryazh7;Ryazh46;Bottom;67.028334;32.531011;3;49
Ryazh7;Ryazh47;Algae;67.028334;32.531011;67;212
Ryazh7;Ryazh48;Bottom;67.028334;32.531011;0;36
Ryazh8;Ryazh55;Algae;67.01993333;32.57121667;25;74
Ryazh8;Ryazh56;Bottom;67.01993333;32.57121667;14;71
Ryazh8;Ryazh57;Algae;67.01993333;32.57121667;71;202
Ryazh8;Ryazh58;Bottom;67.01993333;32.57121667;11;50
Ryazh8;Ryazh59;Algae;67.01993333;32.57121667;94;101
Ryazh8;Ryazh60;Bottom;67.01993333;32.57121667;4;37
Tel;Tel1;Algae;67.106144;32.322582;75;39
Tel;Tel2;Bottom;67.106144;32.322582;108;15
Tel;Tel3;Algae;67.106144;32.322582;176;31
Tel;Tel4;Bottom;67.106144;32.322582;83;13
Tel;Tel5;Algae;67.106144;32.322582;102;19
Tel;Tel6;Bottom;67.106144;32.322582;67;7
Tel2;Tel2-1;Algae;67.10595;32.32296667;236;44
Tel2;Tel2-2;Bottom;67.10595;32.32296667;191;5
Tel2;Tel2-3;Algae;67.10595;32.32296667;167;100
Tel2;Tel2-4;Bottom;67.10595;32.32296667;155;43
Tel2;Tel2-5;Algae;67.10595;32.32296667;105;37
Tel2;Tel2-6;Bottom;67.10595;32.32296667;143;10
LomExp;LomExp1;Algae;66.9695;32.60041667;78;132
LomExp;LomExp2;Bottom;66.9695;32.60041667;21;197
LomExp;LomExp3;Algae;66.9695;32.60041667;171;183
LomExp;LomExp4;Bottom;66.9695;32.60041667;17;58
LomExp;LomExp5;Algae;66.9695;32.60041667;143;77
LomExp;LomExp6;Bottom;66.9695;32.60041667;8;125
KurtExp;KurtExp1;Algae;67.10778333;32.6209;97;17
KurtExp;KurtExp2;Bottom;67.10778333;32.6209;12;34
KurtExp;KurtExp3;Algae;67.10778333;32.6209;59;21
KurtExp;KurtExp4;Bottom;67.10778333;32.6209;26;61
KurtExp;KurtExp5;Algae;67.10778333;32.6209;77;9
KurtExp;KurtExp6;Bottom;67.10778333;32.6209;7;15
Sedl2;Sedl2_1;Algae;66.9396;32.65831667;93;92
Sedl2;Sedl2_2;Bottom;66.9396;32.65831667;6;86
Sedl2;Sedl2_3;Algae;66.9396;32.65831667;68;75
Sedl2;Sedl2_4;Bottom;66.9396;32.65831667;10;68
Sedl2;Sedl2_5;Algae;66.9396;32.65831667;74;36
Sedl2;Sedl2_6;Bottom;66.9396;32.65831667;3;23
LomShel;LomShel1;Algae;66.97156667;32.61031667;390;231
LomShel;LomShel2;Bottom;66.97156667;32.61031667;329;276
LomShel;LomShel3;Algae;66.97156667;32.61031667;326;105
LomShel;LomShel4;Bottom;66.97156667;32.61031667;169;111
LomShel;LomShel5;Algae;66.97156667;32.61031667;93;114
LomShel;LomShel6;Bottom;66.97156667;32.61031667;162;33
Kand;Kand1;Algae;67.1276;32.43231667;44;31
Kand;Kand2;Bottom;67.1276;32.43231667;35;26
Kand;Kand3;Algae;67.1276;32.43231667;54;1
Kand;Kand4;Bottom;67.1276;32.43231667;66;26
Kand;Kand5;Algae;67.1276;32.43231667;23;7
Kand;Kand6;Bottom;67.1276;32.43231667;80;42
Bar;Bar1;Algae;67.12138333;32.45536667;50;7
Bar;Bar2;Bottom;67.12138333;32.45536667;47;13
Bar;Bar3;Algae;67.12138333;32.45536667;24;1
Bar;Bar4;Bottom;67.12138333;32.45536667;66;5
Bar;Bar5;Algae;67.12138333;32.45536667;27;10
Bar;Bar6;Bottom;67.12138333;32.45536667;133;26
KibrExp;KibrExp1;Algae;66.92906667;32.83261667;128;141
KibrExp;KibrExp2;Bottom;66.92906667;32.83261667;7;59
KibrExp;KibrExp3;Algae;66.92906667;32.83261667;60;55
KibrExp;KibrExp4;Bottom;66.92906667;32.83261667;2;30
KibrExp;KibrExp5;Algae;66.92906667;32.83261667;109;125
KibrExp;KibrExp6;Bottom;66.92906667;32.83261667;13;99
Knyazh;Knyazh1;Algae;66.9112;32.62318333;186;3
Knyazh;Knyazh2;Bottom;66.9112;32.62318333;24;40
Knyazh;Knyazh3;Algae;66.9112;32.62318333;89;19
Knyazh;Knyazh4;Bottom;66.9112;32.62318333;9;17
Knyazh;Knyazh5;Algae;66.9112;32.62318333;165;57
Knyazh;Knyazh6;Bottom;66.9112;32.62318333;2;17
Val;Val1;Algae;66.92775;32.53526667;48;10
Val;Val2;Bottom;66.92775;32.53526667;102;70
Val;Val3;Algae;66.92775;32.53526667;133;32
Val;Val4;Bottom;66.92775;32.53526667;62;51
Val;Val5;Algae;66.92775;32.53526667;191;51
Val;Val6;Bottom;66.92775;32.53526667;155;251
VorShel;VorShel2-1;Algae;66.93415;32.52638333;148;51
VorShel;VorShel2-2;Bottom;66.93415;32.52638333;58;85
VorShel;VorShel2-3;Algae;66.93415;32.52638333;122;58
VorShel;VorShel2-4;Bottom;66.93415;32.52638333;96;60
VorShel;VorShel2-5;Algae;66.93415;32.52638333;167;11
VorShel;VorShel2-6;Bottom;66.93415;32.52638333;74;46
KibrShel;KibrShel1;Algae;66.93615;32.82288333;110;86
KibrShel;KibrShel2;Bottom;66.93615;32.82288333;8;59
KibrShel;KibrShel3;Algae;66.93615;32.82288333;180;80
KibrShel;KibrShel4;Bottom;66.93615;32.82288333;5;40
KibrShel;KibrShel5;Algae;66.93615;32.82288333;118;150
KibrShel;KibrShel6;Bottom;66.93615;32.82288333;1;56
Rog;Rog1;Algae;66.8725;32.7365;15;6
Rog;Rog2;Bottom;66.8725;32.7365;19;25
Rog;Rog3;Algae;66.8725;32.7365;27;3
Rog;Rog4;Bottom;66.8725;32.7365;23;31
Rog;Rog5;Algae;66.8725;32.7365;73;16
Rog;Rog6;Bottom;66.8725;32.7365;33;44
Zhemexp;Zhemexp1;Algae;66.89616667;32.5019;70;26
Zhemexp;Zhemexp2;Bottom;66.89616667;32.5019;7;20
Zhemexp;Zhemexp3;Algae;66.89616667;32.5019;61;42
Zhemexp;Zhemexp4;Bottom;66.89616667;32.5019;4;15
Zhemexp;Zhemexp5;Algae;66.89616667;32.5019;111;44
Zhemexp;Zhemexp6;Bottom;66.89616667;32.5019;13;24
Zhemshel;Zhemshel1;Algae;66.88973333;32.46765;66;31
Zhemshel;Zhemshel2;Bottom;66.88973333;32.46765;21;3
Zhemshel;Zhemshel3;Algae;66.88973333;32.46765;44;28
Zhemshel;Zhemshel4;Bottom;66.88973333;32.46765;48;10
Zhemshel;Zhemshel5;Algae;66.88973333;32.46765;22;6
Zhemshel;Zhemshel6;Bottom;66.88973333;32.46765;33;12
