,Depth,Temperature,Salinity,Chl.a,Gravel,Sand,Mud
143W-1,37,-1.4246,32.2416,6.35,4.1,32.9,63.1
143W-2,45,-1.6181,32.4307,3.45,15.7,51.7,32.6
152W0,13,-0.6393,31.4289,10.52,0,2.3,97.7
152W1,36,0.6645,31.5759,6.75,0,2.5,97.5
70-142,62,-1.5912,32.3553,1.88,9.3,48.4,42.2
70-143,54,-1.5489,32.3226,5.08,4.6,41.1,54.4
70-145,43,-1.6053,32.1256,0.63,74.8,14.5,10.6
71-149,62,-1.4712,31.4109,0.77,5.4,73.6,21
71-150,15,-1.4625,31.8046,5.5,0,94.1,5.9
A1-20 PSBT-31,20,0.33,32.27,75.9,40.6,36.6,22.8
A1-50 PSBT-34,50,-1.24,32.22,7.48,0.3,14.4,85.4
A2-20 PSBT-26,20,-0.07,31.6,7.11,26.3,48.4,25.3
A2-50 PSBT 23,50,-1.3,32.3,8.24,3.6,47.9,48.5
A4-20 PSBT 13,20,-0.78,31.92,2.9,0.6,98,1.4
A4-35 PSBT 14,35,-0.81,31.94,2.8,4.2,44.5,51.3
A4-50 PSBT 15,50,-0.9,31.91,2.86,32.9,35.8,31.3
A5-20 PSBT 11,20,-0.47,31.79,9.23,0,44.1,55.9
A5-35 PSBT 10,35,-1.27,31.92,5.57,11.1,64.4,24.5
A5-50 PSBT 9,50,-1.43,32.42,3.22,14.3,45.6,40.1
A6-20 PSBT 2,20,-0.49,31.68,5.45,0.1,7.7,92.2
A6-37 PSBT 3,37,-1.4,32.09,5.87,0.5,35.7,63.8
A6-50 PSBT 5,50,-1.39,32.2,6.71,13.7,29.3,57
AN14-1,64,-0.2272,31.63313668,1.01,42.7,19.6,37.7
AN14-1.05,16,-0.7204,30.41877943,0.17,0,21.5,78.6
AN14-10,24,-1.5599,31.62700195,3.48,9.3,16.6,74
AN14-11,44,-0.9043,31.45450272,2.37,0.4,49.4,50.1
AN14-12,39,-1.4695,31.59867779,21.35,0.2,36.8,63
AN14-15,40,-1.4658,31.74048838,1.85,61.9,21.6,16.5
AN14-16,61,-1.5277,31.76441773,0.62,17.2,48,34.8
AN14-1C,24,-0.7246,30.49850459,0.45,0,26.1,73.9
AN14-20,39,-1.6081,32.00098501,0.72,0.5,75.2,24.3
AN14-21,39,-1.3542,31.63699168,0.4,8,47.2,44.8
AN14-22,35,-0.3614,30.99311888,3.56,11.3,12.8,75.9
AN14-23,35,0.0146,30.91961012,4.44,0.5,52.4,47
AN14-24,52,-1.3591,31.83089356,2.37,0.5,31.8,67.7
AN14-25,23,2.9317,29.69313929,5.63,0,38.5,61.4
AN14-5,19,-1.4188,31.09653654,0.11,0,93.4,6.6
AN14-5(5),19,-1.5737,31.14060896,0.78,1.7,53.5,44.8
AN14-6,54,0.5249,31.02828302,2.81,9.1,42.2,48.7
AN14-6D,19,-1.4918,31.50857594,14.51,0.1,79.7,20.1
AN14-7,25,-1.5362,31.6137313,0.54,0,9.7,90.3
AN14-7C (24),10,-1.3317,30.51065421,0.15,0.9,31.3,67.9
AN14-9,36,-0.3635,31.16178923,4.85,1.2,23.1,75.6
AN14-L250-5,30,-1.6199,31.54825561,1.39,0,33.75,66.25
AN14-T3,38,-1.4698,31.85936503,2.06,4.1,43.3,52.6
TBS-50 PSBT 61,50,-1.32,32.37,5.93,45.8,26.6,27.6
