,BF1,BF2,BF3,BF4,BF5,BS1,BS2,BS3,BS4,BS5,FH1,FH2,FH3,FH4,FH5,F1,F2,F3,LD1,LD2,LD3,LH1,LH2,LH3,LH4,LH5,LH6,MV1,MV2,MV3,MV4,R1,R2,R3,R4,SO1,SO2,SO3
Acanthonotozoma.inflatum,0,0,0,3,0,1,2,0,0,0,0,0,1,2,0,0,1,2,0,0,3,3,0,0,0,0,0,0,0,2,2,0,0,0,3,2,2,0
Acanthonotozoma.rusanovae,0,0,0,3,0,0,3,0,0,0,0,0,1,2,0,0,1,2,0,0,3,3,0,0,0,0,0,0,0,2,2,0,0,0,3,2,1,0
Acanthostepheia.behringiensis,0,0,0,3,0,0,2,1,0,0,0,0,3,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,2,0,2,0,0,0,3,2,2,0
Acanthostepheia.malmgreni,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0
Actinaria,2,1,0,0,3,0,0,2,2,0,1,1,1,2,0,1,3,2,2,3,1,1,1,0,1,1,2,3,1,2,1,1,2,0,1,2,2,1
Adalaria.sp.,2,0,1,0,0,0,2,1,0,0,0,0,0,3,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
Admete.solida,1,0,0,0,2,0,2,2,0,0,0,0,0,0,3,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
Admete.sp..,1,0,0,0,2,0,2,2,0,0,0,0,0,0,3,1,2,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
Admete.viridula,1,0,0,0,2,0,2,1,0,0,0,0,0,0,3,1,2,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
Alcyonidium.disciforme,1,0,2,0,0,0,2,2,0,0,0,3,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,3,0,0,0,1,0,0,2,0,0,3
Alcyonidium.gelatinosum,0,0,0,0,3,0,0,2,2,1,0,3,0,0,0,0,2,1,0,3,0,0,0,0,0,1,2,3,0,0,0,1,0,0,2,0,0,3
