"","Gravel","Sand","Mud","Depth","Temp","Salinity","Chl.a"
"CL0",74.06,10.55,15.39,23,9.81,30.19,5.56
"CL1",0.24,23.83,75.93,41,7.47,31.7,7.13
"CL2",1.23,16.4,82.37,42,6.62,31.96,7.82
"CL3",0.05,2.76,97.19,42,4.73,32.14,12.21
"DBO3-1",90.52,6.83,2.66,27,8.47,31.19,2.88
"DBO3-2",61.31,24.11,14.58,36,7.64,31.72,8
"DBO3-3",33.05,39.33,27.62,41,7.37,31.9,5.08
"DBO3-4",36.85,43.69,19.47,44,5.86,32.03,7.92
"DBO3-5",0.24,73.59,26.17,47,4.68,32.26,15.61
"DBO3-6",0,29.89,70.11,54,4.18,32.6,17.38
"DBO3-7",0,8.88,91.12,43,3.92,32.69,21.82
"DBO3-8",0.13,25.22,74.65,44,3.82,32.75,16.42
"ML1-1",1.43,55.12,43.45,11,7.3,30.59,5.12
"ML1-11",0.23,19.49,80.28,38,0.1,32.4,5.48
"ML1-12",0.29,15.63,84.08,38,0.37,32.32,4.64
"ML1-13",0.04,7.12,92.85,42,-0.14,32.38,7.58
"ML1-2",0.24,98.77,1,18,7.53,30.74,6.79
"ML1-4",0,87.04,12.96,30,6.62,31.21,10.19
"ML1-5",1.22,61.94,36.84,37,5.59,31.7,7.6
"ML1-6",3.63,40.27,56.1,40,4.9,31.88,5.12
"ML1-7",0.51,59.8,39.69,34,4.82,31.9,8.21
"ML1-8",0.27,58.12,41.61,38,1.28,32.29,8.6
"ML1-9",0.2,12.81,87,37,0.67,32.34,11.3
"ML3-1",12.13,57.36,30.51,13,2.21,31.79,5.89
"ML3-10",19.75,30.11,50.14,36,0.71,32.21,12.53
"ML3-11",0.47,70.72,28.81,33,1.49,32.18,18.8
"ML3-12",0.05,42.58,57.37,34,1.13,32.11,8.29
"ML3-13",0.03,36.02,63.95,36,1.41,32.08,11.46
"ML3-14",0.06,6.84,93.09,40,1.63,32.23,13.73
"ML3-2",0,73.73,26.27,22,1.61,32.01,9.53
"ML3-3",20.39,58.35,21.26,35,1.11,32.02,6.32
"ML3-5",0.49,70.18,29.33,41,-0.89,32.23,9.81
"ML3-6",3.59,32.97,63.43,42,-1.19,32.27,14.45
"ML3-7",0.85,22.69,76.46,41,-1.3,32.26,10.75
"ML3-8",1.43,2.96,95.6,40,-0.28,32.2,15.75
"ML3-9",0.43,26.25,73.31,38,0.71,32.23,6.21
"ML4-1",9.38,70.39,20.22,23,3.93,31.41,5.15
"ML4-10",0.91,80.26,18.83,28,-1.21,32.06,12.01
"ML4-11",0.4,43.29,56.3,35,0.23,32.21,13.67
"ML4-12",0.08,22.01,77.9,35,0.34,32.16,8.8
"ML4-13",0.04,4.08,95.87,40,-0.1,32.33,13.64
"ML4-14",0.15,5.27,94.58,44,-1.15,32.48,16.59
"ML4-2",4.14,43.81,52.05,41,0.75,32.08,8.89
"ML4-5",0.16,22.99,76.85,45,-1.64,32.46,8.18
"ML4-6",0.19,18.72,81.09,43,-1.63,32.45,7.95
"ML4-7",0.03,10.41,89.56,43,-1.57,32.33,14.38
"ML4-8",1.27,15.19,83.54,38,-1.44,32.11,12.89
"ML4-9",5.86,26.81,67.34,36,-1.44,32.14,11.1
"ML5-1",34.95,16.2,48.86,37,5.47,31.77,6.74
"ML5-10",0.2,13.93,85.87,35,-0.31,32.19,19.58
"ML5-2",2.49,45.33,52.17,35,5.01,31.87,13.83
"ML5-4",56.85,21.6,21.56,27,4.26,31.95,3.56
"ML5-5",0.02,27.47,72.51,36,4.09,31.91,6.99
"ML5-6",1.84,40.23,57.93,36,4.23,31.9,6.62
"ML5-7",0.16,25.3,74.53,36,2.87,32.08,8.47
"ML5-9",5.73,19.32,74.94,35,1.43,32.16,6.69
"ML6-1",0.11,82.33,17.55,30,5.88,31.03,6.14
"ML6-10",32.06,46.41,21.53,51,-1.63,32.47,18.57
"ML6-11",1.96,24.09,73.95,46,-1.66,32.47,9.97
"ML6-2",0.07,89.09,10.84,28,7.32,30.91,8.96
"ML6-3",0.1,92.34,7.56,29,7.82,30.92,5.98
"ML6-4",0.04,92.39,7.57,32,6.29,31.09,10.35
"ML6-5",3.73,87.9,8.37,32,5.47,31.28,8.31
"ML6-6",2.64,79.92,17.44,35,5.24,31.45,13.67
"ML6-7",2.96,70.44,26.59,40,4.93,31.67,5.43
"ML6-8",1.25,72.97,25.78,36,2.72,31.57,8.93
"ML6-9",1.73,82.58,15.7,47,1.26,32.15,9.05
