"","Sea","Latitude","Longitude","FDis"
"CL0","Chukchi",68.899,-166.423,0.193420031220061
"CL1","Chukchi",68.948,-166.908,0.141257116868767
"CL2","Chukchi",69.029,-167.934,0.128420966703603
"CL3","Chukchi",69.034,-168.893,0.128088411873024
"DBO3-1","Chukchi",68.299,-166.936,0.191072716997015
"DBO3-2","Chukchi",68.243,-167.124,0.191126135384512
"DBO3-3","Chukchi",68.186,-167.307,0.194655506144047
"DBO3-4","Chukchi",68.125,-167.498,0.195894164466474
"DBO3-5","Chukchi",68.012,-167.866,0.168043930934468
"DBO3-6","Chukchi",67.897,-168.237,0.152191514731725
"DBO3-7","Chukchi",67.784,-168.605,0.148073691584695
"DBO3-8","Chukchi",67.667,-168.955,0.156291482808686
"ML1-1","Chukchi",70.036,-162.766,0.190621636496629
"ML1-11","Chukchi",71.266,-166.42,0.138465201249167
"ML1-12","Chukchi",71.386,-166.82,0.142583685420043
"ML1-13","Chukchi",71.507,-167.221,0.14145172908665
"ML1-2","Chukchi",70.141,-163.051,0.161210311568452
"ML1-4","Chukchi",70.398,-163.765,0.17454923599887
"ML1-5","Chukchi",70.524,-164.127,0.163612306637962
"ML1-6","Chukchi",70.647,-164.502,0.191794854710211
"ML1-7","Chukchi",70.772,-164.878,0.177503001836166
"ML1-8","Chukchi",70.897,-165.254,0.173142672939718
"ML1-9","Chukchi",71.02,-165.641,0.104710279329109
"ML3-1","Chukchi",70.496,-160.622,0.158891641274737
"ML3-10","Chukchi",71.617,-163.766,0.162851534101485
"ML3-11","Chukchi",71.745,-164.166,0.175218975717172
"ML3-12","Chukchi",71.871,-164.556,0.160427905694794
"ML3-13","Chukchi",71.994,-164.954,0.167539394841582
"ML3-14","Chukchi",72.12,-165.359,0.169388114319797
"ML3-2","Chukchi",70.578,-160.836,0.192214664772877
"ML3-3","Chukchi",70.715,-161.179,0.200657766704645
"ML3-5","Chukchi",70.973,-161.901,0.170193683406356
"ML3-6","Chukchi",71.104,-162.255,0.168979082669755
"ML3-7","Chukchi",71.233,-162.636,0.169914974220131
"ML3-8","Chukchi",71.362,-163.003,0.172719302080978
"ML3-9","Chukchi",71.488,-163.393,0.158290723539263
"ML4-1","Chukchi",70.892,-159.393,0.2020564252469
"ML4-10","Chukchi",71.98,-162.541,0.160334263801203
"ML4-11","Chukchi",72.109,-162.924,0.167052076218391
"ML4-12","Chukchi",72.239,-163.317,0.170103551779321
"ML4-13","Chukchi",72.365,-163.722,0.154873104722635
"ML4-14","Chukchi",72.497,-164.103,0.112865060465183
"ML4-2","Chukchi",70.932,-159.504,0.214837803387754
"ML4-5","Chukchi",71.324,-160.656,0.165118628390556
"ML4-6","Chukchi",71.455,-161.038,0.158089483570423
"ML4-7","Chukchi",71.588,-161.401,0.147595670683875
"ML4-8","Chukchi",71.719,-161.773,0.16170540649158
"ML4-9","Chukchi",71.851,-162.158,0.158253512975876
"ML5-1","Chukchi",70.648,-165.996,0.172491699699897
"ML5-10","Chukchi",71.603,-162.202,0.168647478107924
"ML5-2","Chukchi",70.772,-165.628,0.18671363857701
"ML5-4","Chukchi",71.023,-164.877,0.181137650593353
"ML5-5","Chukchi",71.147,-164.486,0.147563459827295
