Area;Station;Scan_Count;Depth;Pressure;Temperature;Conductivity;Salinity;Density;Sound_Velocity;Fluorescence;Turbidity;Bottles_Fired;Latitude;Longitude;Julian_Days;Oxygen;Irradiance;Depth;Potential_Temperature;Salinity2;Density2;Sound_Velocity;Oxygen_Saturation;flag
Rijpfjord;RIP3;1;2.675;2.69;2.9629;3.015088;33.1945;26.4472;1459.95;8.68E-01;0.427;0;80.09966;22.208;259.532049;6.33417;5.10E-02;2.662;2.9627;33.1945;26.4472;1459.95;7.52256;-9.99E-29
Rijpfjord;RIP3;2;2.665;2.683;2.9628;3.015079;33.1945;26.4472;1459.95;8.51E-01;0.425;0;80.09966;22.208;259.532049;6.33397;5.10E-02;2.655;2.9626;33.1945;26.4472;1459.95;7.52258;-9.99E-29
Rijpfjord;RIP3;3;2.661;2.675;2.9627;3.015063;33.1947;26.4473;1459.95;8.33E-01;0.418;0;80.09966;22.208;259.53205;6.33282;5.10E-02;2.647;2.9625;33.1944;26.4471;1459.95;7.5226;-9.99E-29
Rijpfjord;RIP3;4;2.647;2.666;2.9618;3.01503;33.1948;26.4475;1459.94;8.15E-01;0.406;0;80.09966;22.208;259.53205;6.33145;5.10E-02;2.638;2.9616;33.1949;26.4476;1459.94;7.52274;-9.99E-29
Rijpfjord;RIP3;5;2.626;2.656;2.9614;3.014995;33.1947;26.4475;1459.94;7.97E-01;0.399;0;80.09966;22.208;259.532051;6.33077;5.10E-02;2.628;2.9612;33.1949;26.4476;1459.94;7.52282;-9.99E-29
Rijpfjord;RIP3;6;2.617;2.647;2.9614;3.015012;33.1948;26.4475;1459.94;7.80E-01;0.397;0;80.09966;22.208;259.532051;6.33033;5.10E-02;2.619;2.9612;33.1951;26.4478;1459.94;7.5228;-9.99E-29
Rijpfjord;RIP3;7;2.614;2.638;2.9626;3.015078;33.1951;26.4478;1459.95;7.71E-01;0.397;0;80.09966;22.208;259.532052;6.33083;5.10E-02;2.61;2.9624;33.1947;26.4474;1459.95;7.5226;-9.99E-29
Rijpfjord;RIP3;8;2.594;2.628;2.9623;3.015115;33.1955;26.448;1459.95;7.70E-01;0.399;0;80.09966;22.208;259.532052;6.33143;5.10E-02;2.6;2.9621;33.1955;26.448;1459.95;7.52262;-9.99E-29
Rijpfjord;RIP3;9;2.575;2.619;2.9622;3.015113;33.1955;26.448;1459.94;7.69E-01;0.41;0;80.09966;22.208;259.532052;6.33027;5.10E-02;2.591;2.962;33.1955;26.4481;1459.95;7.52263;-9.99E-29
Rijpfjord;RIP3;10;2.571;2.611;2.962;3.015166;33.1956;26.448;1459.94;7.69E-01;0.44;0;80.09966;22.208;259.532053;6.32769;5.10E-02;2.583;2.9619;33.1964;26.4488;1459.95;7.52263;-9.99E-29
Rijpfjord;RIP3;11;2.567;2.605;2.9643;3.015305;33.196;26.4483;1459.95;7.70E-01;0.488;0;80.09966;22.208;259.532053;6.32542;5.10E-02;2.577;2.9642;33.1957;26.448;1459.95;7.52223;-9.99E-29
Rijpfjord;RIP3;12;2.563;2.599;2.9655;3.015398;33.1964;26.4485;1459.96;7.71E-01;0.536;0;80.09966;22.208;259.532054;6.32424;5.10E-02;2.571;2.9654;33.1956;26.4478;1459.96;7.52202;-9.99E-29
Rijpfjord;RIP3;13;2.554;2.594;2.9647;3.015346;33.1963;26.4485;1459.96;7.80E-01;0.563;0;80.09966;22.208;259.532054;6.32445;5.10E-02;2.567;2.9646;33.1958;26.4481;1459.96;7.52215;-9.99E-29
Rijpfjord;RIP3;14;2.546;2.59;2.9626;3.015207;33.196;26.4483;1459.95;7.95E-01;0.557;0;80.09966;22.208;259.532055;6.32517;5.10E-02;2.563;2.9625;33.1963;26.4486;1459.95;7.52252;-9.99E-29
Rijpfjord;RIP3;15;2.544;2.587;2.9614;3.015085;33.1956;26.4482;1459.94;8.04E-01;0.524;0;80.09966;22.208;259.532055;6.32537;5.10E-02;2.56;2.9613;33.196;26.4485;1459.94;7.52276;-9.99E-29
Rijpfjord;RIP3;16;2.536;2.585;2.9612;3.015012;33.1953;26.448;1459.94;8.06E-01;0.482;0;80.09966;22.208;259.532056;6.32619;5.10E-02;2.558;2.9611;33.1954;26.448;1459.94;7.52283;-9.99E-29
Rijpfjord;RIP3;17;2.536;2.586;2.9611;3.014979;33.1951;26.4478;1459.94;8.06E-01;0.445;0;80.09966;22.208;259.532056;6.32622;5.10E-02;2.559;2.961;33.1951;26.4478;1459.94;7.52286;-9.99E-29
Rijpfjord;RIP3;18;2.552;2.588;2.9609;3.014976;33.1951;26.4478;1459.94;8.06E-01;0.422;0;80.09966;22.20801;259.532057;6.32529;5.10E-02;2.561;2.9608;33.1952;26.4479;1459.94;7.52289;-9.99E-29
Rijpfjord;RIP3;19;2.565;2.591;2.9614;3.014989;33.1949;26.4476;1459.94;8.08E-01;0.406;0;80.09967;22.20803;259.532057;6.32473;5.10E-02;2.564;2.9613;33.1949;26.4476;1459.94;7.52282;-9.99E-29
Rijpfjord;RIP3;20;2.57;2.593;2.9618;3.015028;33.1948;26.4475;1459.94;8.17E-01;0.399;0;80.09969;22.20807;259.532058;6.32344;5.10E-02;2.566;2.9617;33.1949;26.4476;1459.94;7.52274;-9.99E-29
Rijpfjord;RIP3;21;2.57;2.595;2.9623;3.015148;33.1954;26.4479;1459.95;8.34E-01;0.397;0;80.0997;22.2081;259.532058;6.3228;5.10E-02;2.568;2.9622;33.1959;26.4483;1459.95;7.5226;-9.99E-29
Rijpfjord;RIP3;22;2.57;2.598;2.9642;3.015356;33.1964;26.4486;1459.96;8.51E-01;0.397;0;80.0997;22.2081;259.532059;6.32284;5.10E-02;2.57;2.9641;33.1964;26.4486;1459.96;7.52222;-9.99E-29
Rijpfjord;RIP3;23;2.571;2.6;2.9661;3.015553;33.1973;26.4491;1459.96;8.68E-01;0.397;0;80.0997;22.2081;259.532059;6.32138;5.10E-02;2.572;2.966;33.1969;26.4488;1459.96;7.52184;-9.99E-29
Rijpfjord;RIP3;24;2.578;2.602;2.9674;3.01563;33.1975;26.4492;1459.96;8.77E-01;0.397;0;80.0997;22.2081;259.53206;6.31978;5.10E-02;2.574;2.9673;33.1965;26.4484;1459.97;7.52162;-9.99E-29
Rijpfjord;RIP3;25;2.576;2.604;2.9661;3.015526;33.1973;26.4492;1459.96;8.78E-01;0.397;0;80.0997;22.2081;259.53206;6.31916;5.10E-02;2.576;2.966;33.1965;26.4485;1459.96;7.52186;-9.99E-29
Rijpfjord;RIP3;26;2.571;2.605;2.9628;3.01529;33.1966;26.4487;1459.95;8.77E-01;0.397;0;80.0997;22.2081;259.532061;6.31891;5.10E-02;2.577;2.9627;33.1971;26.4492;1459.95;7.52244;-9.99E-29
Rijpfjord;RIP3;27;2.581;2.607;2.9611;3.015086;33.1957;26.4482;1459.94;8.70E-01;0.399;0;80.0997;22.2081;259.532061;6.31867;5.10E-02;2.579;2.961;33.1964;26.4488;1459.94;7.5228;-9.99E-29
Rijpfjord;RIP3;28;2.581;2.61;2.9609;3.015022;33.1953;26.4479;1459.94;8.62E-01;0.406;0;80.0997;22.2081;259.532062;6.31826;5.10E-02;2.582;2.9608;33.1958;26.4484;1459.94;7.52286;-9.99E-29
Rijpfjord;RIP3;29;2.574;2.611;2.962;3.015059;33.1953;26.4479;1459.94;8.59E-01;0.418;0;80.0997;22.2081;259.532062;6.31773;5.10E-02;2.583;2.9619;33.1951;26.4477;1459.94;7.52269;-9.99E-29
Rijpfjord;RIP3;30;2.583;2.614;2.9623;3.015112;33.1953;26.4479;1459.95;8.50E-01;0.425;0;80.0997;22.2081;259.532063;6.31719;5.10E-02;2.586;2.9622;33.1954;26.448;1459.95;7.52262;-9.99E-29
Rijpfjord;RIP3;31;2.591;2.618;2.9631;3.015147;33.1952;26.4477;1459.95;8.37E-01;0.427;0;80.0997;22.2081;259.532063;6.31637;5.10E-02;2.59;2.9629;33.195;26.4476;1459.95;7.52249;-9.99E-29
Rijpfjord;RIP3;32;2.591;2.621;2.9632;3.015152;33.195;26.4475;1459.95;8.39E-01;0.427;0;80.0997;22.2081;259.532064;6.31376;5.10E-02;2.593;2.963;33.195;26.4475;1459.95;7.52248;-9.99E-29
Rijpfjord;RIP3;33;2.593;2.624;2.9634;3.015139;33.1947;26.4473;1459.95;8.59E-01;0.427;0;80.0997;22.2081;259.532064;6.31108;5.10E-02;2.596;2.9632;33.1946;26.4472;1459.95;7.52246;-9.99E-29
Rijpfjord;RIP3;34;2.596;2.628;2.9632;3.015117;33.1946;26.4472;1459.95;8.74E-01;0.427;0;80.0997;22.2081;259.532065;6.31181;5.10E-02;2.6;2.963;33.1945;26.4472;1459.95;7.5225;-9.99E-29
Rijpfjord;RIP3;35;2.598;2.632;2.963;3.015084;33.1944;26.4471;1459.95;8.68E-01;0.427;0;80.0997;22.2081;259.532065;6.31343;5.10E-02;2.604;2.9628;33.1944;26.447;1459.95;7.52255;-9.99E-29
Rijpfjord;RIP3;36;2.607;2.636;2.9628;3.015017;33.1941;26.4469;1459.95;8.55E-01;0.426;0;80.0997;22.2081;259.532065;6.31387;5.10E-02;2.608;2.9626;33.1937;26.4466;1459.95;7.52261;-9.99E-29
Rijpfjord;RIP3;37;2.616;2.641;2.9615;3.014897;33.1937;26.4466;1459.94;8.54E-01;0.42;0;80.0997;22.2081;259.532066;6.31421;5.10E-02;2.613;2.9613;33.1936;26.4466;1459.94;7.52286;-9.99E-29
Rijpfjord;RIP3;38;2.615;2.645;2.96;3.014787;33.1933;26.4464;1459.93;8.60E-01;0.413;0;80.0997;22.2081;259.532066;6.31455;5.10E-02;2.617;2.9598;33.1938;26.4469;1459.93;7.52313;-9.99E-29
Rijpfjord;RIP3;39;2.613;2.649;2.9603;3.01476;33.1933;26.4464;1459.93;8.62E-01;0.411;0;80.0997;22.2081;259.532067;6.31481;5.10E-02;2.621;2.9601;33.1932;26.4464;1459.94;7.52311;-9.99E-29
Rijpfjord;RIP3;40;2.617;2.654;2.9601;3.014788;33.1936;26.4467;1459.93;8.70E-01;0.406;0;80.0997;22.2081;259.532067;6.31503;5.10E-02;2.626;2.9599;33.1937;26.4468;1459.93;7.52312;-9.99E-29
Rijpfjord;RIP3;41;2.629;2.659;2.9606;3.014811;33.1937;26.4467;1459.94;8.77E-01;0.406;0;80.0997;22.2081;259.532068;6.31517;5.10E-02;2.631;2.9604;33.1935;26.4466;1459.94;7.52304;-9.99E-29
Rijpfjord;RIP3;42;2.639;2.665;2.9607;3.014805;33.1936;26.4466;1459.94;8.79E-01;0.411;0;80.0997;22.2081;259.532068;6.31462;5.10E-02;2.637;2.9605;33.1933;26.4464;1459.94;7.52303;-9.99E-29
Rijpfjord;RIP3;43;2.641;2.671;2.9604;3.014757;33.1934;26.4464;1459.94;8.79E-01;0.413;0;80.0997;22.2081;259.532069;6.31508;5.10E-02;2.643;2.9602;33.193;26.4462;1459.94;7.5231;-9.99E-29
Rijpfjord;RIP3;44;2.643;2.676;2.9598;3.014655;33.193;26.4462;1459.93;8.77E-01;0.419;0;80.0997;22.2081;259.532069;6.31759;5.10E-02;2.648;2.9596;33.1924;26.4458;1459.93;7.52324;-9.99E-29
Rijpfjord;RIP3;45;2.651;2.683;2.9581;3.014509;33.1925;26.446;1459.93;8.69E-01;0.424;0;80.0997;22.2081;259.53207;6.31989;5.10E-02;2.655;2.9579;33.1924;26.4459;1459.93;7.52356;-9.99E-29
Rijpfjord;RIP3;46;2.665;2.689;2.9567;3.014352;33.1921;26.4457;1459.92;8.55E-01;0.418;0;80.0997;22.2081;259.53207;6.32114;5.10E-02;2.661;2.9565;33.1919;26.4457;1459.92;7.52384;-9.99E-29
Rijpfjord;RIP3;47;2.67;2.696;2.9554;3.014226;33.1918;26.4457;1459.91;8.55E-01;0.406;0;80.0997;22.2081;259.532071;6.32031;5.10E-02;2.667;2.9552;33.1917;26.4456;1459.91;7.5241;-9.99E-29
Rijpfjord;RIP3;48;2.667;2.701;2.9542;3.014183;33.1921;26.446;1459.91;8.69E-01;0.399;0;80.0997;22.2081;259.532071;6.31904;5.10E-02;2.672;2.954;33.1924;26.4463;1459.91;7.52428;-9.99E-29
Rijpfjord;RIP3;49;2.675;2.708;2.9544;3.014271;33.1928;26.4465;1459.91;8.77E-01;0.397;0;80.0997;22.2081;259.532072;6.31995;5.10E-02;2.679;2.9542;33.1933;26.447;1459.91;7.5242;-9.99E-29
Rijpfjord;RIP3;50;2.684;2.714;2.9564;3.014471;33.1939;26.4472;1459.92;8.79E-01;0.397;0;80.0997;22.2081;259.532072;6.32124;5.10E-02;2.685;2.9562;33.1937;26.4471;1459.92;7.52381;-9.99E-29
Rijpfjord;RIP3;51;2.688;2.721;2.9583;3.014676;33.1946;26.4477;1459.93;8.79E-01;0.397;0;80.0997;22.2081;259.532073;6.32185;5.10E-02;2.692;2.9581;33.1942;26.4473;1459.93;7.52343;-9.99E-29
Rijpfjord;RIP3;52;2.698;2.728;2.9597;3.014803;33.1948;26.4477;1459.94;8.79E-01;0.397;0;80.0997;22.2081;259.532073;6.32209;5.10E-02;2.699;2.9595;33.1943;26.4473;1459.94;7.52316;-9.99E-29
Rijpfjord;RIP3;53;2.717;2.735;2.96;3.014863;33.1948;26.4477;1459.94;8.79E-01;0.397;0;80.0997;22.2081;259.532074;6.32146;5.10E-02;2.706;2.9598;33.1947;26.4476;1459.94;7.52309;-9.99E-29
