Species;Place;Room;Ring;Date_BMR;Slide;IL6;Experiment;FoxBox;Exp;Mix;DPI_BMR;Mass;BMRbasedOnRealRQ;MassSpecificBMR;MeanBMRO2fixRQ;RQ;Channel;FirstMeasurement;Total_erythrocytes;Parasitised_erythrocytes;Parasitemia;DPI_Parasitemia;Date_blood;Temperature;Survival
Passer domesticus;Rybachy;Sparta;KS30639;NA;392;"7,66";Exp_1;NA;1;SingleLine;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;19.08.2021;NA;No
Passer domesticus;Rybachy;Sparta;KS30646;NA;393;"13,83";mix;NA;1;MixedLines;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;19.08.2021;NA;Yes
Passer domesticus;Rybachy;Sparta;KS30672;18.08.2021;394;"7,25";Exp_1;Old;1;SingleLine;-1;"25,32";"35,37009523";"2,921899128";"35,42081527";"0,765343544";5;1;0;0;0;0;19.08.2021;norm;Yes
Passer domesticus;Rybachy;Sparta;KS30681;18.08.2021;395;"7,6";Exp_1;Old;1;SingleLine;-1;"24,19";"33,4952084";"2,880391331";"33,51580641";"0,786635765";4;0;0;0;0;0;19.08.2021;norm;Yes
Passer domesticus;Rybachy;Sparta;KS30660;18.08.2021;396;"7,67";Exp_1;Old;1;SingleLine;-1;"24,62";"39,02767109";"3,316622307";"39,0852744";"0,764287887";3;0;0;0;0;0;19.08.2021;norm;Yes
Passer domesticus;Rybachy;Sparta;KS30680;18.08.2021;397;"6,54";Exp_1;Old;1;SingleLine;-1;"24,74";"37,38742539";"3,162990105";"37,44462572";"0,762861055";2;0;0;0;0;0;19.08.2021;norm;Yes
Passer domesticus;Rybachy;Sparta;KS30676;18.08.2021;398;"6,9";Exp_1;Old;1;SingleLine;-1;"28,4";"41,29175743";"3,050008123";"41,36894776";"0,754127047";8;0;0;0;0;0;19.08.2021;norm;Yes
Passer domesticus;Rybachy;Sparta;KS30640;18.08.2021;399;"7,11";Exp_1;Old;1;SingleLine;-1;"26,16";"36,31751566";"2,897704864";"36,35815986";"0,773505356";7;0;0;0;0;0;19.08.2021;norm;Yes
Passer domesticus;Rybachy;Sparta;KS30669;18.08.2021;400;"5,6";Exp_1;Old;1;SingleLine;-1;"25,84";"45,05898214";"3,644691589";"45,11864065";"0,768196859";6;0;0;0;0;0;19.08.2021;norm;Yes
Passer domesticus;Rybachy;Siskinary;KS30667;NA;401;"11,76";Exp_1;NA;1;SingleLine;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;19.08.2021;NA;Yes
Passer domesticus;Rybachy;Siskinary;KS30658;NA;402;"5,33";Exp_1;NA;1;SingleLine;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;19.08.2021;NA;Yes
Passer domesticus;Rybachy;Siskinary;KS30622;NA;403;"8,62";Exp_1;NA;1;SingleLine;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;19.08.2021;NA;Yes
Passer domesticus;Rybachy;Siskinary;KS30682;18.08.2021;404;"9,65";Exp_1;New;1;SingleLine;-1;"23,08";"31,44406648";"2,813196778";"31,42897637";"0,815419371";4;0;0;0;0;0;19.08.2021;norm;Yes
Passer domesticus;Rybachy;Siskinary;KS30677;18.08.2021;405;"10,24";Exp_1;New;1;SingleLine;-1;"26,69";"34,94295093";"2,720688409";"34,95924312";"0,790543778";5;0;0;0;0;0;19.08.2021;norm;Yes
Passer domesticus;Rybachy;Siskinary;KS30697;18.08.2021;406;"8,57";Exp_1;New;1;SingleLine;-1;"23,68";"29,7559702";"2,620833005";"29,78594416";"0,776436491";2;0;0;0;0;0;19.08.2021;norm;Yes
Passer domesticus;Rybachy;Siskinary;KS30683;18.08.2021;407;"9,08";Exp_1;New;1;SingleLine;-1;"23,33";"34,04361958";"3,03199205";"34,05879212";"0,791087372";3;0;0;0;0;0;19.08.2021;norm;Yes
Passer domesticus;Rybachy;Siskinary;KS30679;18.08.2021;408;"7,95";Exp_1;New;1;SingleLine;-1;"24,62";"34,2152575";"2,888783035";"34,23255105";"0,789511473";6;0;0;0;0;0;19.08.2021;norm;Yes
Passer domesticus;Rybachy;Siskinary;KS30627;18.08.2021;409;"9,72";Exp_1;New;1;SingleLine;-1;"24,61";"34,31173424";"2,882576432";"34,30174738";"0,810445515";7;0;0;0;0;0;19.08.2021;norm;No
Passer domesticus;Rybachy;Siskinary;KS30645;18.08.2021;410;"7,42";Exp_1;New;1;SingleLine;-1;"22,08";"28,01153293";"2,632065377";"28,01779588";"0,796893823";8;0;0;0;0;0;19.08.2021;norm;Yes
Passer domesticus;Rybachy;Sparta;KS30672;22.08.2021;415;"10,3";Exp_1;Old;1;SingleLine;3;"25,44";"36,28862986";"2,976901056";"36,32834455";"0,774082992";5;0;0;0;0;4;23.08.2021;norm;Yes
Passer domesticus;Rybachy;Sparta;KS30640;22.08.2021;416;"14,12";Exp_1;Old;1;SingleLine;3;"25,73";"34,39047191";"2,789272961";"34,42782319";"0,774245802";3;0;100000;1;"0,001";4;23.08.2021;norm;Yes
Passer domesticus;Rybachy;Sparta;KS30676;22.08.2021;417;NA;Exp_1;Old;1;SingleLine;3;"27,5";"37,27144767";"2,828361166";"37,31195348";"0,774258011";2;0;0;0;0;4;23.08.2021;norm;Yes
Passer domesticus;Rybachy;Sparta;KS30669;22.08.2021;418;"0,52";Exp_1;Old;1;SingleLine;3;"25,24";"39,84590972";"3,285171532";"39,87247813";"0,785214653";4;0;0;0;0;4;23.08.2021;norm;Yes
Passer domesticus;Rybachy;Siskinary;KS30622;22.08.2021;419;NA;Exp_1;New;1;SingleLine;3;"26,97";"39,99551207";"3,0742439";"39,99966236";"0,800040365";5;0;0;0;0;4;23.08.2021;norm;Yes
Passer domesticus;Rybachy;Siskinary;KS30682;22.08.2021;420;NA;Exp_1;New;1;SingleLine;3;"23,73";"32,54411317";"2,844879887";"32,55061189";"0,7975181";4;0;100000;1;"0,001";4;23.08.2021;norm;Yes
Passer domesticus;Rybachy;Siskinary;KS30645;22.08.2021;421;"14,78";Exp_1;New;1;SingleLine;3;"22,45";"27,07230485";"2,492774423";"27,06374038";"0,811126386";3;0;0;0;0;4;23.08.2021;norm;Yes
Passer domesticus;Rybachy;Siskinary;KS30627;22.08.2021;422;"12,58";Exp_1;New;1;SingleLine;3;"24,7";"38,31986086";"3,226843268";"38,34273011";"0,787116614";2;0;0;0;0;4;23.08.2021;norm;No
Passer domesticus;Rybachy;Siskinary;KS30697;22.08.2021;423;"15,12";Exp_1;New;1;SingleLine;3;"24,32";"27,66202141";"2,345210644";"27,64278389";"0,821149346";7;0;10600;1;"0,009433962";4;23.08.2021;norm;Yes
Passer domesticus;Rybachy;Siskinary;KS30683;22.08.2021;424;"15,29";Exp_1;New;1;SingleLine;3;"23,3";"36,47329655";"3,240449782";"36,46934542";"0,805623017";8;0;0;0;0;4;23.08.2021;norm;Yes
Passer domesticus;Rybachy;Siskinary;KS30658;22.08.2021;425;"11,29";Exp_1;New;1;SingleLine;3;"27,06";"38,88419426";"2,993814254";"38,91712777";"0,780606634";6;0;0;0;0;4;23.08.2021;norm;Yes
Passer domesticus;Rybachy;Siskinary;KS30667;22.08.2021;426;NA;Exp_1;Old;1;SingleLine;3;"24,66";"39,64868816";"3,357571679";"39,69586359";"0,771600866";6;0;0;0;0;4;23.08.2021;norm;Yes
Passer domesticus;Rybachy;Siskinary;KS30679;22.08.2021;427;"16,38";Exp_1;Old;1;SingleLine;3;"24,97";"40,25688826";"3,372999513";"40,31587644";"0,764437329";7;0;0;0;0;4;23.08.2021;norm;Yes
Passer domesticus;Rybachy;Siskinary;KS30677;22.08.2021;428;NA;Exp_1;Old;1;SingleLine;3;"27,6";"39,06740154";"2,954921149";"39,11178464";"0,772928926";8;0;0;0;0;4;23.08.2021;norm;Yes
