Sample;d;D;B
Astfood_3;49;90;"22,5"
Astfood_3;44;74;"13,3"
Astfood_3;53;98;"22,1"
Astfood_3;47;85;"17,2"
Astfood_Z_1;58;105;"25,3"
Astfood_Z_1;72;150;"45,4"
Astfood_Z_1;14;23;"0,6"
Astfood_Z_1;14;23;1
Astfood_1;11;18;"0,4"
Astfood_1;31;50;"5,1"
Astfood_1;52;96;"25,8"
Astfood_1;44;90;"19,9"
Astfood_1;51;100;"23,2"
Astfood_1;51;113;"34,8"
Astfood_1;13;23;"0,8"
Astfood_7;41;69;"11,8"
Astfood_7;56;102;"24,6"
Astfood_7;54;113;"28,8"
Astfood_7;42;80;"16,5"
Astfood_6;6;18;"0,3"
Astfood_6;15;23;"0,9"
Astfood_6;12;20;"0,5"
Astfood_6;7;11;"0,1"
Astfood_6;8;16;"0,2"
Astfood_6;5;11;"0,1"
Astfood_5;51;92;"25,7"
Astfood_5;39;77;"10,1"
Astfood_5;17;26;"1,3"
Astfood_5;12;21;"0,7"
Astfood_5;12;17;"0,4"
Astfood_5;13;23;"0,7"
Astfood_5;12;22;"0,6"
Astfood_5;16;25;1
Astfood_5;7;12;"0,1"
Astfood_13;50;85;26
Astfood_13;50;"82,5";"20,9"
Astfood_13;50;83;"18,7"
Astfood_13;11;16;"0,5"
Astfood_10;9;17;"0,6"
Astfood_10;13;21;1
Astfood_10;"5,5";10;"0,1"
Astfood_10;4;9;"0,1"
Astfood_10;8;13;"0,4"
Astfood_9;65;112;37
Astfood_9;42;83;"17,9"
Astfood_9;40;70;12
Astfood_9;40;66;"8,3"
Astfood_9;5;9;"0,1"
Astfood_11;48;98;"26,6"
Astfood_11;52;96;"18,5"
Astfood_11;"8,5";15;"0,3"
Astfood_11;20;30;2
Astfood_12;9;19;"0,6"
Astfood_12;10;16;"0,4"
Astfood_Z_3;4;8;"0,05"
Astfood_17;63;113;"37,5"
Astfood_17;45;78;"18,9"
Astfood_17;41;67;"11,3"
Astfood_15;60;101;"41,7"
Astfood_15;22;29;"1,4"
Astfood_15;5;8;"0,04"
Astfood_15;52;93;"22,6"
Astfood_Z_8;60;105;"21,6"
Astfood_Z_8;52;82;"16,8"
Astfood_Z_8;50;86;"17,6"
Astfood_Z_8;40;73;"16,5"
Astfood_Z_8;10;14;"0,2"
Astfood_Z_8;10;18;"0,3"
Astfood_Z_8;14;21;"0,9"
Astfood_Z_8;10;15;"0,2"
Astfood_Z_6;43;84;"11,2"
Astfood_Z_6;50;76;"18,3"
Astfood_Z_6;44;76;"15,2"
Astfood_Z_6;16;26;"1,3"
Astfood_Z_6;14;25;"1,1"
Astfood_Z_6;16;28;2
Astfood_Z_6;10;17;"0,4"
Astfood_Z_6;10;19;"0,6"
Astfood_Z_6;11;21;"0,7"
Astfood_Z_6;8;13;"0,3"
Astfood_Z_9;40;77;"9,4"
Astfood_Z_9;40;67;6
Astfood_Z_9;52;84;"11,5"
Astfood_Z_9;47;80;"12,4"
Astfood_Z_9;17;24;"0,8"
Astfood_Z_9;48;84;"19,4"
Astfood_Z_10;53;82;"17,6"
Astfood_Z_10;39;71;"7,5"
Astfood_Z_10;45;74;"11,2"
Astfood_Z_10;41;87;"10,2"
Astfood_Z_10;19;29;"1,4"
Astfood_Z_10;12;27;1
Astfood_Z_10;16;22;"0,6"
Astfood_Z_4;48;74;"10,4"
Astfood_Z_4;10;15;"0,2"
Astfood_Z_4;10;15;"0,2"
Astfood_19;54;100;"25,2"
Astfood_19;45;65;9
Astfood_19;40;68;"6,4"
Astfood_Z_7;20;31;2
Astfood_Z_7;10;19;"0,6"
Astfood_Z_7;10;17;"0,3"
Astfood_Z_7;9;13;"0,2"
Astfood_Z_5;51;82;16
Astfood_Z_5;12;22;"0,6"
Astfood_Z_5;4;7;"0,03"
Astfood_Z_5;7;10;"0,1"
Astfood_16;16;28;"1,3"
Astfood_16;21;32;"1,9"
Astfood_25;35;63;"10,1"
Astfood_25;51;83;"17,2"
Astfood_25;13;24;"0,9"
Astfood_23;57;112;"30,1"
Astfood_23;66;115;"44,2"
Astfood_23;44;82;"18,4"
Astfood_Z_12;25;45;"2,4"
Astfood_Z_12;23;46;"2,7"
Astfood_Z_12;36;68;"7,2"
Astfood_Z_12;45;85;18
Astfood_Z_12;30;55;6
Astfood_Z_12;7;16;"0,3"
Astfood_29;54;97;"32,3"
Astfood_29;51;95;"24,7"
Astfood_29;72;157;"66,9"
Astfood_21;66;118;"45,5"
Astfood_27;31;57;8
Astfood_27;52;83;"26,3"
Astfood_27;45;89;"18,2"
Astfood_Z_14;55;101;25
Astfood_Z_14;32;65;"10,4"
Astfood_Z_14;11;23;"0,8"
Astfood_Z_14;10;19;"0,6"
Astfood_Z_14;12;26;"1,2"
Astfood_Z_14;10;18;"0,3"
Astfood_Z_14;9;17;"0,3"
Astfood_Z_14;9;14;"0,3"
Astfood_Z_14;9;13;"0,2"
Astfood_Z_14;14;23;"0,8"
Astfood_Z_13;30;25;"5,8"
Astfood_Z_13;10;18;"0,3"
Astfood_Z_13;9;15;"0,3"
Astfood_Z_21;6;15;"0,3"
Astfood_Z_21;20;37;"2,1"
Astfood_Z_21;38;69;"8,9"
Astfood_Z_21;39;62;"9,9"
Astfood_Z_21;13;25;"0,9"
Astfood_Z_17;51;83;"17,2"
Astfood_Z_17;32;56;"3,5"
Astfood_Z_16;40;77;"14,4"
Astfood_Z_15;5;13;"0,2"
Astfood_Z_15;21;38;"2,3"
Astfood_Z_15;5;11;"0,08"
Astfood_Z_15;10;17;"0,5"
Astfood_Z_15;6;12;"0,1"
Astfood_37;52;90;"20,7"
Astfood_37;54;98;"29,9"
Astfood_37;31;63;"7,1"
