Site,Sample,Position,Salinity
Anis,Anis1,Algae,16
Anis,Anis2,Bottom,16
Anis,Anis3,Algae,16
Anis,Anis4,Bottom,16
Anis,Anis5,Algae,16
Anis,Anis6,Bottom,16
BBS,BBS1,Algae,18
BBS,BBS2,Bottom,18
BBS,BBS3,Algae,18
BBS,BBS4,Bottom,18
BBS,BBS5,Algae,18
BBS,BBS6,Bottom,18
Ber,Ber1,Algae,17
Ber,Ber2,Bottom,17
Ber,Ber3,Algae,17
Ber,Ber4,Bottom,17
Ber,Ber5,Algae,17
Ber,Ber6,Bottom,17
Bersakol,Bersakol1,Algae,21
Bersakol,Bersakol2,Bottom,21
Bersakol,Bersakol3,Algae,21
Bersakol,Bersakol4,Bottom,21
Bersakol,Bersakol5,Algae,21
Bersakol,Bersakol6,Bottom,21
Ir,Ir1,Algae,17
Ir,Ir2,Bottom,17
Ir,Ir3,Algae,17
Ir,Ir4,Bottom,17
Ir,Ir5,Algae,17
Ir,Ir6,Bottom,17
Kibr1,Kibr1,Algae,25
Kibr1,Kibr2,Bottom,25
Kibr1,Kibr3,Algae,25
Kibr1,Kibr4,Bottom,25
Kibr1,Kibr5,Algae,25
Kibr1,Kibr6,Bottom,25
Kibr2,Kibr10,Bottom,24
Kibr2,Kibr11,Algae,24
Kibr2,Kibr12,Bottom,24
Kibr2,Kibr7,Algae,24
Kibr2,Kibr8,Bottom,24
Kibr2,Kibr9,Algae,24
Kolv1,Kolv_1,Algae,17
Kolv1,Kolv_2,Bottom,17
Kolv1,Kolv_3,Algae,17
Kolv1,Kolv_4,Bottom,17
Kolv1,Kolv_5,Algae,17
Kolv1,Kolv_6,Bottom,17
Kolv2,Kolv_10,Bottom,19
Kolv2,Kolv_11,Algae,19
Kolv2,Kolv_12,Bottom,19
Kolv2,Kolv_7,Algae,19
Kolv2,Kolv_8,Bottom,19
Kolv2,Kolv_9,Algae,19
Kolv3,Kolv_13,Algae,2
Kolv3,Kolv_14,Bottom,2
Kolv3,Kolv_15,Algae,2
Kolv3,Kolv_16,Bottom,2
Kolv3,Kolv_17,Algae,2
Kolv3,Kolv_18,Bottom,2
Kovd,kovd1,Algae,27
Kovd,kovd2,Bottom,27
Kovd,kovd3,Algae,27
Kovd,kovd4,Bottom,27
Kovd,kovd5,Algae,27
Kovd,kovd6,Bottom,27
Lud,Lud1,Algae,19
Lud,Lud2,Bottom,19
Lud,Lud3,Algae,19
Lud,Lud4,Bottom,19
Lud,Lud5,Algae,19
Lud,Lud6,Bottom,19
Olen,Olen1,Algae,21
Olen,Olen2,Bottom,21
Olen,Olen3,Algae,21
Olen,Olen4,Bottom,21
Olen,Olen5,Algae,21
Olen,Olen6,Bottom,21
Ryazh1,Ryazh1,Algae,21
Ryazh1,Ryazh2,Bottom,21
Ryazh1,Ryazh3,Algae,21
Ryazh1,Ryazh4,Bottom,21
Ryazh1,Ryazh5,Algae,21
Ryazh1,Ryazh6,Bottom,21
Ryazh2,Ryazh10,Bottom,19
Ryazh2,Ryazh11,Algae,19
Ryazh2,Ryazh12,Bottom,19
Ryazh2,Ryazh7,Algae,19
Ryazh2,Ryazh8,Bottom,19
Ryazh2,Ryazh9,Algae,19
Ryazh3,Ryazh13,Algae,21
Ryazh3,Ryazh14,Bottom,21
Ryazh3,Ryazh15,Algae,21
Ryazh3,Ryazh16,Bottom,21
Ryazh3,Ryazh17,Algae,21
Ryazh3,Ryazh18,Bottom,21
Ryazh4,Ryazh19,Algae,22
Ryazh4,Ryazh20,Bottom,22
Ryazh4,Ryazh21,Bottom,22
Ryazh4,Ryazh22,Bottom,22
Ryazh4,Ryazh23,Algae,22
Ryazh4,Ryazh24,Bottom,22
Ryazh5,Ryazh25,Algae,21
Ryazh5,Ryazh26,Bottom,21
Ryazh5,Ryazh27,Algae,21
Ryazh5,Ryazh28,Bottom,21
Ryazh5,Ryazh29,Algae,21
Ryazh5,Ryazh30,Bottom,21
Ryazh6,Ryazh31,Algae,20
Ryazh6,Ryazh32,Bottom,20
Ryazh6,Ryazh33,Algae,20
Ryazh6,Ryazh34,Bottom,20
Ryazh6,Ryazh35,Algae,20
Ryazh6,Ryazh36,Bottom,20
Ryazh7,Ryazh43,Algae,21
Ryazh7,Ryazh44,Bottom,21
Ryazh7,Ryazh45,Algae,21
Ryazh7,Ryazh46,Bottom,21
Ryazh7,Ryazh47,Algae,21
Ryazh7,Ryazh48,Bottom,21
Ryazh8,Ryazh55,Algae,20
Ryazh8,Ryazh56,Bottom,20
Ryazh8,Ryazh57,Algae,20
Ryazh8,Ryazh58,Bottom,20
Ryazh8,Ryazh59,Algae,20
Ryazh8,Ryazh60,Bottom,20
Tel,Tel1,Algae,12
Tel,Tel2,Bottom,12
Tel,Tel3,Algae,12
Tel,Tel4,Bottom,12
Tel,Tel5,Algae,12
Tel,Tel6,Bottom,12
Vel1,Vel1,Algae,24
Vel1,Vel2,Bottom,24
Vel1,Vel3,Algae,24
Vel1,Vel4,Bottom,24
Vel1,Vel5,Algae,24
Vel1,Vel6,Bottom,24
Vel2,Vel10,Bottom,23
Vel2,Vel11,Algae,23
Vel2,Vel12,Bottom,23
Vel2,Vel7,Algae,23
Vel2,Vel8,Bottom,23
Vel2,Vel9,Algae,23
Vel3,Vel13,Algae,23
Vel3,Vel14,Bottom,23
Vel3,Vel15,Algae,23
Vel3,Vel16,Bottom,23
Vel3,Vel17,Algae,23
Vel3,Vel18,Bottom,23
Vlas,Vlas1,Algae,21
Vlas,Vlas2,Bottom,21
Vlas,Vlas3,Algae,21
Vlas,Vlas4,Bottom,21
Vlas,Vlas5,Algae,21
Vlas,Vlas6,Bottom,21
Tel2,Tel2-1,Algae,6
Tel2,Tel2-2,Bottom,6
Tel2,Tel2-3,Algae,6
Tel2,Tel2-4,Bottom,6
Tel2,Tel2-5,Algae,6
Tel2,Tel2-6,Bottom,6
Ter,Ter1,Algae,23
Ter,Ter2,Bottom,23
Ter,Ter3,Algae,23
Ter,Ter4,Bottom,23
Ter,Ter5,Algae,23
Ter,Ter6,Bottom,23
Chup1,1_1,Algae,11
Chup1,1_2,Algae,11
Chup1,1_3,Algae,11
Chup1,1_4,Bottom,11
Chup1,1_5,Bottom,11
Chup1,1_6,Bottom,11
Chup2,2_1,Algae,17
Chup2,2_2,Algae,17
Chup2,2_3,Algae,17
Chup2,2_4,Bottom,17
Chup2,2_5,Bottom,17
Chup2,2_6,Bottom,17
Chup4,4_1,Algae,20
Chup4,4_2,Algae,20
Chup4,4_3,Algae,20
Chup4,4_4,Bottom,20
Chup4,4_5,Bottom,20
Chup4,4_6,Bottom,20
Chup3,3_1,Algae,12
Chup3,3_2,Algae,12
Chup3,3_3,Algae,12
Chup3,3_4,Bottom,12
Chup3,3_5,Bottom,12
Chup3,3_6,Bottom,12
LomExp,LomExp1,Algae,16
LomExp,LomExp2,Bottom,16
LomExp,LomExp3,Algae,16
LomExp,LomExp4,Bottom,16
LomExp,LomExp5,Algae,16
LomExp,LomExp6,Bottom,16
KurtExp,KurtExp1,Algae,16
KurtExp,KurtExp2,Bottom,16
KurtExp,KurtExp3,Algae,16
KurtExp,KurtExp4,Bottom,16
KurtExp,KurtExp5,Algae,16
KurtExp,KurtExp6,Bottom,16
Sedl2,Sedl2_1,Algae,16
Sedl2,Sedl2_2,Bottom,16
Sedl2,Sedl2_3,Algae,16
Sedl2,Sedl2_4,Bottom,16
Sedl2,Sedl2_5,Algae,16
Sedl2,Sedl2_6,Bottom,16
LomShel,LomShel1,Algae,14
LomShel,LomShel2,Bottom,14
LomShel,LomShel3,Algae,14
LomShel,LomShel4,Bottom,14
LomShel,LomShel5,Algae,14
LomShel,LomShel6,Bottom,14
Kand,Kand1,Algae,8
Kand,Kand2,Bottom,8
Kand,Kand3,Algae,8
Kand,Kand4,Bottom,8
Kand,Kand5,Algae,8
Kand,Kand6,Bottom,8
Bar,Bar1,Algae,4
Bar,Bar2,Bottom,4
Bar,Bar3,Algae,4
Bar,Bar4,Bottom,4
Bar,Bar5,Algae,4
Bar,Bar6,Bottom,4
KibrExp,KibrExp1,Algae,24
KibrExp,KibrExp2,Bottom,24
KibrExp,KibrExp3,Algae,24
KibrExp,KibrExp4,Bottom,24
KibrExp,KibrExp5,Algae,24
KibrExp,KibrExp6,Bottom,24
Knyazh,Knyazh1,Algae,13
Knyazh,Knyazh2,Bottom,13
Knyazh,Knyazh3,Algae,13
Knyazh,Knyazh4,Bottom,13
Knyazh,Knyazh5,Algae,13
Knyazh,Knyazh6,Bottom,13
Val,Val1,Algae,17
Val,Val2,Bottom,17
Val,Val3,Algae,17
Val,Val4,Bottom,17
Val,Val5,Algae,17
Val,Val6,Bottom,17
VorShel,VorShel2-1,Algae,17
VorShel,VorShel2-2,Bottom,17
VorShel,VorShel2-3,Algae,17
VorShel,VorShel2-4,Bottom,17
VorShel,VorShel2-5,Algae,17
VorShel,VorShel2-6,Bottom,17
KibrShel,KibrShel1,Algae,22
KibrShel,KibrShel2,Bottom,22
KibrShel,KibrShel3,Algae,22
KibrShel,KibrShel4,Bottom,22
KibrShel,KibrShel5,Algae,22
KibrShel,KibrShel6,Bottom,22
