Shore,River,Discharge,Drainage_Are,Lat,Lon,Source
Kand,Выпча,,161,66.633041,34.492023,https://ru.wikipedia.org/?curid=3050090&oldid=88914816 
Kand,Варзуга,77,9840,66.264872,36.940297,https://ru.wikipedia.org/?curid=74812&oldid=115743553 
Kand,Колвица,14.7,1260,67.0832,32.991099,https://ru.wikipedia.org/?curid=1773995&oldid=113796928 
Kand,Кузрека,NA,255,66.599994,34.813032,https://ru.wikipedia.org/?curid=3050089&oldid=95496188 
Kand,Лувеньга,NA,175,67.100373,32.693133,https://ru.wikipedia.org/?curid=3050119&oldid=109510103 
Kand,Нива,164,12800,67.130271,32.418253,https://ru.wikipedia.org/?curid=641762&oldid=110964154 
Kand,Оленица,NA,403,66.452763,35.300598,https://ru.wikipedia.org/?curid=3050085&oldid=109295330 
Kand,Пила,NA,313,66.780555,34.157445,https://ru.wikipedia.org/?curid=3050113&oldid=111041396 
Kand,Порья,NA,240,66.819538,33.551159,https://ru.wikipedia.org/?curid=3050117&oldid=96250595 
Kand,Рязанка,NA,102,66.737098,33.446631,https://ru.wikipedia.org/?curid=3050118&oldid=96233143 
Kand,Сальница,NA,121,66.37576,35.684872,https://ru.wikipedia.org/?curid=3050084&oldid=96252517 
Kand,Умба,78.2,6250,66.664609,34.297657,https://ru.wikipedia.org/?curid=641760&oldid=109440016 
Kand,Шогуй,NA,103,66.747609,34.025583,https://ru.wikipedia.org/?curid=3050114&oldid=96607918 
Kand,Шушпаниха,NA,65.2,66.851752,33.607054,https://ru.wikipedia.org/?curid=3050116&oldid=96607946 
Karel,Гридина,5,540,65.924619,34.658458,https://ru.wikipedia.org/?curid=3050258&oldid=106999661 
Karel,Кереть,23.37,3360,66.281723,33.580341,https://ru.wikipedia.org/?curid=1630188&oldid=109182321 
Karel,Ковда,276,26100,66.695493,32.871028,https://ru.wikipedia.org/?curid=1110291&oldid=113987075 
Karel,Кятка,NA,204,65.888381,34.682942,https://ru.wikipedia.org/?curid=3050275&oldid=109181757 
Karel,Лупче-Савино ,NA,146,67.162912,32.342593,https://ru.wikipedia.org/?curid=1090678&oldid=107320971 
Karel,Нильма,NA,167,66.505766,33.135072,https://ru.wikipedia.org/?curid=3050245&oldid=106888995 
Karel,Плавежма,NA,NA,66.254168,33.000653,https://ru.wikipedia.org/?curid=3050252&oldid=106899552 
Karel,Пулонга,NA,630,66.302514,33.277289,https://ru.wikipedia.org/?curid=3050251&oldid=109181681 
Karel,Сонрека,NA,167,66.156553,34.224147,https://ru.wikipedia.org/?curid=3050269&oldid=106993764 
Karel,Черная,NA,NA,66.518961,32.949662,https://ru.wikipedia.org/?curid=8323464&oldid=109796482 
Karel,Княжая,NA,NA,66.871784,32.407422,NA
