Shore,River,Drainage_Area,River_size,Lat,Lon
Kand,Vypcha,161,Small,66.633041,34.492023
Kand,Varsuga,9840,Large,66.264872,36.940297
Kand,Kolvitsa,1260,Large,67.0832,32.991099
Kand,Kuzreka,255,Large,66.599994,34.813032
Kand,Luvenga,175,Small,67.100373,32.693133
Kand,Niva,12800,Large,67.130271,32.418253
Kand,Olenitsa,403,Large,66.452763,35.300598
Kand,Pila,313,Large,66.780555,34.157445
Kand,Porya,240,Large,66.819538,33.551159
Kand,Ryasanka,102,Small,66.737098,33.446631
Kand,Salnitsa,121,Small,66.37576,35.684872
Kand,Umba,6250,Large,66.664609,34.297657
Kand,Shoguy,103,Small,66.747609,34.025583
Kand,Shushpanikha,65.2,Small,66.851752,33.607054
Kand,Nivskaya HPÐ channel,NA,Small,67.156763,32.377130
Karel,Gridina,540,Large,65.924619,34.658458
Karel,Keret,3360,Large,66.281723,33.580341
Karel,Kovda,26100,Large,66.695493,32.871028
Karel,Kyatka,204,Small,65.888381,34.682942
Karel,Lupche-Savino,146,Small,67.162912,32.342593
Karel,Nilma,167,Small,66.505766,33.135072
Karel,Plavezhma,NA,Small,66.254168,33.000653
Karel,Pulonga,630,Large,66.302514,33.277289
Karel,Sonreka,167,Small,66.156553,34.224147
Karel,Chernaya,141,Small,66.518961,32.949662
Karel,Knyazhegubskaya HPÐ channel,NA,Large,66.871784,32.407422
