Site;Shore;Lat;Lon;Z
umba_sovhoz;Kand;66.677388;34.372514;0.753968254
umba_sovhoz;Kand;66.677388;34.372514;0
umba_sovhoz;Kand;66.677388;34.372514;0.43220339
umba_sovhoz;Kand;66.677388;34.372514;0.442105263
umba_sovhoz;Kand;66.677388;34.372514;0.232142857
umba_sovhoz;Kand;66.677388;34.372514;0.504132231
umba_sovhoz;Kand;66.677388;34.372514;0.6
umba_sovhoz;Kand;66.677388;34.372514;0.408163265
umba_sovhoz;Kand;66.677388;34.372514;0.964705882
umba_sovhoz;Kand;66.677388;34.372514;0.890547264
umba_sovhoz;Kand;66.677388;34.372514;1
umba_sovhoz;Kand;66.677388;34.372514;0.604395604
umba_sovhoz;Kand;66.677388;34.372514;1
umba_sovhoz;Kand;66.677388;34.372514;0.910447761
umba_sovhoz;Kand;66.677388;34.372514;0.902439024
umba_sovhoz;Kand;66.677388;34.372514;0.819004525
umba_sovhoz;Kand;66.677388;34.372514;0.685714286
umba_sovhoz;Kand;66.677388;34.372514;1
umba_sovhoz;Kand;66.677388;34.372514;0.97810219
umba_sovhoz;Kand;66.677388;34.372514;1.019230769
umba_sovhoz;Kand;66.677388;34.372514;0.81875
umba_sovhoz;Kand;66.677388;34.372514;0.870786517
umba_sovhoz;Kand;66.677388;34.372514;0.769585253
umba_sovhoz;Kand;66.677388;34.372514;0.952380952
umba_sovhoz;Kand;66.677388;34.372514;0.916666667
umba_sovhoz;Kand;66.677388;34.372514;0.894117647
umba_sovhoz;Kand;66.677388;34.372514;0.917431193
umba_sovhoz;Kand;66.677388;34.372514;0.940828402
umba_sovhoz;Kand;66.677388;34.372514;1.02
umba_sovhoz;Kand;66.677388;34.372514;0.959302326
umba_sovhoz;Kand;66.677388;34.372514;1
umba_sovhoz;Kand;66.677388;34.372514;0.572864322
umba_sovhoz;Kand;66.677388;34.372514;1
umba_sovhoz;Kand;66.677388;34.372514;0.887640449
umba_sovhoz;Kand;66.677388;34.372514;1
umba_sovhoz;Kand;66.677388;34.372514;0.575
umba_sovhoz;Kand;66.677388;34.372514;0.626506024
umba_sovhoz;Kand;66.677388;34.372514;0.516129032
umba_pikut;Kand;66.696303;34.35227;0.535714286
umba_pikut;Kand;66.696303;34.35227;0.444444444
umba_pikut;Kand;66.696303;34.35227;0.745454545
umba_pikut;Kand;66.696303;34.35227;0.318181818
umba_pikut;Kand;66.696303;34.35227;0.4
umba_pikut;Kand;66.696303;34.35227;0
umba_pikut;Kand;66.696303;34.35227;0.5
umba_pikut;Kand;66.696303;34.35227;0
umba_pikut;Kand;66.696303;34.35227;0
umba_pikut;Kand;66.696303;34.35227;0
umba_pikut;Kand;66.696303;34.35227;0
umba_pikut;Kand;66.696303;34.35227;0.387931034
umba_pikut;Kand;66.696303;34.35227;0.939914163
umba_pikut;Kand;66.696303;34.35227;0.65
umba_pikut;Kand;66.696303;34.35227;0
umba_pikut;Kand;66.696303;34.35227;0.375
umba_pikut;Kand;66.696303;34.35227;0.816326531
umba_pikut;Kand;66.696303;34.35227;0.822966507
umba_pikut;Kand;66.696303;34.35227;0.863247863
umba_pikut;Kand;66.696303;34.35227;1
umba_pikut;Kand;66.696303;34.35227;0.892473118
umba_pikut;Kand;66.696303;34.35227;0.915322581
umba_pikut;Kand;66.696303;34.35227;0.956284153
umba_pikut;Kand;66.696303;34.35227;0.843243243
umba_pikut;Kand;66.696303;34.35227;1.018691589
umba_pikut;Kand;66.696303;34.35227;0.881278539
umba_pikut;Kand;66.696303;34.35227;0.722222222
umba_pikut;Kand;66.696303;34.35227;0.448
umba_pikut;Kand;66.696303;34.35227;0.612244898
umba_pikut;Kand;66.696303;34.35227;0
umba_pioner;Kand;66.655254;34.33972;0.357142857
umba_pioner;Kand;66.655254;34.33972;0.774647887
umba_pioner;Kand;66.655254;34.33972;0.44
umba_pioner;Kand;66.655254;34.33972;0.885057471
umba_pioner;Kand;66.655254;34.33972;0.684210526
umba_pioner;Kand;66.655254;34.33972;0.691489362
umba_pioner;Kand;66.655254;34.33972;0.836065574
umba_pioner;Kand;66.655254;34.33972;0.944444444
umba_pioner;Kand;66.655254;34.33972;0.682352941
umba_pioner;Kand;66.655254;34.33972;0.9375
umba_pioner;Kand;66.655254;34.33972;0.939393939
umba_pioner;Kand;66.655254;34.33972;0.836206897
umba_pioner;Kand;66.655254;34.33972;0.915789474
umba_pioner;Kand;66.655254;34.33972;0.813333333
umba_pioner;Kand;66.655254;34.33972;1
umba_pioner;Kand;66.655254;34.33972;0.719745223
umba_pioner;Kand;66.655254;34.33972;0.922155689
umba_pioner;Kand;66.655254;34.33972;0.992857143
umba_pioner;Kand;66.655254;34.33972;0.873015873
umba_pioner;Kand;66.655254;34.33972;1
umba_pioner;Kand;66.655254;34.33972;0.821428571
umba_pioner;Kand;66.655254;34.33972;1
umba_pioner;Kand;66.655254;34.33972;1
umba_pioner;Kand;66.655254;34.33972;1
umba_pioner;Kand;66.655254;34.33972;1
umba_pioner;Kand;66.655254;34.33972;0.92
umba_pioner;Kand;66.655254;34.33972;1
umba_pioner;Kand;66.655254;34.33972;0.842105263
umba_pioner;Kand;66.655254;34.33972;0.932692308
umba_pioner;Kand;66.655254;34.33972;1
umba_pioner;Kand;66.655254;34.33972;0.946666667
umba_pioner;Kand;66.655254;34.33972;0.969465649
umba_pioner;Kand;66.655254;34.33972;0.96969697
umba_pioner;Kand;66.655254;34.33972;1
umba_pioner;Kand;66.655254;34.33972;0.941176471
umba_pioner;Kand;66.655254;34.33972;1
umba_pioner;Kand;66.655254;34.33972;1
umba_pioner;Kand;66.655254;34.33972;1
umba_pioner;Kand;66.655254;34.33972;1
umba_pioner;Kand;66.655254;34.33972;1
umba_bridge;Kand;66.68556;34.33583;1.032608696
umba_bridge;Kand;66.68556;34.33583;0.839506173
umba_bridge;Kand;66.68556;34.33583;1
umba_bridge;Kand;66.68556;34.33583;1.048780488
umba_bridge;Kand;66.68556;34.33583;0.535714286
umba_bridge;Kand;66.68556;34.33583;0.896226415
umba_bridge;Kand;66.68556;34.33583;0.72
umba_bridge;Kand;66.68556;34.33583;0.727272727
umba_bridge;Kand;66.68556;34.33583;1
umba_bridge;Kand;66.68556;34.33583;1.04
umba_bridge;Kand;66.68556;34.33583;1
umba_bridge;Kand;66.68556;34.33583;1
umba_bridge;Kand;66.68556;34.33583;1
umba_bridge;Kand;66.68556;34.33583;1.036363636
umba_bridge;Kand;66.68556;34.33583;0.9
umba_bridge;Kand;66.68556;34.33583;0.872180451
umba_bridge;Kand;66.68556;34.33583;1.037037037
umba_bridge;Kand;66.68556;34.33583;1
umba_bridge;Kand;66.68556;34.33583;1.038961039
umba_bridge;Kand;66.68556;34.33583;1.119047619
umba_kamni;Kand;66.683231;34.333758;1.033898305
umba_kamni;Kand;66.683231;34.333758;1.071428571
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1.024390244
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;0.930232558
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1.053571429
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;0.954545455
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1.064102564
umba_kamni;Kand;66.683231;34.333758;1.038461538
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1.04
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1
umba_kamni;Kand;66.683231;34.333758;1.036363636
umba_kamni;Kand;66.683231;34.333758;0.955882353
umba_06;Kand;66.664503;34.298491;0.75
umba_06;Kand;66.664503;34.298491;0.892857143
umba_06;Kand;66.664503;34.298491;0.884615385
umba_06;Kand;66.664503;34.298491;1
umba_06;Kand;66.664503;34.298491;1
umba_06;Kand;66.664503;34.298491;1
umba_06;Kand;66.664503;34.298491;1
umba_06;Kand;66.664503;34.298491;1
umba_06;Kand;66.664503;34.298491;0.967741935
umba_06;Kand;66.664503;34.298491;0.894308943
umba_06;Kand;66.664503;34.298491;1.034482759
umba_06;Kand;66.664503;34.298491;0.966666667
umba_06;Kand;66.664503;34.298491;0.95631068
umba_06;Kand;66.664503;34.298491;1
umba_06;Kand;66.664503;34.298491;0.790960452
umba_06;Kand;66.664503;34.298491;1
umba_06;Kand;66.664503;34.298491;1
umba_06;Kand;66.664503;34.298491;0.991189427
umba_06;Kand;66.664503;34.298491;1
umba_06;Kand;66.664503;34.298491;0.868421053
umba_06;Kand;66.664503;34.298491;0.704142012
umba_06;Kand;66.664503;34.298491;0.8203125
umba_06;Kand;66.664503;34.298491;0.895061728
umba_06;Kand;66.664503;34.298491;0.904
umba_06;Kand;66.664503;34.298491;0.943661972
umba_06;Kand;66.664503;34.298491;0.816901408
umba_06;Kand;66.664503;34.298491;1
umba_06;Kand;66.664503;34.298491;0.921052632
umba_06;Kand;66.664503;34.298491;0.693430657
padan;Kand;66.701026;34.238944;1
padan;Kand;66.701026;34.238944;1
padan;Kand;66.701026;34.238944;0.881355932
padan;Kand;66.701026;34.238944;1
padan;Kand;66.701026;34.238944;0.777777778
padan;Kand;66.701026;34.238944;1.013071895
padan;Kand;66.701026;34.238944;0.96350365
padan;Kand;66.701026;34.238944;0.944444444
padan;Kand;66.701026;34.238944;1
padan;Kand;66.701026;34.238944;1
padan;Kand;66.701026;34.238944;0.961904762
padan;Kand;66.701026;34.238944;1.048543689
padan;Kand;66.701026;34.238944;1.052631579
padan;Kand;66.701026;34.238944;1
padan;Kand;66.701026;34.238944;1
padan;Kand;66.701026;34.238944;1
padan;Kand;66.701026;34.238944;0.915492958
padan;Kand;66.701026;34.238944;1
padan;Kand;66.701026;34.238944;1
padan;Kand;66.701026;34.238944;0.85840708
padan;Kand;66.701026;34.238944;1.038461538
padan;Kand;66.701026;34.238944;0.96
padan;Kand;66.701026;34.238944;1
padan;Kand;66.701026;34.238944;1
padan;Kand;66.701026;34.238944;1
padan;Kand;66.701026;34.238944;1
padan;Kand;66.701026;34.238944;0.9
padan;Kand;66.701026;34.238944;1
padan;Kand;66.701026;34.238944;0.25
padan;Kand;66.701026;34.238944;1
