Site;Shore;Sample;Position;Lat;Lon;N_T;N_E
Gridshel;Karel;Gridshel1;Algae;"65,92371667";"34,67516667";8;20
Gridshel;Karel;Gridshel2;Bottom;"65,92371667";"34,67516667";4;89
Gridshel;Karel;Gridshel3;Algae;"65,92371667";"34,67516667";7;36
Gridshel;Karel;Gridshel4;Bottom;"65,92371667";"34,67516667";12;62
Gridshel;Karel;Gridshel5;Algae;"65,92371667";"34,67516667";16;28
Gridshel;Karel;Gridshel6;Bottom;"65,92371667";"34,67516667";9;105
Gridexp;Karel;Gridexp1;Algae;"65,92436667";"34,6642";7;19
Gridexp;Karel;Gridexp2;Bottom;"65,92436667";"34,6642";4;15
Gridexp;Karel;Gridexp3;Algae;"65,92436667";"34,6642";25;16
Gridexp;Karel;Gridexp4;Bottom;"65,92436667";"34,6642";5;10
Gridexp;Karel;Gridexp5;Algae;"65,92436667";"34,6642";29;16
Gridexp;Karel;Gridexp6;Bottom;"65,92436667";"34,6642";0;10
Son3;Karel;Son3_1;Algae;"66,15833333";"34,2344";0;17
Son3;Karel;Son3_2;Bottom;"66,15833333";"34,2344";0;27
Son3;Karel;Son3_3;Algae;"66,15833333";"34,2344";3;11
Son3;Karel;Son3_4;Bottom;"66,15833333";"34,2344";3;28
Son3;Karel;Son3_5;Algae;"66,15833333";"34,2344";4;22
Son3;Karel;Son3_6;Bottom;"66,15833333";"34,2344";1;24
Son4;Karel;Son4_1;Algae;"66,1588";"34,23586667";0;17
Son4;Karel;Son4_2;Bottom;"66,1588";"34,23586667";6;58
Son4;Karel;Son4_3;Algae;"66,1588";"34,23586667";8;25
Son4;Karel;Son4_4;Bottom;"66,1588";"34,23586667";2;65
Son4;Karel;Son4_5;Algae;"66,1588";"34,23586667";3;22
Son4;Karel;Son4_6;Bottom;"66,1588";"34,23586667";1;56
Son1;Karel;Son1_1;Algae;"66,17808333";"34,20433333";6;17
Son1;Karel;Son1_2;Bottom;"66,17808333";"34,20433333";6;69
Son1;Karel;Son1_3;Algae;"66,17808333";"34,20433333";1;22
Son1;Karel;Son1_4;Bottom;"66,17808333";"34,20433333";3;121
Son1;Karel;Son1_5;Algae;"66,17808333";"34,20433333";6;10
Son1;Karel;Son1_6;Bottom;"66,17808333";"34,20433333";6;28
Son2;Karel;Son2_1;Algae;"66,18196667";"34,21001667";25;32
Son2;Karel;Son2_2;Bottom;"66,18196667";"34,21001667";91;151
Son2;Karel;Son2_3;Algae;"66,18196667";"34,21001667";7;19
Son2;Karel;Son2_4;Bottom;"66,18196667";"34,21001667";30;68
Son2;Karel;Son2_5;Algae;"66,18196667";"34,21001667";15;43
Son2;Karel;Son2_6;Bottom;"66,18196667";"34,21001667";35;217
Chup2_2017;Karel;Chup2-1;Algae;"66,264834";"33,045128";59;15
Chup2_2017;Karel;Chup2-2;Bottom;"66,264834";"33,045128";2;3
Chup2_2017;Karel;Chup2-3;Algae;"66,264834";"33,045128";74;65
Chup2_2017;Karel;Chup2-4;Bottom;"66,264834";"33,045128";4;2
Chup2_2017;Karel;Chup2-5;Algae;"66,264834";"33,045128";42;48
Chup2_2017;Karel;Chup2-6;Bottom;"66,264834";"33,045128";6;0
chupa_fg;Karel;NA;NA;"66,268194";"33,067037";30;51
Chup1_2017;Karel;Chup1-1;Algae;"66,270205";"33,071835";17;84
Chup1_2017;Karel;Chup1-2;Bottom;"66,270205";"33,071835";47;13
Chup1_2017;Karel;Chup1-3;Algae;"66,270205";"33,071835";11;52
Chup1_2017;Karel;Chup1-4;Bottom;"66,270205";"33,071835";42;13
Chup1_2017;Karel;Chup1-5;Algae;"66,270205";"33,071835";29;91
Chup1_2017;Karel;Chup1-6;Bottom;"66,270205";"33,071835";5;19
Chup4_2018;Karel;Chup4-1;Algae;"66,275409";"33,089584";13;50
Chup4_2018;Karel;Chup4-2;Bottom;"66,275409";"33,089584";2;53
Chup4_2018;Karel;Chup4-3;Algae;"66,275409";"33,089584";6;103
Chup4_2018;Karel;Chup4-4;Bottom;"66,275409";"33,089584";2;32
Chup4_2018;Karel;Chup4-5;Algae;"66,275409";"33,089584";10;40
Chup4_2018;Karel;Chup4-6;Bottom;"66,275409";"33,089584";7;45
Pul2;Karel;Pul2_1;Algae;"66,28273333";"33,23641667";1;10
Pul2;Karel;Pul2_2;Bottom;"66,28273333";"33,23641667";2;59
Pul2;Karel;Pul2_3;Algae;"66,28273333";"33,23641667";0;13
Pul2;Karel;Pul2_4;Bottom;"66,28273333";"33,23641667";1;6
Pul2;Karel;Pul2_5;Algae;"66,28273333";"33,23641667";3;4
Pul2;Karel;Pul2_6;Bottom;"66,28273333";"33,23641667";12;33
Chup3;Karel;3_1;Algae;"66,28936667";"33,6814";3;24
Chup3;Karel;3_2;Algae;"66,28936667";"33,6814";10;13
Chup3;Karel;3_3;Algae;"66,28936667";"33,6814";14;20
Chup3;Karel;3_4;Bottom;"66,28936667";"33,6814";9;66
Chup3;Karel;3_5;Bottom;"66,28936667";"33,6814";2;28
Chup3;Karel;3_6;Bottom;"66,28936667";"33,6814";2;34
Pul3;Karel;Pul3_1;Algae;"66,2917";"33,28331667";6;17
Pul3;Karel;Pul3_2;Bottom;"66,2917";"33,28331667";1;20
Pul3;Karel;Pul3_3;Algae;"66,2917";"33,28331667";9;20
