N_station;N_degree;N_minutes;E_degree;E_minutes;Date;Time;Surface_Salinity;Subsurface_Salinity
1;67;7.725;32;25.189;14.07.2015;8:35;0;16
2;67;7.755;32;24.479;14.07.2015;8:37;3;6
3;67;8.041;32;23.941;14.07.2015;8:42;8;12
4;67;8.761;32;22.827;14.07.2015;8:47;13;17
5;67;9.245;32;21.528;14.07.2015;8:50;8;11
6;67;9.413;32;20.358;14.07.2015;8:53;8;11
7;67;7.768;32;17.511;14.07.2015;9:05;11;11
8;67;7.234;32;16.98;14.07.2015;9:12;10;10
9;67;6.47;32;17.56;14.07.2015;9:25;13;18
10;67;6.614;32;19.88;14.07.2015;9:31;10;11
11;67;6.987;32;23.02;14.07.2015;9:40;12;15
12;67;7.447;32;24.208;14.07.2015;9:45;7;13
13;67;0.596;32;36.07;14.07.2015;21:50;14;15
14;67;1.303;32;35.06;14.07.2015;21:56;15;15
15;67;2.325;32;33.662;14.07.2015;22:02;18;14
16;67;3.566;32;32.645;14.07.2015;22:09;14;15
17;67;4.875;32;31.775;14.07.2015;22:14;17;18
18;67;5.786;32;31.656;14.07.2015;22:18;18;18
19;67;6.407;32;29.477;14.07.2015;22:23;18;18
20;67;7.125;32;27.026;14.07.2015;22:28;15;16
21;67;7.531;32;26.065;14.07.2015;22:31;17;19
22;67;7.635;32;25.617;14.07.2015;22:34;14;18
23;67;7.238;32;25.237;14.07.2015;22:36;8;18
24;67;6.835;32;25.218;14.07.2015;22:38;9;17
25;67;6.664;32;21.732;14.07.2015;22:45;11;11
26;67;6;32;19.354;14.07.2015;22:56;13;14
27;67;5.631;32;20.087;14.07.2015;23:00;15;17
28;67;4.864;32;21.753;14.07.2015;23:04;14;16
29;67;4.251;32;23.299;14.07.2015;23:07;15;14
30;67;3.277;32;25.738;14.07.2015;23:13;13;12
31;67;2.144;32;28.953;14.07.2015;23:19;13;13
32;67;1.176;32;31.09;14.07.2015;23:24;13;13
33;67;0.461;32;32.547;14.07.2015;23:29;14;14
34;66;59.906;32;33.923;14.07.2015;23:32;13;15
35;67;1.225;32;35.995;15.07.2015;22:12;14;17
36;67;2.611;32;31.346;15.07.2015;22:20;17;18
37;67;3.568;32;38.586;15.07.2015;22:25;13;19
38;67;4.221;32;39.364;15.07.2015;22:30;13;17
39;67;4.743;32;39.85;15.07.2015;22:34;16;20
40;67;5.213;32;40.113;15.07.2015;22:36;21;22
41;67;5.37;32;40.065;15.07.2015;22:38;22;23
42;67;5.661;32;38.815;15.07.2015;22:42;19;21
43;67;5.863;32;37.613;15.07.2015;22:45;19;22
44;67;5.129;32;36.999;15.07.2015;22:49;17;20
45;67;4.304;32;36.026;15.07.2015;22:53;14;17
46;67;4.443;32;33.673;15.07.2015;23:05;14;15
47;67;3.164;32;32.972;15.07.2015;23:09;15;17
48;67;2.489;32;32.156;15.07.2015;23:12;15;16
49;67;1.964;32;31.85;15.07.2015;23:15;14;13
50;67;1.692;32;32.221;15.07.2015;23:18;13;14
51;67;1.685;32;31.433;15.07.2015;23:21;15;14
52;67;1.154;32;30.833;15.07.2015;23:24;13;13
53;66;57.917;32;51.448;16.07.2015;11:30;23;NA
54;67;0.43;32;36.497;16.07.2015;22:22;19;19
55;67;0.677;32;37.902;16.07.2015;22:27;19;19
56;67;1.262;32;40.897;16.07.2015;22:32;20;21
57;67;1.582;32;42.983;16.07.2015;22:36;20;20
58;67;2.007;32;45.771;16.07.2015;22:41;20;20
59;67;2.121;32;46.605;16.07.2015;22:44;18;19
60;67;2.899;32;46.963;16.07.2015;22:46;19;19
61;67;3.403;32;46.763;16.07.2015;22:49;18;20
62;67;3.603;32;47.529;16.07.2015;22:53;18;20
63;67;4.062;32;46.425;16.07.2015;22:55;19;21
64;67;3.356;32;44.386;16.07.2015;23:00;19;22
65;67;2.69;32;41.914;16.07.2015;23:05;20;21
66;67;1.559;32;38.724;16.07.2015;23:12;18;20
67;66;59.995;32;36.149;16.07.2015;23:21;18;20
68;66;59.847;32;34.538;16.07.2015;23:25;17;20
69;66;59.733;32;33.882;16.07.2015;23:28;18;18
70;66;59.538;32;34.261;17.07.2015;10:51;20;20
71;66;58.994;32;35.878;17.07.2015;10:59;17;18
72;66;57.664;32;37.782;17.07.2015;11:19;17;18
73;66;57.517;32;37.034;17.07.2015;11:21;15;18
74;66;57.283;32;36.233;17.07.2015;11:24;18;18
75;66;56.807;32;34.878;17.07.2015;11:28;17;19
76;66;56.345;32;33.27;17.07.2015;11:31;17;18
77;66;56.99;32;32.087;17.07.2015;11:34;16;18
78;66;55.532;32;33.556;17.07.2015;11:38;16;18
79;66;55.836;32;35.542;17.07.2015;11:43;13;16
80;66;56.256;32;37.441;17.07.2015;11:46;13;17
81;67;7.662;32;25.381;28.07.2015;7:05;3;6
82;67;7.64;32;25.637;28.07.2015;7:07;3;6
83;67;7.614;32;25.935;28.07.2015;7:32;3;8
84;67;7.446;32;26.298;28.07.2015;7:35;3;6
85;67;7.291;32;26.772;28.07.2015;7:38;4;6
86;67;7.062;32;26.753;28.07.2015;7:40;0;8
87;67;7.191;32;27.234;28.07.2015;7:44;4;7
88;67;7.595;32;25.707;06.08.2015;13:30;10;12
89;67;7.149;32;27.394;06.08.2015;13:35;10;16
90;67;7.067;32;28.361;06.08.2015;13:37;13;17
91;67;6.52;32;30.033;06.08.2015;13:39;13;18
92;67;6.725;32;31.287;06.08.2015;13:49;18;22
93;67;6.368;32;36.785;06.08.2015;14:02;17;19
94;67;6.637;32;38.416;06.08.2015;14:16;18;21
96;67;0.054;32;33.854;08.08.2015;4:00;16;17
97;67;0.46;32;32.864;08.08.2015;4:00;18;17
98;67;1.068;32;31.503;08.08.2015;4:00;15;17
99;67;2.009;32;29.5;08.08.2015;4:15;9;15
100;67;3.444;32;25.898;08.08.2015;4:24;10;18
101;67;4.687;32;22.692;08.08.2015;4:31;7;10
102;67;5.907;32;19.564;08.08.2015;4:41;8;11
103;67;6.299;32;19.319;08.08.2015;4:45;6;10
LOM_EXP;66;58.17;32;36.025;01.08.2015;NA;16;NA
LOM_SHEL;66;58.294;32;36.618;01.08.2015;NA;14;NA
KURT_EXP;67;6.467;32;37.254;01.08.2015;NA;16;NA
MED_EXP;66;59.174;32;39.99;03.08.2015;NA;17;NA
VAL_EXP;66;55.665;32;32.116;04.08.2015;NA;17;NA
VOR_SHEL_2;66;56.049;32;31.583;10.08.2015;NA;17;NA
SEDL_2;66;56.376;32;39.499;12.08.2015;NA;16;NA
KNYAZH;66;54.672;32;37.397;12.08.2015;NA;13;NA
KIBR_EXP;66;55.744;32;49.957;16.08.2015;NA;24;NA
KIBR_SHEL;66;56.169;32;49.373;16.08.2015;NA;22;NA
MED_SHEL_;66;59.542;32;40.005;03.08.2015;NA;15;NA
KURT_SHEL;67;6.516;32;38.344;06.08.2015;NA;23;NA
