Shore,River,Discharge,Drainage_Are,Lat,Lon
Kand,Выпча,,161,66.633041,34.492023
Kand,Варзуга,77,9840,66.264872,36.940297
Kand,Колвица,14.7,1260,67.0832,32.991099
Kand,Кузрека,NA,255,66.599994,34.813032
Kand,Лувеньга,NA,175,67.100373,32.693133
Kand,Нива,164,12800,67.130271,32.418253
Kand,Оленица,NA,403,66.452763,35.300598
Kand,Пила,NA,313,66.780555,34.157445
Kand,Порья,NA,240,66.819538,33.551159
Kand,Рязанка,NA,102,66.737098,33.446631
Kand,Сальница,NA,121,66.37576,35.684872
Kand,Умба,78.2,6250,66.664609,34.297657
Kand,Шогуй,NA,103,66.747609,34.025583
Kand,Шушпаниха,NA,65.2,66.851752,33.607054
Karel,Гридина,5,540,65.924619,34.658458
Karel,Кереть,23.37,3360,66.281723,33.580341
Karel,Ковда,276,26100,66.695493,32.871028
Karel,Кятка,NA,204,65.888381,34.682942
Karel,Лупче-Савино ,NA,146,67.162912,32.342593
Karel,Нильма,NA,167,66.505766,33.135072
Karel,Плавежма,NA,NA,66.254168,33.000653
Karel,Пулонга,NA,630,66.302514,33.277289
Karel,Сонрека,NA,167,66.156553,34.224147
Karel,Черная,NA,NA,66.518961,32.949662
Karel,Княжая,NA,NA,66.871784,32.407422
