Shore,River,Drainage_Area,River_Size,Lat,Lon,Source
Kand,Vypcha,161,Small,66.633041,34.492023,https://ru.wikipedia.org/?curid=3050090&oldid=88914816 
Kand,Varsuga,9840,Large,66.264872,36.940297,https://ru.wikipedia.org/?curid=74812&oldid=115743553 
Kand,Kolvitsa,1260,Large,67.0832,32.991099,https://ru.wikipedia.org/?curid=1773995&oldid=113796928 
Kand,Kuzreka,255,Large,66.599994,34.813032,https://ru.wikipedia.org/?curid=3050089&oldid=95496188 
Kand,Luvenga,175,Small,67.100373,32.693133,https://ru.wikipedia.org/?curid=3050119&oldid=109510103 
Kand,Niva,12800,Large,67.130271,32.418253,https://ru.wikipedia.org/?curid=641762&oldid=110964154 
Kand,Olenitsa,403,Large,66.452763,35.300598,https://ru.wikipedia.org/?curid=3050085&oldid=109295330 
Kand,Pila,313,Large,66.780555,34.157445,https://ru.wikipedia.org/?curid=3050113&oldid=111041396 
Kand,Porya,240,Large,66.819538,33.551159,https://ru.wikipedia.org/?curid=3050117&oldid=96250595 
Kand,Ryasanka,102,Small,66.737098,33.446631,https://ru.wikipedia.org/?curid=3050118&oldid=96233143 
Kand,Salnitsa,121,Small,66.37576,35.684872,https://ru.wikipedia.org/?curid=3050084&oldid=96252517 
Kand,Umba,6250,Large,66.664609,34.297657,https://ru.wikipedia.org/?curid=641760&oldid=109440016 
Kand,Shoguy,103,Small,66.747609,34.025583,https://ru.wikipedia.org/?curid=3050114&oldid=96607918 
Kand,Shushpanikha,65.2,Small,66.851752,33.607054,https://ru.wikipedia.org/?curid=3050116&oldid=96607946 
Kand,Nivskaya HPP channel,NA,Large,67.156763,32.377130,Map analysis
Karel,Gridina,540,Large,65.924619,34.658458,https://ru.wikipedia.org/?curid=3050258&oldid=106999661 
Karel,Keret,3360,Large,66.281723,33.580341,https://ru.wikipedia.org/?curid=1630188&oldid=109182321 
Karel,Kovda,26100,Large,66.695493,32.871028,https://ru.wikipedia.org/?curid=1110291&oldid=113987075 
Karel,Kyatka,204,Small,65.888381,34.682942,https://ru.wikipedia.org/?curid=3050275&oldid=109181757 
Karel,Lupche-Savino,146,Small,67.162912,32.342593,https://ru.wikipedia.org/?curid=1090678&oldid=107320971 
Karel,Nilma,167,Small,66.505766,33.135072,https://ru.wikipedia.org/?curid=3050245&oldid=106888995 
Karel,Plavezhma,NA,Small,66.254168,33.000653,https://ru.wikipedia.org/?curid=3050252&oldid=106899552 Map analysis 
Karel,Pulonga,630,Large,66.302514,33.277289,https://ru.wikipedia.org/?curid=3050251&oldid=109181681 
Karel,Sonreka,167,Small,66.156553,34.224147,https://ru.wikipedia.org/?curid=3050269&oldid=106993764 
Karel,Chernaya,141,Small,66.518961,32.949662,https://ru.wikipedia.org/?curid=8323464&oldid=109796482 
Karel,Knyazhegubskaya HPP channel,NA,Large,66.871784,32.407422,Map analysis
