Type,Cage,ID,Label,Morphotype,N_byss,Force,Weight,Size
Z,Z1,101,r,e,32,1.536,0.617,20.42
Z,Z1,102,l,t,36,1.163,0.610,18.47
Z,Z1,103,r,e,12,0,1.157,23.90
Z,Z1,104,r,e,35,0,0.799,20.53
Z,Z1,105,l,t,29, 1.049, 1.048,22.80
Z,Z1,106,r,e,30,0.417,1.763,24.32
Z,Z1,107,l,t,40, 1.091,0.656,19.21
Z,Z1,108,l,t,7,2.677,1.535,25.70
Z,Z1,109,l,t,31,2.692,0.889, 21.10
Z,Z1,110,r,e,11,0.637, 1.073,22.41
Z,Z1,111,r,t,46, 1.053,0.950,20.83
Z,Z1,112,l,t,49,1.250,0.747,20.46
Z,Z1,113,l,t,28,1.966,0.757,21.16
Z,Z1,114,r,e,37,1.581,0.754,21.48
Z,Z1,115,r,t,28,0.358,0.592,17.36
Z,Z1,116,l,t,49,1.688,0.869,21.95
Z,Z1,117,l,e,22,1.727,0.841,21.52
Z,Z1,118,l,t,9,2.482,1.403,26.29
Z,Z2,401,r,e,27,0.165, 1.002,24.77
Z,Z2,402,l,t,64,2.353,0.798,21.39
Z,Z2,403,l,t,40,0.702,0.551,18.100
Z,Z2,404,l,t,36,1.963,1.347,25.84
Z,Z2,405,l,e,43,1.950,0.768,22.54
Z,Z2,406,l,t,34,3.347,0.962,22.97
Z,Z2,407,r,e,12,0.303,1.492,24.14
Z,Z2,408,l,t,0,0.437,0.709,23.35
Z,Z2,409,r,e,35,0.638,0.733,20.58
Z,Z2,410,l,t,27,0.813,0.616, 20.010
Z,Z2,411,r,e,8,0.731,1.529,26.81
Z,Z2,412,l,t,17,1.656,1.548,26.49
Z,Z2,413,r,e,22,1.939,1.647,27.25
Z,Z2,414,l,t,43,0.528,0.778,21.71
Z,Z2,415,l,t,1,0,0.755,26.63
Z,Z2,416,l,t,15,1.715,1.159,23.15
Z,Z2,417,r,e,18,1.1290,0.862,21.30
Z,Z2,418,r,e,12,0.988,0.863,19.92
Z,Z3,701,l,e,7,0,1.360,23.63
Z,Z3,702,l,t,16,1.634,0.701,21.20
Z,Z3,703,l,t,16,1.318,1.154,24.69
Z,Z3,704,l,e,40,1.405,0.908,21.98
Z,Z3,705,r,e,12,0,0.627,18.110
Z,Z3,706,r,e,5,0, 1.091,22.120
Z,Z3,707,r,e,18,2.273,2.174,27.31
Z,Z3,708,l,e,11,1.146,1.229,23.34
Z,Z3,709,r,e,21,0.756,1.732,24.95
Z,Z3,710,l,t,55,1.757,0.730,22.14
Z,Z3,711,l,t,13,1.385,0.844,21.080
Z,Z3,712,l,t,30,1.816,0.941,23.36
Z,Z3,713,r,e,6,0.656,1.362,21.77
Z,Z3,714,r,e,2,0.663,2.256,26.85
Z,Z3,715,r,e,7,0.591,1.418,24.55
Z,Z3,716,r,e,19,0, 1.274,24.85
Z,Z3,717,l,t,20,NA,0.756,20.070
Z,Z3,718,l,t,32,0.831,0.654,21.36
Z,Z3,719,l,t,35,2.851,0.985,22.96
