Sample_ID;Year;Period;Transect;Habitat;Depth2;Depth;Monitoring;Kelps;Cover_scores;Distance;Slope_new;Width;N;W;Age1;Age2;Age3;Age4;Age5;Age6;Age7;Age8;Age9;Age10;Age11;Age12;Age2_3;Age4_6;Age7_9;Age10_12;OGP_old;OGP;max_L;PT;N_for_PT;Ptros
BN_2_04;2004;1;BN;shoals;2;-2;1;0;4;250;0.047619048;110;200;15.96;0;0;0;100;100;0;0;0;0;0;0;0;0;200;0;0;0.84;NA;25.8;NA;NA;NA
BN_1.5_04;2004;1;BN;shoals;1.5;-1.5;1;0;4;250;0.015037594;110;400;100.18;0;0;100;200;100;0;0;0;0;0;0;0;100;300;0;0;0.84;0.91;29;NA;NA;NA
BN_1_04;2004;1;BN;shoals;1;-1;1;0;4;250;0.014285714;110;400;16.27;0;0;0;0;400;0;0;0;0;0;0;0;0;400;0;0;1.26;NA;28.6;NA;NA;NA
BN_0.5_04;2004;1;BN;bed;0.5;-0.5;1;0;3;250;0.035714286;110;1300;520.09;0;0;600;600;100;0;0;0;0;0;0;0;600;700;0;0;1.26;NA;35.5;NA;NA;NA
BS_2_05;2005;1;BS;shoals;2;-2;1;0;3;420;0.038961039;460;281.25;555.375;0;15;48.75;30;56.25;63.75;56.25;7.5;0;0;3.75;0;63.75;150;63.75;3.75;1.050455007;0.92;53;0.9;31;0.723121805
BS_1.5_04;2004;1;BS;shoals;1.5;-1.5;1;0;3;420;0.057142857;460;150;212.94;0;0;50;100;0;0;0;0;0;0;0;0;50;100;0;0;1.51;1.06;29.4;NA;NA;NA
BS_1_04;2004;1;BS;shoals;1;-1;1;0;4;420;0.035714286;460;900;1252.86;0;0;150;250;400;100;0;0;0;0;0;0;150;750;0;0;1.51;1.06;32.2;NA;NA;NA
BS_0.5_04;2004;1;BS;bed;0.5;-0.5;1;0;3;420;0.007518797;460;5500;15398.21;0;0;750;800;1700;1250;350;150;50;150;100;200;750;3750;550;450;1.171115145;1.2;73.4;0.79;66;0.590492085
BS_-0.5_04;2004;1;BS;bed;-0.5;0.5;1;0;1;420;0.002574003;460;19300;22945.7;0;150;2150;4900;2650;3450;3600;1700;700;0;0;0;2300;11000;6000;0;0.767743436;0.9;38.4;0.26;135;0.076139071
BS_-1.5_04;2004;1;BS;bed;-1.5;1.5;1;0;1;420;0.001785714;460;11500;12080.24;0;0;450;1500;3050;2400;2800;700;600;0;0;0;450;6950;4100;0;1.013382912;1.01;45;0.38;42;0.136107891
MidN_2_04;2004;1;MidN;rocks;2;-2;1;0;4;1750;0.084889643;16.5;1600;1200.97;0;0;0;1000;300;200;100;0;0;0;0;0;0;1500;100;0;1.192360794;0.87;32.8;NA;NA;NA
MidN_1.5_04;2004;1;MidN;rocks;1.5;-1.5;1;0;5;1750;0.083542189;16.5;1900;2139.93;0;0;0;800;400;600;100;0;0;0;0;0;0;1800;100;0;0.868508781;0.91;39.1;NA;NA;NA
MidN_1_04;2004;1;MidN;rocks;1;-1;1;0;3;1750;0.122399021;16.5;3800;2028.81;0;0;0;2700;600;300;200;0;0;0;0;0;0;3600;200;0;1.003445021;1.02;42.7;NA;NA;NA
MidN_0.5_04;2004;1;MidN;rocks;0.5;-0.5;1;0;3;1750;0.493421053;16.5;21600;3406.97;0;200;2200;5200;11600;1800;400;200;0;0;0;0;2400;18600;600;0;0.772465543;0.9;40.5;NA;NA;NA
MoN_2_04;2004;1;MoN;rocks;2;-2;1;0;4;2700;0.347222222;8;800;565.15;0;0;200;400;0;0;0;200;0;0;0;0;200;400;200;0;1.053616213;0.87;34.4;NA;NA;NA
MoN_1.5_04;2004;1;MoN;rocks;1.5;-1.5;1;0;4;2700;0.347222222;8;1400;702.09;0;0;100;700;500;0;100;0;0;0;0;0;100;1200;100;0;0.871808348;0.87;26.8;NA;NA;NA
MoN_1_04;2004;1;MoN;rocks;1;-1;1;0;4;2700;0.396825397;8;4800;4672.46;0;200;500;2100;800;700;400;100;0;0;0;0;700;3600;500;0;0.90308217;1.14;41.6;0.89;37;0.712180942
MoN_0.5_04;2004;1;MoN;rocks;0.5;-0.5;1;0;3;2700;0.347222222;8;5700;4909.83;0;100;1200;1500;1400;1000;400;100;0;0;0;0;1300;3900;500;0;0.877280515;1.04;37;0.86;37;0.677869926
MoS_1.5_04;2004;1;MoS;rocks;1.5;-1.5;1;0;3;2550;0.153846154;11.2;2200;1628.32;0;0;200;1200;500;100;100;0;100;0;0;0;200;1800;200;0;0.771381528;0.77;22.9;NA;NA;NA
