"Transect","Date","Depth","Time","Salinity","Temp","Height","Distance","Dat_text","Date_true","H"
"B","26_07_2009",0,"6_10",3,13.5488840844545,1.31,250,"6_10 26_07_2009",2009-07-26 06:10:00,1.31
"B","26_07_2009",-2,"7_30",7,10.5860474660116,2.42,250,"7_30 26_07_2009",2009-07-26 07:30:00,2.42
"B","26_07_2009",-1,"7_30",26,9.24477440526581,2.42,250,"7_30 26_07_2009",2009-07-26 07:30:00,2.42
"B","26_07_2009",0,"7_30",26,9.79577787684555,2.42,250,"7_30 26_07_2009",2009-07-26 07:30:00,2.42
"B","26_07_2009",-2,"9_10",25,10.7447124288864,3.57,250,"9_10 26_07_2009",2009-07-26 09:10:00,3.57
"B","26_07_2009",-1,"9_10",25,10.0966813217057,3.57,250,"9_10 26_07_2009",2009-07-26 09:10:00,3.57
"B","26_07_2009",0,"9_10",25,10.1021160206853,3.57,250,"9_10 26_07_2009",2009-07-26 09:10:00,3.57
"B","26_07_2009",-2,"11_43",25,10.8819636717766,-3.46,250,"11_43 26_07_2009",2009-07-26 11:43:00,3.46
"B","26_07_2009",-1,"11_43",26,10.6287631804689,-3.46,250,"11_43 26_07_2009",2009-07-26 11:43:00,3.46
"B","26_07_2009",0,"11_43",27,10.0094857256236,-3.46,250,"11_43 26_07_2009",2009-07-26 11:43:00,3.46
"B","25_07_2009",0,"17_50",3,16.3946522282691,0.94,250,"17_50 25_07_2009",2009-07-25 17:50:00,0.94
"B","25_07_2009",-1,"19_20",27,11.8531889040816,2.26,250,"19_20 25_07_2009",2009-07-25 19:20:00,2.26
"B","25_07_2009",0,"19_20",28,10.033489995679,2.26,250,"19_20 25_07_2009",2009-07-25 19:20:00,2.26
"Mid","25_07_2009",0,"18_10",22,11.5704180384984,1.21,1750,"18_10 25_07_2009",2009-07-25 18:10:00,1.21
"Mid","26_07_2009",0,"6_30",19,10.024803581538,1.57,1750,"6_30 26_07_2009",2009-07-26 06:30:00,1.57
"Mid","26_07_2009",-2,"8_00",17,11.0510952154321,2.83,1750,"8_00 26_07_2009",2009-07-26 08:00:00,2.83
"Mid","26_07_2009",-1,"8_00",24,10.6936221792139,2.83,1750,"8_00 26_07_2009",2009-07-26 08:00:00,2.83
"Mid","26_07_2009",0,"8_00",24,10.1936469785336,2.83,1750,"8_00 26_07_2009",2009-07-26 08:00:00,2.83
"Mid","26_07_2009",-2,"10_00",24,10.0190403949074,3.8,1750,"10_00 26_07_2009",2009-07-26 10:00:00,3.8
"Mid","26_07_2009",-1,"10_00",25,9.75930801744772,3.8,1750,"10_00 26_07_2009",2009-07-26 10:00:00,3.8
"Mid","26_07_2009",0,"10_00",25,9.29579442454019,3.8,1750,"10_00 26_07_2009",2009-07-26 10:00:00,3.8
"Mid","26_07_2009",-2,"12_17",25,9.50102412729907,-3.06,1750,"12_17 26_07_2009",2009-07-26 12:17:00,3.06
"Mid","26_07_2009",-1,"12_17",27,9.6287342370953,-3.06,1750,"12_17 26_07_2009",2009-07-26 12:17:00,3.06
"Mid","26_07_2009",0,"12_17",28,9.25324592687075,-3.06,1750,"12_17 26_07_2009",2009-07-26 12:17:00,3.06
"Mid","25_07_2009",-2,"20_38",28,10.0056838760394,3.26,1750,"20_38 25_07_2009",2009-07-25 20:38:00,3.26
"Mid","25_07_2009",-1,"20_38",31,8.42830391853827,3.26,1750,"20_38 25_07_2009",2009-07-25 20:38:00,3.26
"Mid","25_07_2009",0,"20_38",32.5,8.69152636663103,3.26,1750,"20_38 25_07_2009",2009-07-25 20:38:00,3.26
"Mon","25_07_2009",0,"18_27",24,12.6475199158982,1.51,2550,"18_27 25_07_2009",2009-07-25 18:27:00,1.51
"Mon","26_07_2009",0,"6_45",12,10.8520110235702,1.71,2550,"6_45 26_07_2009",2009-07-26 06:45:00,1.71
"Mon","26_07_2009",-2,"8_20",11,10.8978707528093,3.08,2550,"8_20 26_07_2009",2009-07-26 08:20:00,3.08
"Mon","26_07_2009",-1,"8_20",19,10.8468367174477,3.08,2550,"8_20 26_07_2009",2009-07-26 08:20:00,3.08
"Mon","26_07_2009",0,"8_20",25,9.98948766326531,3.08,2550,"8_20 26_07_2009",2009-07-26 08:20:00,3.08
"Mon","26_07_2009",-2,"10_40",25,9.26483778061224,-3.79,2550,"10_40 26_07_2009",2009-07-26 10:40:00,3.79
"Mon","26_07_2009",-1,"10_40",27,9.00623567901235,-3.79,2550,"10_40 26_07_2009",2009-07-26 10:40:00,3.79
"Mon","26_07_2009",0,"10_40",27,8.24882303917863,-3.79,2550,"10_40 26_07_2009",2009-07-26 10:40:00,3.79
"Mon","26_07_2009",-2,"12_44",23.5,11.2854928746142,-2.82,2550,"12_44 26_07_2009",2009-07-26 12:44:00,2.82
"Mon","26_07_2009",-1,"12_44",25,9.50626046044344,-2.82,2550,"12_44 26_07_2009",2009-07-26 12:44:00,2.82
"Mon","26_07_2009",0,"12_44",25,9.50626046044344,-2.82,2550,"12_44 26_07_2009",2009-07-26 12:44:00,2.82
"Mon","25_07_2009",-2,"21_30",28,9.28744106036785,3.59,2550,"21_30 25_07_2009",2009-07-25 21:30:00,3.59
"Mon","25_07_2009",-1,"21_30",30,8.65903831167717,3.59,2550,"21_30 25_07_2009",2009-07-25 21:30:00,3.59
"Mon","25_07_2009",0,"21_30",32,7.94755019929816,3.59,2550,"21_30 25_07_2009",2009-07-25 21:30:00,3.59
"R","25_07_2009",0,"17_10",4.5,10.9941465720663,0.5,0,"17_10 25_07_2009",2009-07-25 17:10:00,0.5
"R","25_07_2009",0,"19_05",4,16.3775654527589,1.96,0,"19_05 25_07_2009",2009-07-25 19:05:00,1.96
"R","26_07_2009",0,"5_50",5,11.4382684673595,1.08,0,"5_50 26_07_2009",2009-07-26 05:50:00,1.08
"R","26_07_2009",0,"7_10",5,14.201005023482,2.13,0,"7_10 26_07_2009",2009-07-26 07:10:00,2.13
"R","26_07_2009",-2,"8_50",24,10.2235480778534,3.4,0,"8_50 26_07_2009",2009-07-26 08:50:00,3.4
"R","26_07_2009",-1,"8_50",25,9.54054815181406,3.4,0,"8_50 26_07_2009",2009-07-26 08:50:00,3.4
"R","26_07_2009",0,"8_50",27,9.59777654406652,3.4,0,"8_50 26_07_2009",2009-07-26 08:50:00,3.4
"R","26_07_2009",-2,"11_16",23,10.9933179239103,-3.61,0,"11_16 26_07_2009",2009-07-26 11:16:00,3.61
"R","26_07_2009",-1,"11_16",25.5,10.6055190454649,-3.61,0,"11_16 26_07_2009",2009-07-26 11:16:00,3.61
"R","26_07_2009",0,"11_16",26,10.0094857256236,-3.61,0,"11_16 26_07_2009",2009-07-26 11:16:00,3.61
"R","25_07_2009",0,"22_42",34,8.19345701103552,-3.6,0,"22_42 25_07_2009",2009-07-25 22:42:00,3.6
