Year,Days_perc_15,Days_perc_50,Days_perc_85,Peak_Days_from_year_start,Species
1961,155,194,233,200,Acartia
1962,127,183,240,213,Acartia
1963,214,248,281,263,Acartia
1964,193,216,239,223,Acartia
1965,209,261,312,263,Acartia
1966,195,232,268,252,Acartia
1967,184,219,254,242,Acartia
1968,218,254,291,302,Acartia
1969,210,260,310,273,Acartia
1970,200,263,326,301,Acartia
1971,221,242,251,242,Acartia
1972,199,229,260,222,Acartia
1973,252,277,302,282,Acartia
1974,212,278,344,293,Acartia
1975,268,283,299,293,Acartia
1976,194,222,249,222,Acartia
1977,197,234,270,252,Acartia
1978,220,239,259,242,Acartia
1979,197,245,294,252,Acartia
1980,209,233,256,240,Acartia
1981,135,191,248,170,Acartia
1982,200,231,263,221,Acartia
1983,194,254,313,274,Acartia
1984,200,243,287,242,Acartia
1985,191,229,268,210,Acartia
1986,175,241,306,272,Acartia
1987,237,250,263,255,Acartia
1988,179,213,248,200,Acartia
1989,181,230,278,252,Acartia
1990,205,247,289,273,Acartia
1991,200,241,281,252,Acartia
1992,252,266,281,274,Acartia
1993,225,248,271,262,Acartia
1994,226,243,259,247,Acartia
1995,228,239,250,241,Acartia
1996,224,243,262,253,Acartia
1997,195,233,270,253,Acartia
1998,227,241,256,252,Acartia
1999,232,266,300,292,Acartia
2000,214,238,262,242,Acartia
2001,182,210,239,220,Acartia
2002,240,263,285,272,Acartia
2003,196,219,243,222,Acartia
2004,226,293,360,227,Acartia
2005,171,189,207,201,Acartia
2006,222,265,309,252,Acartia
2007,164,173,183,180,Acartia
2008,214,219,224,223,Acartia
2009,177,197,217,200,Acartia
2010,187,201,214,200,Acartia
2011,210,234,258,231,Acartia
2012,217,255,292,262,Acartia
2013,185,243,301,242,Acartia
2014,166,235,304,210,Acartia
2015,225,267,308,272,Acartia
2016,210,260,310,242,Acartia
2017,224,247,270,244,Acartia
2018,152,156,160,160,Acartia
