Year,Days_perc_15,Days_perc_50,Days_perc_85,Peak_Days_from_year_start,Species
1961,157,159,161,165,Calanus
1962,155,159,164,161,Calanus
1963,163.7402,171.499,179.7502,162,Calanus
1964,155,171,188,171,Calanus
1965,158,164,170,170,Calanus
1966,186,192,199,200,Calanus
1967,150,155,160,160,Calanus
1968,151,162,173,161,Calanus
1969,161,171,182,170,Calanus
1970,161,168,175,171,Calanus
1971,178,185,193,190,Calanus
1972,162.5188,171.7189,181.4404,247.8,Calanus
1973,143,153,163,150,Calanus
1974,147,160,173,160,Calanus
1975,144,149,155,151,Calanus
1976,148,154,160,161,Calanus
1977,156,163,169,163,Calanus
1978,154,159,164,161,Calanus
1979,166,172,177,181,Calanus
1980,144,158,172,162,Calanus
1981,152,162,172,160,Calanus
1982,153,168,183,181,Calanus
1983,156,162,167,170,Calanus
1984,147,154,161,160,Calanus
1985,166,174,182,180,Calanus
1986,153,156,160,159,Calanus
1987,160,170,180,181,Calanus
1988,154,163,172,171,Calanus
1989,154,162,170,171,Calanus
1990,155.0544,162.9621,171.146,169,Calanus
1991,164,167,171,170,Calanus
1992,138,152,166,152,Calanus
1993,154,159,163,160,Calanus
1994,158,162,165,170,Calanus
1995,144,153,163,151,Calanus
1996,137,157,178,153,Calanus
1997,171,173,174,180,Calanus
1998,173,176,179,180,Calanus
1999,143,151,159,151,Calanus
2000,147,156,166,161,Calanus
2001,149,160,171,171,Calanus
2002,159,163,166,170,Calanus
2003,158,161,165,169,Calanus
2004,149,160,170,172,Calanus
2005,152,157,161,161,Calanus
2006,150,155,159,160,Calanus
2007,138,147,157,149,Calanus
2008,152,162,172,162,Calanus
2009,155,163,172,170,Calanus
2010,66,121,176,160,Calanus
2011,142,150,157,150,Calanus
2012,145,152,159,161,Calanus
2013,148,155,161,160,Calanus
2014,155,160,164,160,Calanus
2015,90,124,158,160,Calanus
2016,141,145,148,151,Calanus
2017,149,162,175,179,Calanus
2018,135,143,151,150,Calanus
