Year,Days_perc_15,Days_perc_50,Days_perc_85,Peak_Days_from_year_start,Species
1961,182,257,332,316,Oithona
1962,185,225,266,254,Oithona
1963,198,208,218,211,Oithona
1964,250,266,281,273,Oithona
1965,211.855,243.814,276.5532,118,Oithona
1966,118,208,298,150,Oithona
1967,164,210,256,211,Oithona
1968,192,247,301,201,Oithona
1969,97,195,293,160,Oithona
1970,139,232,325,190,Oithona
1971,83,150,218,139,Oithona
1972,202,249,296,254,Oithona
1973,221,283,344,282,Oithona
1974,171,227,283,263,Oithona
1975,222,280,338,273,Oithona
1976,146,209,272,222,Oithona
1977,186,248,309,252,Oithona
1978,183,248,313,281,Oithona
1979,191,256,320,220,Oithona
1980,155,232,309,284,Oithona
1981,188,235,283,252,Oithona
1982,160,221,282,221,Oithona
1983,149,191,232,191,Oithona
1984,173,248,324,253,Oithona
1985,194,248,301,251,Oithona
1986,135,205,274,180,Oithona
1987,169.0172,227.5386,284.8341,292,Oithona
1988,51,192,332,74,Oithona
1989,170,196,222,200,Oithona
1990,178,236,294,221,Oithona
1991,72,186,299,149,Oithona
1992,197,269,340,295,Oithona
1993,184,230,275,190,Oithona
1994,208,255,303,263,Oithona
1995,175,230,284,210,Oithona
1996,185,240,295,222,Oithona
1997,190,258,325,318,Oithona
1998,184,226,267,200,Oithona
1999,190.5688,243.3272,295.0726,318,Oithona
2000,144,248,352,192,Oithona
2001,175,211,247,220,Oithona
2002,172,257,341,252,Oithona
2003,158,203,248,190,Oithona
2004,154,215,276,201,Oithona
2005,217,268,318,262,Oithona
2006,172,245,318,317,Oithona
2007,158,192,227,180,Oithona
2008,208,265,321,264,Oithona
2009,180,193,206,200,Oithona
2010,184,257,330,251,Oithona
2011,159,249,340,343,Oithona
2012,189.3877,245.8916,301.9589,253,Oithona
2013,183,221,258,252,Oithona
2014,186.1281,253.2192,319.6408,271,Oithona
2015,99,216,334,210,Oithona
2016,134,201,268,181,Oithona
2017,195.1441,255.0109,313.6545,324,Oithona
2018,123,199,274,131,Oithona
