Year,Acartia_N,Calanus_N,Centropages_N,Microsetella_N,Oithona_N,Pseudocalanus_N,Temora_N
1961,99,225,173,NA,5519,1728,841
1962,20,21,68,NA,3875,1016,784
1963,392,10,112,NA,6633,959,834
1964,243,81,134,NA,8349,2178,807
1965,309,244,129,78,3286,2899,674
1966,293,25,168,117,3595,2405,176
1967,361,22,122,23,3654,3247,271
1968,606,75,41,60,4995,2022,557
1969,75,22,165,11,2554,2582,99
1970,126,67,167,70,2962,808,273
1971,612,37,221,37,3059,2339,597
1972,57,3,172,13,3125,818,241
1973,544,80,212,95,4926,2628,580
1974,229,23,91,82,3469,1252,2266
1975,430,90,69,67,2649,1604,476
1976,407,42,14,84,4782,3535,300
1977,260,170,134,40,6962,1505,789
1978,498,122,422,35,5499,1851,1015
1979,142,204,172,40,4595,2944,236
1980,519,29,163,138,3434,762,1256
1981,205,271,47,108,9079,2444,377
1982,136,369,16,161,3468,2844,181
1983,327,45,63,121,2880,2141,167
1984,137,76,267,85,3745,2188,1792
1985,62,181,230,101,7319,3081,1194
1986,185,280,523,125,4646,2218,794
1987,202,178,254,107,4314,3934,847
1988,62,131,241,22,1309,2514,398
1989,144,538,290,83,5715,3204,1059
1990,165,282,52,123,4421,3593,741
1991,71,196,194,23,1395,3062,456
1992,273,201,441,57,2752,2748,537
1993,204,223,278,113,2270,2402,831
1994,67,414,247,36,3024,3242,736
1995,249,262,132,272,5003,2384,338
1996,139,253,47,74,4026,2373,236
1997,157,86,342,124,4497,4100,1163
1998,231,103,175,144,4677,4613,1178
1999,314,28,332,373,4775,2739,331
2000,70,179,254,289,4306,1497,704
2001,171,121,202,363,2836,1580,229
2002,416,225,124,62,4625,2842,481
2003,53,200,190,133,2124,1316,564
2004,4,78,48,46,2272,1344,495
2005,6,156,179,56,1679,1774,500
2006,85,258,103,131,1118,968,72
2007,56,183,40,370,3673,2007,512
2008,10,449,124,334,3775,3832,1183
2009,40,180,248,200,2570,1253,173
2010,34,24,92,243,2136,991,306
2011,56,67,149,482,1793,517,702
2012,75,163,149,249,3887,2897,1430
2013,224,222,546,905,4865,1893,1271
2014,125,62,320,993,2716,801,1275
2015,93,26,171,423,1439,1010,209
2016,354,106,88,152,2661,2003,1034
2017,574,658,68,55,1806,2056,557
2018,95,163,79,45,1568,1810,269
