Year,Calanus_C1_appear,Calanus_C3_disappear,Centropages cop. appear,Centropages cop. peak,Centropages peak,Temora cop. appear,Temora cop. peak,Temora peak,Calanus_N_C1-C3,Centropages_N_0-25,Temora_N_0-25
1961,170,200,210,220,220,170,230,230,357,38,264
1962,160,180,215,220,190,220,240,250,11,7,290
1963,165,195,220,220,220,190,250,250,11,24,285
1964,170,210,200,210,200,210,240,220,96,22,100
1965,160,190,210,240,210,200,240,240,141,58,335
1966,200,210,240,250,250,210,260,230,11,52,50
1967,150,200,180,220,220,210,250,250,38,57,88
1968,150,190,200,200,180,210,250,250,32,11,220
1969,180,210,200,240,240,210,240,240,18,88,43
1970,170,200,220,240,240,220,240,240,25,58,107
1971,180,210,210,240,240,190,240,250,38,68,136
1972,165,195,205,220,220,200,230,230,0,55,77
1973,150,180,200,240,240,210,240,240,19,75,177
1974,160,180,220,240,240,200,230,230,35,28,689
1975,150,190,210,220,210,210,270,220,103,25,140
1976,150,180,210,220,220,210,250,250,39,7,82
1977,150,190,210,220,230,190,230,240,279,22,114
1978,160,180,190,240,240,200,240,240,188,165,392
1979,170,200,230,240,240,230,260,260,167,41,84
1980,160,180,210,220,220,180,220,220,12,47,550
1981,150,200,240,240,240,170,250,240,348,18,137
1982,150,200,235,245,220,190,250,250,43,3,69
1983,150,170,230,250,250,190,240,240,14,24,54
1984,150,190,200,250,240,170,250,240,57,125,996
1985,170,200,200,220,230,180,230,230,237,95,495
1986,160,190,170,210,210,200,250,250,74,174,276
1987,160,210,210,230,230,180,250,250,129,95,243
1988,150,200,160,200,200,190,230,240,120,113,172
1989,150,190,190,230,230,160,230,230,85,184,468
1990,160,200,210,230,210,170,270,240,203,28,299
1991,170,200,200,230,230,180,230,230,118,61,142
1992,160,200,160,240,240,170,240,240,319,236,276
1993,150,190,180,230,230,190,240,250,146,165,337
1994,150,200,200,230,230,180,240,230,304,150,295
1995,140,170,240,240,240,170,250,250,186,45,49
1996,140,190,210,250,250,200,250,230,80,26,101
1997,170,190,200,230,230,190,230,250,125,233,402
1998,170,200,180,230,240,180,240,240,203,96,477
1999,160,195,200,240,220,210,240,260,1,75,103
2000,150,190,190,210,210,190,210,260,129,186,420
2001,140,190,180,220,220,180,230,230,98,104,79
2002,160,190,190,230,240,170,250,250,96,67,196
2003,150,180,190,220,220,200,220,220,312,149,237
2004,150,190,200,220,200,200,220,220,31,30,126
2005,150,200,200,230,230,200,230,230,190,120,190
2006,130,190,160,190,190,170,170,200,351,66,35
2007,130,180,160,180,210,180,240,240,116,26,183
2008,140,200,170,170,170,160,210,210,232,76,497
2009,150,190,170,190,190,180,210,210,174,124,71
2010,140,180,200,250,250,210,250,240,3,36,108
2011,130,180,170,220,220,170,220,220,95,100,414
2012,140,190,155,160,220,170,250,220,122,94,742
2013,150,180,140,190,210,160,210,210,269,364,489
2014,160,190,150,200,230,160,230,230,55,133,412
2015,150,180,190,210,210,170,260,260,31,104,118
2016,130,190,190,200,240,200,230,230,156,38,286
2017,150,210,170,222.8,230,180,270,260,489,62,308
2018,140,180,210,222.8,220,170,220,220,121,52,114
