Year,t_peak,t_3,t_4,Su_start,t_6,t_7,t_8,Su_duration,Su_end,t_May,t_June,t_Spring,t_July,t_Aug,t_Sep,t_Summer,S_Apr,S_May,S_Jun_Aug,S_Sep,Ice_clear_G,Ice_clear_K,Ice_clear_M,Ice_thick_G,Ice_thick_K,Ice_thick_M,Su_start_1,Su_duration_1,Su_end_1,t Spring,t_Summer_1,NAO,NAO_1,AOI_DJFM,AOI_1
1961,220,160,170,170,170,170,170,130,300,2.4,8.8,5.6,9.7,12.7,7.4,9.9,28.2,28,26.8,27.2,140,138,139,NA,79.2,79.2,NA,NA,NA,NA,NA,1.075,-1.025,-0.22,-1.59
1962,190,150,180,180,180,180,180,100,280,2.1,5.6,3.9,11,9.6,8.3,9.6,28.1,27.6,26.9,26.9,130,125,128,52.8,66.9,59.8,170,130,300,5.6,9.9,-1.425,1.075,-0.81,-0.22
1963,250,160,180,190,190,190,230,110,300,1.8,5.2,3.5,7.6,8.7,9.4,8.5,28.3,27.9,27.4,27,139,137,138,70.9,67.4,69.1,180,100,280,3.9,9.6,-1.65,-1.425,-1.25,-0.81
1964,220,190,200,200,200,200,200,80,280,-0.2,2.1,1,8.1,11.5,6.5,8.7,28.2,27.8,27.2,27.4,154,147,151,61.6,72.6,67.1,190,110,300,3.5,8.5,-1.7,-1.65,-0.48,-1.25
1965,220,170,200,200,200,200,200,90,290,0.8,3.2,2,6.9,10.2,8.1,8.4,28.4,28.1,27.7,26.9,151,136,144,51.7,69,60.4,200,80,280,1,8.7,-1.275,-1.7,-1.07,-0.48
1966,220,170,200,220,NA,NA,NA,NA,270,-0.4,2.9,1.2,3.8,6.1,4.7,4.9,27.9,28,26.4,26.5,191,190,191,96.2,91.6,93.9,200,90,290,2,8.4,-1.225,-1.275,-1.35,-1.07
1967,220,160,160,160,210,210,210,120,280,1.4,6,3.7,7.1,13.1,10.3,10.2,27.9,27.8,27.2,27.1,130,141,136,50.3,59.8,55.1,220,NA,270,1.2,4.9,1,-1.225,0.29,-1.35
1968,200,160,180,180,180,180,190,110,290,0.8,4.5,2.6,9.8,8.3,6.1,8,28.4,28.2,27.7,27.6,141,145,143,54.1,76.6,65.4,160,120,280,3.7,10.2,-0.1,1,-0.29,0.29
1969,200,170,180,190,230,230,NA,100,290,-0.3,3.5,1.6,6.4,6.7,6.5,6.5,28.5,28.2,27.5,27.3,165,156,161,74.3,72,73.2,180,110,290,2.6,8,-2.625,-0.1,-2.11,-0.29
1970,220,170,190,190,190,190,200,100,290,0.2,4,2.1,9.3,11.5,8.9,9.9,28.5,27.9,27.2,26.6,159,142,151,43.1,64.6,53.9,190,100,290,1.6,6.5,-0.45,-2.625,-1.92,-2.11
1971,220,180,180,180,210,210,220,80,260,-0.7,2.5,0.9,6.7,9.1,5.1,7,28.5,NA,27.8,29.2,167,156,162,70.8,77.3,74.1,190,100,290,2.1,9.9,-0.375,-0.45,-0.64,-1.92
1972,NA,NA,NA,NA,NA,NA,NA,NA,280,NA,NA,NA,8.7,10.5,7.9,9,NA,NA,NA,NA,140,144,142,58,69.3,63.6,180,80,260,0.9,7,0.725,-0.375,0.16,-0.64
1973,210,150,170,180,180,180,180,90,270,1.6,6,3.8,11,9.3,5.8,8.7,NA,28.5,28,27.9,120,144,132,88,63,75.5,NA,NA,280,NA,9,1.35,0.725,0.95,0.16
1974,210,170,170,170,170,180,180,90,260,1.7,6.5,4.1,12.7,11.2,5,9.7,28.3,27.8,27.2,28.1,136,129,133,61.8,65.7,63.8,180,90,270,3.8,8.7,0.9,1.35,-0.3,0.95
1975,220,150,150,160,180,180,190,130,290,2.8,6,4.4,8.3,9,6.6,8,28.7,28.2,27.6,27.7,120,137,129,54.1,55.8,55,170,90,260,4.1,9.7,0.55,0.9,0.62,-0.3
1976,220,160,160,170,170,180,210,110,280,1.5,6.5,4,7.2,10.2,5.3,7.5,29,28.6,27.1,27.1,140,141,141,58.1,72.8,65.5,160,130,290,4.4,8,0.9,0.55,0.89,0.62
1977,220,160,160,160,190,200,200,120,280,2.6,5.2,3.9,9.8,13.5,7.7,10.3,28.6,25.5,27.3,26.8,121,127,124,33.5,73.4,53.5,170,110,280,4,7.5,-1.45,0.9,-1.88,0.89
1978,200,170,170,170,180,190,190,120,290,1.3,4.5,2.9,10.8,9.7,8.7,9.7,28.5,27.8,27.4,26.5,148,141,145,59.5,71.2,65.3,160,120,280,3.9,10.3,-0.05,-1.45,-0.77,-1.88
1979,200,170,170,190,190,190,190,90,280,0.3,3.9,2.1,9.9,10.4,6.3,8.9,26.7,26.1,26.7,27.2,148,151,150,63.3,75,69.1,170,120,290,2.9,9.7,-1.375,-0.05,-1.18,-0.77
1980,220,160,160,160,160,180,180,140,300,1.7,7.8,4.7,12.3,12.9,8.3,11.1,27.5,26.8,26.6,27.2,147,138,143,56,65.7,60.9,190,90,280,2.1,8.9,0.025,-1.375,-0.78,-1.18
1981,220,170,170,180,180,190,190,120,300,-0.6,4.8,2.1,9.3,9,7.7,8.7,NA,27.1,26.2,26.2,133,145,139,65.6,65.7,65.7,160,140,300,4.7,11.1,0.65,0.025,-0.54,-0.78
1982,240,180,180,190,230,230,230,90,280,1.3,3.7,2.5,7.1,8.2,6.4,7.2,26.3,26,26.4,27,142,132,137,74.2,78.5,76.3,180,120,300,2.1,8.7,0.325,0.65,-0.01,-0.54
1983,230,160,190,190,210,220,NA,110,300,2.3,5.1,3.7,5.9,7.3,6.2,6.4,27.7,26.7,26.3,26.6,129,132,131,39.2,54,46.6,190,90,280,2.5,7.2,1.525,0.325,-0.01,-0.01
1984,220,150,150,150,180,180,180,150,300,2.3,6.9,4.6,10.2,10.2,7.3,9.2,27.1,26.5,26.5,25.7,128,133,131,48,65.7,56.9,190,110,300,3.7,6.4,0.85,1.525,-0.4,-0.01
1985,210,170,170,170,180,180,180,110,280,-0.1,5.2,2.6,9.4,10.6,9,9.7,27.3,26.6,26.2,26.4,152,153,153,66.4,65.7,66.1,150,150,300,4.6,9.2,-0.525,0.85,-0.81,-0.4
1986,210,150,170,170,190,200,200,120,290,1.9,5.2,3.6,9.3,8.5,8.3,8.7,27.6,27.7,27,26.4,127,143,135,56.4,57.8,57.1,170,110,280,2.6,9.7,0.6,-0.525,-0.87,-0.81
1987,220,160,180,180,190,210,220,120,300,0.5,4.3,2.4,7,10.4,8.6,8.7,26.9,27.3,26.3,26.1,125,153,139,63.9,97.9,80.9,170,120,290,3.6,8.7,-0.6,0.6,-1.08,-0.87
1988,220,150,180,180,180,190,190,100,280,2.1,4.5,3.3,11.7,12.9,8.7,11.1,NA,27.2,26.9,27.2,140,143,142,58.9,81.3,70.1,180,120,300,2.4,8.7,8.33E-17,-0.6,-0.38,-1.08
1989,220,180,190,190,190,190,200,110,300,0.9,4,2.4,8.4,11.9,8.6,9.6,26,27.5,27.1,27.3,116,119,118,54.1,82.7,68.4,180,100,280,3.3,11.1,2.325,8.33E-17,2.4,-0.38
