Year,Calanus_C1_appear,Calanus_C3_disappear,Centropages_cop._appear,Centropages_cop._peak,Centropages_peak,Oithona_peak,Temora_cop._appear,Temora_cop._peak,Temora_peak
1961,170,200,210,220,220,210,170,230,230
1962,160,180,,,190,190,220,,250
1963,,,220,220,220,210,190,250,250
1964,170,210,200,210,200,200,210,240,220
1965,160,190,210,240,210,270,200,240,240
1966,200,210,240,250,250,230,210,260,230
1967,150,200,180,220,220,,210,250,250
1968,150,190,200,200,180,250,210,250,250
1969,180,210,200,240,240,170,210,240,240
1970,170,200,220,240,240,210,220,240,240
1971,180,210,210,240,240,220,190,240,250
1972,,,,220,220,210,,230,230
1973,150,180,200,240,240,260,210,240,240
1974,160,180,220,240,240,200,200,230,230
1975,150,190,210,220,210,220,210,270,220
1976,150,180,,,220,220,210,250,250
1977,150,190,210,220,230,200,190,230,240
1978,160,180,190,240,240,220,200,240,240
1979,170,200,230,240,240,220,230,260,260
1980,160,180,210,220,220,220,180,220,220
1981,150,200,240,240,240,220,170,250,240
1982,150,200,,,220,220,190,250,250
1983,150,170,230,250,250,150,190,240,240
1984,150,190,200,250,240,250,170,250,240
1985,170,200,200,220,230,260,180,230,230
1986,160,190,170,210,210,180,200,250,250
1987,160,210,210,230,230,210,180,250,250
1988,150,200,160,200,200,210,190,230,240
1989,150,190,190,230,230,200,160,230,230
1990,160,200,210,230,210,220,170,270,240
1991,170,200,200,230,230,150,180,230,230
1992,,200,160,240,240,150,170,240,240
1993,150,190,180,230,230,200,190,240,250
1994,150,200,200,230,230,170,180,240,230
1995,140,170,240,240,240,160,170,250,250
1996,140,190,210,250,250,220,200,250,230
1997,170,190,200,230,230,180,190,230,250
1998,170,200,180,230,240,220,180,240,240
1999,,,200,240,220,190,210,240,260
2000,150,190,190,210,210,200,190,210,260
2001,140,190,180,220,220,220,180,230,230
2002,160,190,190,230,240,250,170,250,250
2003,150,180,190,220,220,190,200,220,220
2004,150,190,200,220,200,200,200,220,220
2005,150,200,200,230,230,250,200,230,230
2006,130,190,160,190,190,230,170,170,200
2007,130,180,160,,210,170,180,240,240
2008,140,200,170,170,170,210,160,210,210
2009,150,190,170,190,190,200,180,210,210
2010,,180,200,250,250,250,210,250,240
2011,130,180,170,220,220,210,170,220,220
2012,140,190,,160,220,250,170,250,220
2013,150,180,140,190,210,210,160,210,210
2014,160,190,150,200,230,210,160,230,230
2015,150,180,190,210,210,180,170,260,260
2016,130,190,190,200,240,150,200,230,230
2017,150,210,170,,230,240,180,270,260
2018,140,180,210,,220,210,170,220,220
