ID;Indx;Ins;Anur;Bird;Mam;Wind;Rain;Noise;Ins%;Anur%;Bird%;Mam%;Wind%;Rain%;Noise%;Day_Night;time_1hour;time24;month1;ACI_Mean;BI_Mean_6.5;BI_Mean_12;ADI_Mean;AEI_Mean
20130410_190000;ACI min;30;2;0;0;5;0;0;100;7;0;0;17;0;0;2;time_1900;19;4;132,1208698;42,04757114;24,75358537;1,330147;0,756461
20130426_173000;ACI min;30;0;24;0;0;0;13;100;0;83;0;0;0;43;1;time_1700;17;4;132,2805598;34,42328547;13,88342772;1,9584945;0,5232705
20130428_183000;ACI min;30;0;0;0;0;0;0;100;0;0;0;0;0;0;2;time_1800;18;4;132,3962549;50,17838064;24,11535248;1,941269;0,5544405
20130503_150000;ACI min;30;0;8;1;0;0;0;100;0;27;3;0;0;0;1;time_1500;15;5;133,4653291;30,33502212;16,10109288;2,2642095;0,342034
20130515_173000;ACI min;30;0;7;0;14;30;24;100;0;23;0;47;100;83;1;time_1700;17;5;132,2040845;28,28842097;16,02298185;1,6379535;0,670867
20130520_200000;ACI min;30;3;0;0;0;0;11;100;10;0;0;0;0;37;2;time_2000;20;5;133,8674136;38,47353604;16,65132563;2,1211875;0,439517
20130520_213000;ACI min;30;0;0;0;0;0;0;100;0;0;0;0;0;0;2;time_2100;21;5;133,129633;36,99931504;13,34378218;2,001807;0,5173875
20130524_173000;ACI min;30;0;11;0;0;0;3;100;0;37;0;0;0;10;1;time_1700;17;5;130,0394526;34,09596006;11,49451303;1,8816105;0,5707345
20130609_180000;ACI min;30;0;7;0;8;0;0;100;0;23;0;27;0;0;1;time_1800;18;6;131,9734908;24,54925545;14,85154945;1,1193105;0,7921225
20131017_203000;ACI min;30;2;0;0;16;0;0;100;7;0;0;53;0;0;2;time_2000;20;10;133,4515165;19,66029079;9,020692736;0,939154;0,8318955
20130222_203000;ACI MAX;9;0;0;0;28;0;0;30;0;0;0;93;0;0;2;time_2000;20;2;215,0976904;13,54333486;5,242182192;1,308472;0,745572
20130222_223000;ACI MAX;19;0;0;0;29;0;5;63;0;0;0;97;0;17;2;time_2200;22;2;218,9734056;15,06058758;4,623553271;1,298548;0,749844
20130321_190000;ACI MAX;29;0;0;0;27;0;23;97;0;0;0;90;0;77;2;time_1900;19;3;215,6533559;10,97666583;7,54822492;1,304805;0,727838
20130323_173000;ACI MAX;2;0;5;0;26;0;21;7;0;17;0;87;0;70;1;time_1700;17;3;234,2205262;11,88218712;4,29968043;1,3371895;0,7316495
20130711_220000;ACI MAX;0;0;0;0;30;30;30;0;0;0;0;100;100;100;2;time_2200;22;7;217,0717948;11,90016954;7,132377254;1,3717385;0,7251225
20130918_163000;ACI MAX;0;0;0;0;28;0;6;0;0;0;0;93;0;20;1;time_1600;16;9;226,8200509;14,3132834;4,281146549;1,4379685;0,7174345
20130922_103000;ACI MAX;13;0;7;0;30;10;5;43;0;23;0;100;33;17;1;time_1000;10;9;231,1728242;13,60943566;3,272209782;1,6595845;0,657146
20130922_130000;ACI MAX;0;0;0;0;30;0;4;0;0;0;0;100;0;13;1;time_1300;13;9;223,5668292;14,18278255;4,263114711;1,475141;0,710615
20140118_160000;ACI MAX;0;0;1;0;30;0;5;0;0;3;0;100;0;17;1;time_1600;16;1;224,8474763;14,47368857;4,180827607;1,406499;0,7238535
20140121_203000;ACI MAX;30;0;0;0;26;0;0;100;0;0;0;87;0;0;2;time_2000;20;1;218,1838784;14,15446414;3,849225395;1,5233405;0,6800235
20131213_143000;BI_6.5_min;0;0;3;1;0;0;0;0;0;10;3;0;0;0;1;time_1400;14;12;138,7408151;2,688056505;3,50867368;0,4779045;0,8733095
20131220_143000;BI_6.5_min;18;0;10;0;2;0;1;60;0;33;0;7;0;3;1;time_1400;14;12;138,9881375;2,888076872;1,844705539;0,1350905;0,9098405
20131221_093900;BI_6.5_min;0;0;7;0;1;0;1;0;0;23;0;3;0;3;1;time_0900;9;12;139,4043099;2,97697849;1,698183294;0,013124;0,9161295
20131221_113000;BI_6.5_min;13;0;10;0;1;0;3;43;0;33;0;3;0;10;1;time_1100;11;12;139,0957657;3,210136357;1,931615866;0,1863465;0,9039335
20131227_143000;BI_6.5_min;0;0;7;0;8;0;0;0;0;23;0;27;0;0;1;time_1400;14;12;138,9902222;2,460502701;1,951103716;0,061729;0,913571
20140116_023000;BI_6.5_min;0;0;0;0;6;0;0;0;0;0;0;20;0;0;2;time_0200;2;1;137,9759456;1,618088723;1,543911917;0,000305;0,916662
20140119_040000;BI_6.5_min;0;0;1;0;0;0;0;0;0;3;0;0;0;0;2;time_0400;4;1;137,7223946;1,49300245;1,714398426;0,0061445;0,916389
20140121_043000;BI_6.5_min;0;0;0;0;29;0;0;0;0;0;0;97;0;0;2;time_0400;4;1;138,6570928;1,575109809;1,705879471;0;0,916667
20140123_020000;BI_6.5_min;0;0;0;0;6;0;0;0;0;0;0;20;0;0;2;time_0200;2;1;137,7701136;1,495104341;1,630581611;0;0,916667
20140123_050000;BI_6.5_min;0;0;0;0;3;0;0;0;0;0;0;10;0;0;2;time_0500;5;1;137,6646231;1,40872364;1,591252722;0,0037845;0,916521
20130209_080400;BI_6.5_max;30;0;30;0;0;0;1;100;0;100;0;0;0;3;1;time_0800;8;2;144,951221;44,15656905;32,16927739;1,70182;0,638773
20130221_110000;BI_6.5_max;30;0;7;0;0;0;1;100;0;23;0;0;0;3;1;time_1100;11;2;140,0838675;40,40352243;18,98632838;1,7348465;0,641787
20130223_113000;BI_6.5_max;30;0;0;0;0;0;1;100;0;0;0;0;0;3;1;time_1100;11;2;138,3387004;42,11405001;17,08190949;2,43145;0,1693655
20130806_140000;BI_6.5_max;30;0;0;0;21;0;0;100;0;0;0;70;0;0;1;time_1400;14;8;137,7974553;42,42470483;18,85056543;1,722491;0,64399
20131016_180000;BI_6.5_max;30;0;0;0;0;0;10;100;0;0;0;0;0;33;2;time_1800;18;10;138,1812398;50,70583862;26,72573255;1,379396;0,745565
20131022_033000;BI_6.5_max;30;30;0;0;0;0;5;100;100;0;0;0;0;17;2;time_0300;3;10;136,1951199;47,67758587;11,89694785;1,8412805;0,5614115
20131022_230000;BI_6.5_max;30;30;0;0;0;0;1;100;100;0;0;0;0;3;2;time_2300;23;10;137,5096028;51,50558864;20,88958232;1,8821735;0,568891
20131022_233000;BI_6.5_max;30;30;0;0;0;0;2;100;100;0;0;0;0;7;2;time_2300;23;10;136,6949294;48,01848264;17,33702689;1,844183;0,576196
20131025_073000;BI_6.5_max;0;0;30;0;0;0;0;0;0;100;0;0;0;0;1;time_0700;7;10;165,3491232;42,69374469;22,90219406;1,9489475;0,5399285
20130516_183000;BI_6.5_max;30;3;0;0;0;0;4;100;10;0;0;0;0;13;2;time_1800;18;5;135,667525;47,53576912;26,24342337;1,9885565;0,516441
20131229_053100;BI_12 min;0;0;8;0;6;0;0;0;0;27;0;20;0;0;2;time_0500;5;12;138,0408997;3,503460626;1,346167873;0,0458975;0,9149565
20131231_050000;BI_12 min;0;0;0;0;16;0;0;0;0;0;0;53;0;0;2;time_0500;5;12;138,624376;2,701032126;1,276776052;0;0,916667
20140115_053100;BI_12 min;0;0;0;0;6;0;0;0;0;0;0;20;0;0;2;time_0500;5;1;137,8509404;2,089910986;1,345884851;0,0019545;0,9166295
20140116_050000;BI_12 min;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;time_0500;5;1;137,737383;1,979288445;1,297997514;0;0,916667
20140116_053100;BI_12 min;0;0;0;0;19;0;0;0;0;0;0;63;0;0;2;time_0500;5;1;138,4582864;2,317771553;1,213249709;0;0,916667
20140117_050000;BI_12 min;0;0;0;0;10;0;0;0;0;0;0;33;0;0;2;time_0500;5;1;138,0149982;2,647328543;1,316521331;0;0,916667
20140124_050000;BI_12 min;0;0;0;0;13;0;0;0;0;0;0;43;0;0;2;time_0500;5;1;138,0295029;1,876508529;1,250982963;0,0019005;0,916612
20140124_053100;BI_12 min;0;0;1;0;15;0;0;0;0;3;0;50;0;0;2;time_0500;5;1;138,0101118;2,27060997;1,256078058;0,0421785;0,914598
20140127_050000;BI_12 min;0;0;0;3;2;0;0;0;0;0;10;7;0;0;2;time_0500;5;1;137,9078073;2,720806199;1,293884316;0,003077;0,9165915
20140127_053100;BI_12 min;0;0;0;0;3;0;0;0;0;0;0;10;0;0;2;time_0500;5;1;138,0390924;3,005187798;1,273727524;0,0164875;0,9161905
20130209_103000;BI_12 max;30;0;27;0;3;0;2;100;0;90;0;10;0;7;1;time_1000;10;2;142,5044744;34,78476713;35,60802442;1,308142;0,7524945
20130221_103000;BI_12 max;30;0;13;1;6;0;1;100;0;43;3;20;0;3;1;time_1000;10;2;140,5361945;22,95775954;34,38355775;1,0707845;0,8056095
20130512_101000;BI_12 max;30;0;10;12;0;0;0;100;0;33;40;0;0;0;1;time_1000;10;5;138,9183011;12,55989787;34,59584178;1,03986;0,8144075
20130930_133000;BI_12 max;30;0;0;3;18;0;0;100;0;0;10;60;0;0;1;time_1300;13;9;142,6602002;12,26010949;34,27650197;1,0746645;0,8085695
20130930_150000;BI_12 max;30;0;0;3;12;0;0;100;0;0;10;40;0;0;1;time_1500;15;9;139,8145005;13,63707084;36,61442474;0,984248;0,822391
20130930_160000;BI_12 max;30;0;5;0;1;0;0;100;0;17;0;3;0;0;1;time_1600;16;9;139,1802606;5,680315035;36,8133832;1,130167;0,7986585
20130930_163000;BI_12 max;30;0;8;0;3;0;0;100;0;27;0;10;0;0;1;time_1600;16;9;141,3396152;8,651201606;37,3796576;0,9935135;0,8260405
20131001_083000;BI_12 max;30;0;14;18;0;0;0;100;0;47;60;0;0;0;1;time_0800;8;10;139,6445319;11,75402681;36,10537778;1,660778;0,656108
20131001_143000;BI_12 max;30;0;0;2;13;0;0;100;0;0;7;43;0;0;1;time_1400;14;10;139,8300208;12,30158971;35,55620034;0,941277;0,8288745
20131001_150000;BI_12 max;30;0;6;0;0;0;0;100;0;20;0;0;0;0;1;time_1500;15;10;138,7440542;11,95620422;36,01352832;1,3174225;0,759406
20130129_133000;ADI min;21;0;8;0;8;0;0;70;0;27;0;27;0;0;1;time_1300;13;1;139,7525898;6,737975272;5,794514968;0,0013245;0,91664
20130221_023000;ADI min;30;0;0;0;17;0;1;100;0;0;0;57;0;3;2;time_0200;2;2;140,8605689;6,315706633;3,549075879;0;0,916667
20130223_043000;ADI min;21;0;0;0;22;0;0;70;0;0;0;73;0;0;2;time_0400;4;2;141,9882219;5,50679989;4,092573302;0;0,916667
20130223_050000;ADI min;30;0;0;0;15;0;1;100;0;0;0;50;0;3;2;time_0500;5;2;141,8979434;5,424345661;4,824541301;0;0,916667
20130305_023000;ADI min;7;0;0;0;3;0;0;23;0;0;0;10;0;0;2;time_0200;2;3;139,0472671;3,440244326;2,328097318;0;0,916667
20130305_040000;ADI min;0;0;0;0;8;0;0;0;0;0;0;27;0;0;2;time_0400;4;3;139,0049369;2,538911038;1,84181729;0;0,916667
20131229_110000;ADI min;0;0;11;0;19;0;0;0;0;37;0;63;0;0;1;time_1100;11;12;141,7960889;4,745246541;1,728628704;0,000466;0,9166565
20140111_143000;ADI min;0;0;11;0;19;0;1;0;0;37;0;63;0;3;1;time_1400;14;1;140,4721064;6,368507253;1,656788692;0,001654;0,9166365
20140116_093900;ADI min;0;0;8;0;11;0;3;0;0;27;0;37;0;10;1;time_0900;9;1;141,1467118;4,419432321;2,282114476;0,002042;0,9166175
20140120_113000;ADI min;0;0;3;0;13;0;0;0;0;10;0;43;0;0;1;time_1100;11;1;140,8070369;5,024149217;1,780322141;0;0,916667
20130122_043000;ADI max;30;0;0;0;0;0;0;100;0;0;0;0;0;0;2;time_0400;4;1;138,5704918;7,376997885;4,768602628;2,4847705;0,008861
20130125_233000;ADI max;30;0;0;0;0;0;0;100;0;0;0;0;0;0;2;time_2300;23;1;138,7338238;7,209143408;4,177021067;2,484645;0,0125685
20130201_233000;ADI max;30;0;0;0;0;0;0;100;0;0;0;0;0;0;2;time_2300;23;2;138,2754054;7,400848292;4,425297043;2,484751;0,0099515
20130301_010000;ADI max;30;0;0;0;0;0;0;100;0;0;0;0;0;0;2;time_0100;1;3;138,1261499;4,045199103;2,864734525;2,4847825;0,008595
20130406_123000;ADI max;30;0;6;0;0;0;0;100;0;20;0;0;0;0;1;time_1200;12;4;139,174542;31,33170421;8,885377983;2,4843265;0,015024
20130410_090800;ADI max;30;0;17;0;0;0;0;100;0;57;0;0;0;0;1;time_0900;9;4;141,5837667;25,49649345;8,955211669;2,4836275;0,027228
20130419_173000;ADI max;30;0;30;0;0;0;0;100;0;100;0;0;0;0;1;time_1700;17;4;137,1137983;23,63029434;12,79844106;2,4846605;0,0121765
20130513_163000;ADI max;30;0;17;0;0;0;0;100;0;57;0;0;0;0;1;time_1600;16;5;138,3219379;18,75614725;25,65468966;2,4831485;0,032621
20131031_213000;ADI max;30;0;0;0;0;0;0;100;0;0;0;0;0;0;2;time_2100;21;10;140,086364;18,55985766;14,36942991;2,484802;0,007765
20131230_163000;ADI max;0;0;15;0;0;0;0;0;0;50;0;0;0;0;1;time_1600;16;12;144,0420653;7,878600905;4,042477148;2,483801;0,023356
20130829_070000;AEI min;30;0;15;0;0;0;0;100;0;50;0;0;0;0;1;time_0700;7;8;139,1745124;17,06482389;18,12618635;2,4828815;0,0314865
20130224_073300;AEI min;30;0;30;0;0;0;0;100;0;100;0;0;0;0;1;time_0700;7;2;145,7871994;18,87535042;18,64946927;2,4778495;0,067378
20130526_160000;AEI min;30;0;28;0;0;0;0;100;0;93;0;0;0;0;1;time_1600;16;5;139,9926373;30,0992862;16,2860781;2,4814925;0,0389005
20130727_073500;AEI min;29;0;30;0;0;0;0;97;0;100;0;0;0;0;1;time_0700;7;7;143,5106917;18,20683618;21,09482494;2,4795075;0,055014
20131219_170000;AEI min;30;0;30;0;0;0;0;100;0;100;0;0;0;0;1;time_1700;17;12;140,7605569;7,457938362;3,462376325;2,4766995;0,0706485
20130120_200000;AEI min;30;2;0;0;0;0;0;100;7;0;0;0;0;0;2;time_2000;20;1;138,3179132;10,20548161;7,551874548;2,4839385;0,024915
20130124_013000;AEI min;30;0;0;0;0;0;0;100;0;0;0;0;0;0;2;time_0100;1;1;138,4137471;7,141969204;4,176424813;2,484534;0,013604
20130214_220000;AEI min;30;3;0;0;0;0;0;100;10;0;0;0;0;0;2;time_2200;22;2;139,6234208;10,38547908;6,22365609;2,484345;0,017984
20130323_020000;AEI min;30;2;0;0;0;0;0;100;7;0;0;0;0;0;2;time_0200;2;3;139,3602712;8,502133774;6,030770665;2,4843035;0,015692
20131010_050000;AEI min;30;0;0;0;0;0;0;100;0;0;0;0;0;0;2;time_0500;5;10;140,0346208;25,03648761;7,013893203;2,483304;0,031887
20130309_150000;AEI max;30;0;0;0;20;0;0;100;0;0;0;67;0;0;1;time_1500;15;3;139,7178361;9,477764819;15,34523263;0,0024615;0,916621
20130128_153000;AEI max;0;0;29;0;12;0;0;0;0;97;0;40;0;0;1;time_1500;15;1;141,6514788;4,416398462;1,117930404;0,0052255;0,9165545
20130305_180000;AEI max;12;10;22;15;17;0;1;40;33;73;50;57;0;3;1;time_1800;18;3;141,1360304;4,921711182;4,047961269;0,006503;0,9164935
20131102_160000;AEI max;0;0;27;4;19;0;0;0;0;90;13;63;0;0;1;time_1600;16;11;141,4551509;5,179563637;3,679946402;0,006721;0,916441
20131214_130000;AEI max;30;2;29;1;7;0;1;100;7;97;3;23;0;3;1;time_1300;13;12;139,3449486;4,040072752;2,198992032;0,0065045;0,9164875
20130304_033000;AEI max;29;3;3;0;0;0;2;100;10;10;0;0;0;7;2;time_0300;3;3;138,1089761;2,997182414;2,784856969;0,000245;0,916663
