"Year","Station","Taxa","Value","Type"
2003,"St3","Halcampa_arctica",10,"N"
2004,"St3","Halcampa_arctica",10,"N"
2001,"St4","Molgula_sp.",10,"N"
2002,"St4","Molgula_sp.",10,"N"
2004,"St3","Molgula_sp.",10,"N"
2004,"St6","Molgula_sp.",10,"N"
2004,"St7","Molgula_sp.",10,"N"
2004,"St11","Molgula_sp.",10,"N"
2005,"St4","Molgula_sp.",10,"N"
2005,"St8","Molgula_sp.",20,"N"
2006,"St4","Molgula_sp.",190,"N"
2006,"St11","Molgula_sp.",10,"N"
2007,"St13","Molgula_sp.",60,"N"
1989,"St13","Asterias_rubens",10,"N"
2002,"St1","Asterias_rubens",30,"N"
2002,"St5","Asterias_rubens",20,"N"
2002,"St9","Asterias_rubens",10,"N"
2002,"St12","Asterias_rubens",20,"N"
2002,"St19","Asterias_rubens",30,"N"
2003,"St1","Asterias_rubens",10,"N"
2003,"St5","Asterias_rubens",10,"N"
2003,"St6","Asterias_rubens",10,"N"
2003,"St9","Asterias_rubens",10,"N"
2003,"St11","Asterias_rubens",10,"N"
2003,"St16","Asterias_rubens",10,"N"
2003,"St19","Asterias_rubens",10,"N"
2003,"St20","Asterias_rubens",10,"N"
2004,"St5","Asterias_rubens",20,"N"
2004,"St6","Asterias_rubens",10,"N"
2004,"St9","Asterias_rubens",10,"N"
2004,"St13","Asterias_rubens",10,"N"
2004,"St14","Asterias_rubens",10,"N"
2004,"St15","Asterias_rubens",20,"N"
2004,"St16","Asterias_rubens",40,"N"
2004,"St19","Asterias_rubens",10,"N"
2004,"St20","Asterias_rubens",40,"N"
2005,"St3","Asterias_rubens",10,"N"
2005,"St4","Asterias_rubens",10,"N"
2005,"St7","Asterias_rubens",10,"N"
2005,"St8","Asterias_rubens",60,"N"
2005,"St11","Asterias_rubens",10,"N"
2005,"St13","Asterias_rubens",20,"N"
2005,"St15","Asterias_rubens",20,"N"
2006,"St1","Asterias_rubens",95.92,"N"
2006,"St9","Asterias_rubens",18.513,"N"
2006,"St13","Asterias_rubens",123,"N"
2006,"St15","Asterias_rubens",0.34944,"N"
2006,"St19","Asterias_rubens",9.921105263,"N"
2007,"St3","Asterias_rubens",10,"N"
2007,"St4","Asterias_rubens",10,"N"
2007,"St6","Asterias_rubens",10,"N"
2007,"St8","Asterias_rubens",10,"N"
2007,"St9","Asterias_rubens",49.05008636,"N"
2007,"St11","Asterias_rubens",20,"N"
2007,"St13","Asterias_rubens",40,"N"
2007,"St15","Asterias_rubens",20,"N"
2007,"St18","Asterias_rubens",43.91989199,"N"
1987,"St2","Ciliatocardium_ciliatum",10,"N"
1987,"St4","Ciliatocardium_ciliatum",10,"N"
1989,"St3","Ciliatocardium_ciliatum",10,"N"
1989,"St4","Ciliatocardium_ciliatum",10,"N"
1992,"St7","Ciliatocardium_ciliatum",10,"N"
