gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
896991923	80ebe7f9-00ee-4fe3-80f6-303729cf5bac	https://arctos.database.museum/guid/UAM:Inv:6232	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus edulis		SPECIES	Mytilus edulis Linnaeus, 1758	Mytilus edulis		US	No specific locality recorded., Nunivak Island		PRESENT		d9699a79-4736-45c2-925c-f4033ac67d52	66.25	-167.0	3610.0						1900-01-01/2000-12-31				8288896	8288896	PRESERVED_SPECIMEN	UAM	Invertebrates	UAM:Inv:6232		unknown	2004-01-01T00:00:00	CC_BY_4_0		Collector(s): Otto William Geist			2025-10-07T23:15:51.385Z		COUNTRY_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
896990701	80ebe7f9-00ee-4fe3-80f6-303729cf5bac	https://arctos.database.museum/guid/UAM:Inv:5128	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus edulis		SPECIES	Mytilus edulis Linnaeus, 1758	Mytilus edulis		US	Point Barrow, between NARL and village, Alaska		PRESENT		d9699a79-4736-45c2-925c-f4033ac67d52	71.333333	-156.5	3610.0						1993-09-01/1993-09-30		9	1993	8288896	8288896	PRESERVED_SPECIMEN	UAM	Invertebrates	UAM:Inv:5128		Nora R. Foster	2004-01-01T00:00:00	CC_BY_4_0		Collector(s): Nora R. Foster			2025-10-07T23:15:54.830Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
896988664	80ebe7f9-00ee-4fe3-80f6-303729cf5bac	https://arctos.database.museum/guid/UAM:Inv:3294	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus edulis		SPECIES	Mytilus edulis Linnaeus, 1758	Mytilus edulis		US	Point Hope, Alaska		PRESENT		d9699a79-4736-45c2-925c-f4033ac67d52	68.338889	-166.475	3610.0						1975-08-01	1	8	1975	8288896	8288896	PRESERVED_SPECIMEN	UAM	Invertebrates	UAM:Inv:3294		Nora R. Foster	2004-01-01T00:00:00	CC_BY_4_0		Collector(s): Kenneth D. Vogt			2025-10-07T23:15:40.863Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
80045794	427a6290-0c65-11dd-84d2-b8a03c50a862	MZLU:Evertebrata:L956/3584	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus edulis		SPECIES	Mytilus edulis Linnaeus, 1758	Mytilus edulis Linnaeus, 1758	Linnaeus, 1758	NO	Tromsø	Troms	PRESENT	1	c0758a16-296b-4ec3-97fd-8a057d9060f3	69.65194	18.95333		0.1					1956-07-02	2	7	1956	8288896	8288896	PRESERVED_SPECIMEN	MZLU	Evertebrata	L956/3584				CC_BY_NC_4_0					2025-10-12T01:37:17.140Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
609391684	44bcde48-ac71-46f2-bf73-24fc3c008b6c	urn:catalog:CAS:IZ:22203	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus edulis		SPECIES	Mytilus edulis Linnaeus, 1758	Mytilus edulis	Linnaeus, 1758	US	Chukchi Sea, south	Alaska	PRESENT		66522820-055c-11d8-b84e-b8a03c50a862	66.113333	-165.870833					0.25		1976-08-16	16	8	1976	8288896	8288896	PRESERVED_SPECIMEN	CAS	IZ	22203		M. Childers	1977-01-06T00:00:00	CC0_1_0		M. Dube			2025-10-07T22:03:57.735Z		GEODETIC_DATUM_ASSUMED_WGS84
5837622544	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/317489068	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus edulis		SPECIES	Mytilus edulis Linnaeus, 1758	Mytilus edulis		NO		Nordland	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	67.275475	14.560537	4.0						2025-09-29T10:32:06	29	9	2025	8288896	8288896	HUMAN_OBSERVATION	iNaturalist	Observations	317489068		oleschlottbom	2025-09-29T08:34:07	CC_BY_NC_4_0	oleschlottbom	oleschlottbom			2025-10-08T21:44:32.794Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5835924307	46293000-ddd1-4c32-a1e7-b5e793223ecd	miljodir:vannmiljo:108295810	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus edulis		SPECIES	Mytilus edulis Linnaeus, 1758	Mytilus edulis		NO	VannlokalitetID:81512		PRESENT	1	c227aa75-e44d-42b3-89b5-3d2a6210c841	68.42258	16.73823	99.0						2018-07-27	27	7	2018	8288896	8288896	HUMAN_OBSERVATION	miljodir	vannmiljo				2018-07-27T00:00:00	CC_BY_4_0		NIVA			2025-10-11T12:20:06.033Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
5835923495	46293000-ddd1-4c32-a1e7-b5e793223ecd	miljodir:vannmiljo:365207369	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus edulis		SPECIES	Mytilus edulis Linnaeus, 1758	Mytilus edulis		NO	VannlokalitetID:124497		PRESENT	1	c227aa75-e44d-42b3-89b5-3d2a6210c841	69.14138	17.64603	99.0						2025-02-12	12	2	2025	8288896	8288896	HUMAN_OBSERVATION	miljodir	vannmiljo				2025-02-12T00:00:00	CC_BY_4_0		Åkerblå AS			2025-10-11T12:20:20.372Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
5835918560	46293000-ddd1-4c32-a1e7-b5e793223ecd	miljodir:vannmiljo:136038122	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus edulis		SPECIES	Mytilus edulis Linnaeus, 1758	Mytilus edulis		NO	VannlokalitetID:96459		PRESENT	1	c227aa75-e44d-42b3-89b5-3d2a6210c841	68.41513	16.531621	99.0						2021-09-09	9	9	2021	8288896	8288896	HUMAN_OBSERVATION	miljodir	vannmiljo				2021-09-09T00:00:00	CC_BY_4_0		Akvaplan-niva AS			2025-10-11T12:20:14.445Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
5835907218	46293000-ddd1-4c32-a1e7-b5e793223ecd	miljodir:vannmiljo:7430166	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus edulis		SPECIES	Mytilus edulis Linnaeus, 1758	Mytilus edulis		NO	VannlokalitetID:46745		PRESENT	1	c227aa75-e44d-42b3-89b5-3d2a6210c841	69.30963	18.918797	99.0						2009-10-01	1	10	2009	8288896	8288896	HUMAN_OBSERVATION	miljodir	vannmiljo				2009-10-01T00:00:00	CC_BY_4_0		Akvaplan-niva			2025-10-11T12:20:10.203Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
