gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5835728875	46293000-ddd1-4c32-a1e7-b5e793223ecd	miljodir:vannmiljo:82397097	Animalia	Annelida	Polychaeta		Maldanidae	Nicomache	Nicomache minor		SPECIES	Nicomache minor Arwidsson, 1906	Nicomache minor		NO	VannlokalitetID:100822		PRESENT	1	c227aa75-e44d-42b3-89b5-3d2a6210c841	68.4816	15.2434	99.0						2020-05-27	27	5	2020	2319641	2319641	HUMAN_OBSERVATION	miljodir	vannmiljo				2020-05-27T00:00:00	CC_BY_4_0		Akvaplan-niva AS			2025-10-11T12:20:14.328Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
5835696865	46293000-ddd1-4c32-a1e7-b5e793223ecd	miljodir:vannmiljo:100397194	Animalia	Annelida	Polychaeta		Maldanidae	Nicomache	Nicomache minor		SPECIES	Nicomache minor Arwidsson, 1906	Nicomache minor		NO	VannlokalitetID:103275		PRESENT	1	c227aa75-e44d-42b3-89b5-3d2a6210c841	70.24335	22.89405	99.0						2021-02-03	3	2	2021	2319641	2319641	HUMAN_OBSERVATION	miljodir	vannmiljo				2021-02-03T00:00:00	CC_BY_4_0		Akvaplan-niva AS			2025-10-11T12:20:11.119Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
5835682070	46293000-ddd1-4c32-a1e7-b5e793223ecd	miljodir:vannmiljo:84543282	Animalia	Annelida	Polychaeta		Maldanidae	Nicomache	Nicomache minor		SPECIES	Nicomache minor Arwidsson, 1906	Nicomache minor		NO	VannlokalitetID:101063		PRESENT	1	c227aa75-e44d-42b3-89b5-3d2a6210c841	70.27017	22.544	99.0						2012-08-13	13	8	2012	2319641	2319641	HUMAN_OBSERVATION	miljodir	vannmiljo				2012-08-13T00:00:00	CC_BY_4_0		Akvaplan-niva AS			2025-10-11T12:20:11.552Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
5835621692	46293000-ddd1-4c32-a1e7-b5e793223ecd	miljodir:vannmiljo:24965288	Animalia	Annelida	Polychaeta		Maldanidae	Nicomache	Nicomache minor		SPECIES	Nicomache minor Arwidsson, 1906	Nicomache minor		NO	VannlokalitetID:50980		PRESENT	1	c227aa75-e44d-42b3-89b5-3d2a6210c841	70.146733	22.375268	99.0						2015-09-15	15	9	2015	2319641	2319641	HUMAN_OBSERVATION	miljodir	vannmiljo				2015-09-15T00:00:00	CC_BY_4_0		Akvaplan Niva AS			2025-10-11T12:20:03.430Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
5835515959	46293000-ddd1-4c32-a1e7-b5e793223ecd	miljodir:vannmiljo:229138696	Animalia	Annelida	Polychaeta		Maldanidae	Nicomache	Nicomache minor		SPECIES	Nicomache minor Arwidsson, 1906	Nicomache minor		NO	VannlokalitetID:97071		PRESENT	1	c227aa75-e44d-42b3-89b5-3d2a6210c841	70.1421	22.348031	99.0						2016-12-08	8	12	2016	2319641	2319641	HUMAN_OBSERVATION	miljodir	vannmiljo				2016-12-08T00:00:00	CC_BY_4_0		Akvaplan-niva AS			2025-10-11T12:19:54.236Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
5835496399	46293000-ddd1-4c32-a1e7-b5e793223ecd	miljodir:vannmiljo:83814656	Animalia	Annelida	Polychaeta		Maldanidae	Nicomache	Nicomache minor		SPECIES	Nicomache minor Arwidsson, 1906	Nicomache minor		NO	VannlokalitetID:100964		PRESENT	1	c227aa75-e44d-42b3-89b5-3d2a6210c841	68.64272	14.67653	99.0						2020-06-24	24	6	2020	2319641	2319641	HUMAN_OBSERVATION	miljodir	vannmiljo				2020-06-24T00:00:00	CC_BY_4_0		Akvaplan-niva AS			2025-10-11T12:19:58.044Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
5835296596	46293000-ddd1-4c32-a1e7-b5e793223ecd	miljodir:vannmiljo:104293599	Animalia	Annelida	Polychaeta		Maldanidae	Nicomache	Nicomache minor		SPECIES	Nicomache minor Arwidsson, 1906	Nicomache minor		NO	VannlokalitetID:104048		PRESENT	1	c227aa75-e44d-42b3-89b5-3d2a6210c841	68.15947	16.332021	99.0						2021-02-09	9	2	2021	2319641	2319641	HUMAN_OBSERVATION	miljodir	vannmiljo				2021-02-09T00:00:00	CC_BY_4_0		Akvaplan-niva AS			2025-10-11T12:19:57.703Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
5835294464	46293000-ddd1-4c32-a1e7-b5e793223ecd	miljodir:vannmiljo:132846586	Animalia	Annelida	Polychaeta		Maldanidae	Nicomache	Nicomache minor		SPECIES	Nicomache minor Arwidsson, 1906	Nicomache minor		NO	VannlokalitetID:106570		PRESENT	1	c227aa75-e44d-42b3-89b5-3d2a6210c841	69.67672	18.851601	99.0						2021-01-01	1	1	2021	2319641	2319641	HUMAN_OBSERVATION	miljodir	vannmiljo				2021-01-01T00:00:00	CC_BY_4_0		Åkerblå AS			2025-10-11T12:20:02.969Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
5835262577	46293000-ddd1-4c32-a1e7-b5e793223ecd	miljodir:vannmiljo:68885111	Animalia	Annelida	Polychaeta		Maldanidae	Nicomache	Nicomache minor		SPECIES	Nicomache minor Arwidsson, 1906	Nicomache minor		NO	VannlokalitetID:97546		PRESENT	1	c227aa75-e44d-42b3-89b5-3d2a6210c841	68.66968	14.800599	99.0						2019-08-20	20	8	2019	2319641	2319641	HUMAN_OBSERVATION	miljodir	vannmiljo				2019-08-20T00:00:00	CC_BY_4_0		Akvaplan-niva AS			2025-10-11T12:20:05.221Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
5835144790	46293000-ddd1-4c32-a1e7-b5e793223ecd	miljodir:vannmiljo:132846587	Animalia	Annelida	Polychaeta		Maldanidae	Nicomache	Nicomache minor		SPECIES	Nicomache minor Arwidsson, 1906	Nicomache minor		NO	VannlokalitetID:106571		PRESENT	1	c227aa75-e44d-42b3-89b5-3d2a6210c841	69.71243	18.96787	99.0						2021-01-01	1	1	2021	2319641	2319641	HUMAN_OBSERVATION	miljodir	vannmiljo				2021-01-01T00:00:00	CC_BY_4_0		Åkerblå AS			2025-10-11T12:19:53.447Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
